date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-02-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-15-2020,6,5,0,0,0,0,6,5,-1,-1,-1,-1
03-16-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-17-2020,35,29,0,0,0,0,35,29,-1,-1,-1,-1
03-18-2020,52,17,0,0,0,0,52,17,-1,-1,-1,-1
03-19-2020,56,4,0,0,0,0,56,4,-1,-1,-1,-1
03-20-2020,69,13,0,0,0,0,69,13,-1,-1,-1,-1
03-21-2020,84,15,0,0,0,0,84,15,-1,-1,-1,-1
03-22-2020,99,15,0,0,0,0,99,15,-1,-1,-1,-1
03-23-2020,112,13,0,0,0,0,112,13,-1,-1,-1,-1
03-24-2020,127,15,0,0,0,0,127,15,-1,-1,-1,-1
03-25-2020,153,26,0,0,0,0,153,26,-1,-1,-1,-1
03-26-2020,172,19,0,0,0,0,172,19,-1,-1,-1,-1
03-27-2020,212,40,0,0,0,0,212,40,-1,-1,-1,-1
03-28-2020,235,23,1,1,0,0,234,22,-1,-1,-1,-1
03-29-2020,246,11,1,0,3,3,242,8,-1,-1,-1,-1
03-30-2020,259,13,4,3,1,-2,254,12,-1,-1,-1,-1
03-31-2020,268,9,5,1,23,22,240,-14,-1,-1,-1,-1
04-01-2020,274,6,5,0,37,14,232,-8,-1,-1,-1,-1
04-02-2020,278,4,5,0,40,3,233,1,-1,-1,-1,-1
04-03-2020,299,21,5,0,51,11,243,10,-1,-1,-1,-1
04-04-2020,310,11,5,0,63,12,242,-1,-1,-1,-1,-1
04-05-2020,323,13,5,0,75,12,243,1,-1,-1,-1,-1
04-06-2020,345,22,5,0,85,10,255,12,-1,-1,-1,-1
04-07-2020,349,4,6,1,97,12,246,-9,-1,-1,-1,-1
04-08-2020,353,4,6,0,118,21,229,-17,-1,-1,-1,-1
04-09-2020,358,5,6,0,133,15,219,-10,-1,-1,-1,-1
04-10-2020,372,14,7,1,164,31,201,-18,-1,-1,-1,-1
04-11-2020,372,0,7,0,183,19,182,-19,-1,-1,-1,-1
04-12-2020,381,9,7,0,193,10,181,-1,-1,-1,-1,-1
04-13-2020,389,8,7,0,203,10,179,-2,-1,-1,-1,-1
04-14-2020,391,2,7,0,215,12,169,-10,-1,-1,-1,-1
04-15-2020,397,6,7,0,222,7,168,-1,-1,-1,-1,-1
04-16-2020,401,4,7,0,226,4,168,0,-1,-1,-1,-1
04-17-2020,402,1,7,0,244,18,151,-17,-1,-1,-1,-1
04-18-2020,407,5,7,0,255,11,145,-6,-1,-1,-1,-1
04-19-2020,413,6,7,0,268,13,138,-7,-1,-1,-1,-1
04-20-2020,417,4,7,0,288,20,122,-16,-1,-1,-1,-1
04-21-2020,425,8,7,0,293,5,125,3,-1,-1,-1,-1
04-22-2020,428,3,7,0,300,7,121,-4,-1,-1,-1,-1
04-23-2020,435,7,7,0,307,7,121,0,-1,-1,-1,-1
04-24-2020,437,2,7,0,324,17,106,-15,-1,-1,-1,-1
04-25-2020,444,7,7,0,327,3,110,4,-1,-1,-1,-1
04-26-2020,447,3,7,0,336,9,104,-6,-1,-1,-1,-1
04-27-2020,449,2,7,0,344,8,98,-6,-1,-1,-1,-1
04-28-2020,449,0,8,1,347,3,94,-4,-1,-1,-1,-1
04-29-2020,449,0,8,0,354,7,87,-7,-1,-1,-1,-1
04-30-2020,453,4,8,0,358,4,87,0,-1,-1,-1,-1
05-01-2020,453,0,8,0,362,4,83,-4,-1,-1,-1,-1
05-02-2020,459,6,9,1,368,6,82,-1,-1,-1,-1,-1
05-03-2020,461,2,9,0,375,7,77,-5,-1,-1,-1,-1
05-04-2020,465,4,9,0,382,7,74,-3,-1,-1,-1,-1
05-05-2020,471,6,9,0,390,8,72,-2,-1,-1,-1,-1
05-06-2020,473,2,9,0,394,4,70,-2,-1,-1,-1,-1
05-07-2020,484,11,9,0,402,8,73,3,-1,-1,-1,-1
05-08-2020,494,10,9,0,407,5,78,5,-1,-1,-1,-1
05-09-2020,522,28,9,0,414,7,99,21,-1,-1,-1,-1
05-10-2020,540,18,9,0,418,4,113,14,-1,-1,-1,-1
05-11-2020,562,22,9,0,422,4,131,18,-1,-1,-1,-1
05-12-2020,576,14,9,0,422,0,145,14,-1,-1,-1,-1
05-13-2020,582,6,9,0,423,1,150,5,-1,-1,-1,-1
05-14-2020,586,4,9,0,427,4,150,0,-1,-1,-1,-1
05-15-2020,596,10,9,0,429,2,158,8,-1,-1,-1,-1
05-16-2020,607,11,9,0,435,6,163,5,-1,-1,-1,-1
05-17-2020,613,6,9,0,438,3,166,3,-1,-1,-1,-1
05-18-2020,629,16,9,0,443,5,177,11,-1,-1,-1,-1
05-19-2020,649,20,9,0,449,6,191,14,-1,-1,-1,-1
05-20-2020,672,23,9,0,451,2,212,21,-1,-1,-1,-1
05-21-2020,684,12,9,0,461,10,214,2,-1,-1,-1,-1
05-22-2020,684,0,9,0,470,9,205,-9,-1,-1,-1,-1
05-23-2020,700,16,9,0,494,24,197,-8,-1,-1,-1,-1
05-24-2020,704,4,9,0,510,16,185,-12,-1,-1,-1,-1
05-25-2020,708,4,9,0,528,18,171,-14,-1,-1,-1,-1
05-26-2020,711,3,9,0,539,11,163,-8,-1,-1,-1,-1
05-27-2020,718,7,9,0,545,6,164,1,-1,-1,-1,-1
05-28-2020,720,2,9,0,549,4,162,-2,-1,-1,-1,-1
05-29-2020,728,8,9,0,557,8,162,0,-1,-1,-1,-1
05-30-2020,730,2,9,0,567,10,154,-8,-1,-1,-1,-1
05-31-2020,734,4,9,0,572,5,153,-1,-1,-1,-1,-1
06-01-2020,739,5,9,0,586,14,144,-9,-1,-1,-1,-1
06-02-2020,746,7,9,0,603,17,134,-10,-1,-1,-1,-1
06-03-2020,755,9,9,0,622,19,124,-10,-1,-1,-1,-1
