date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-14-2020,6,6,0,0,0,0,6,6,-1,-1,-1,-1
03-15-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-16-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-17-2020,33,27,0,0,0,0,33,27,-1,-1,-1,-1
03-18-2020,36,3,0,0,0,0,36,3,-1,-1,-1,-1
03-19-2020,46,10,0,0,0,0,46,10,-1,-1,-1,-1
03-20-2020,53,7,0,0,0,0,53,7,-1,-1,-1,-1
03-21-2020,56,3,0,0,0,0,56,3,-1,-1,-1,-1
03-22-2020,56,0,0,0,0,0,56,0,-1,-1,-1,-1
03-23-2020,60,4,0,0,0,0,60,4,-1,-1,-1,-1
03-24-2020,63,3,0,0,0,0,63,3,-1,-1,-1,-1
03-25-2020,79,16,0,0,0,0,79,16,-1,-1,-1,-1
03-26-2020,97,18,0,0,0,0,97,18,-1,-1,-1,-1
03-27-2020,125,28,0,0,0,0,125,28,-1,-1,-1,-1
03-28-2020,204,79,1,1,3,3,200,75,-1,-1,-1,-1
03-29-2020,265,61,1,0,3,0,261,61,-1,-1,-1,-1
03-30-2020,294,29,1,0,3,0,290,29,-1,-1,-1,-1
03-31-2020,312,18,1,0,25,22,286,-4,-1,-1,-1,-1
04-01-2020,348,36,2,1,27,2,319,33,-1,-1,-1,-1
04-02-2020,386,38,3,1,34,7,349,30,-1,-1,-1,-1
04-03-2020,435,49,3,0,39,5,393,44,-1,-1,-1,-1
04-04-2020,460,25,3,0,42,3,415,22,-1,-1,-1,-1
04-05-2020,531,71,5,2,40,-2,486,71,-1,-1,-1,-1
04-06-2020,604,73,5,0,43,3,556,70,-1,-1,-1,-1
04-07-2020,670,66,6,1,45,2,619,63,-1,-1,-1,-1
04-08-2020,709,39,6,0,57,12,646,27,-1,-1,-1,-1
04-09-2020,727,18,7,1,71,14,649,3,-1,-1,-1,-1
04-10-2020,802,75,9,2,92,21,701,52,-1,-1,-1,-1
04-11-2020,859,57,10,1,156,64,693,-8,-1,-1,-1,-1
04-12-2020,897,38,10,0,205,49,682,-11,-1,-1,-1,-1
04-13-2020,979,82,12,2,226,21,741,59,-1,-1,-1,-1
04-14-2020,1091,112,12,0,245,19,834,93,-1,-1,-1,-1
04-15-2020,1275,184,12,0,274,29,989,155,-1,-1,-1,-1
04-16-2020,1295,20,16,4,303,29,976,-13,-1,-1,-1,-1
04-17-2020,1480,185,16,0,343,40,1121,145,-1,-1,-1,-1
04-18-2020,1546,66,17,1,363,20,1166,45,-1,-1,-1,-1
04-19-2020,1546,0,17,0,420,57,1109,-57,-1,-1,-1,-1
04-20-2020,1546,0,17,0,480,60,1049,-60,-1,-1,-1,-1
04-21-2020,1852,306,19,2,532,52,1301,252,-1,-1,-1,-1
04-22-2020,1995,143,19,0,566,34,1410,109,-1,-1,-1,-1
04-23-2020,2025,30,19,0,583,17,1423,13,-1,-1,-1,-1
04-24-2020,2025,0,19,0,648,65,1358,-65,-1,-1,-1,-1
04-25-2020,2416,391,25,6,699,51,1692,334,-1,-1,-1,-1
04-26-2020,2601,185,25,0,738,39,1838,146,-1,-1,-1,-1
04-27-2020,2791,190,25,0,809,71,1957,119,-1,-1,-1,-1
04-28-2020,2982,191,25,0,904,95,2053,96,-1,-1,-1,-1
04-29-2020,3078,96,25,0,1058,154,1995,-58,-1,-1,-1,-1
04-30-2020,3333,255,25,0,1080,22,2228,233,-1,-1,-1,-1
05-01-2020,3551,218,25,0,1237,157,2289,61,-1,-1,-1,-1
05-02-2020,3785,234,25,0,1294,57,2466,177,-1,-1,-1,-1
05-03-2020,3877,92,26,1,1303,9,2548,82,-1,-1,-1,-1
05-04-2020,3988,111,27,1,1312,9,2649,101,-1,-1,-1,-1
05-05-2020,4160,172,29,2,1568,256,2563,-86,-1,-1,-1,-1
05-06-2020,4298,138,29,0,1690,122,2579,16,-1,-1,-1,-1
05-07-2020,4509,211,30,1,1716,26,2763,184,-1,-1,-1,-1
05-08-2020,4578,69,30,0,1728,12,2820,57,-1,-1,-1,-1
05-09-2020,4922,344,31,1,2056,328,2835,15,-1,-1,-1,-1
05-10-2020,5056,134,31,0,2214,158,2811,-24,-1,-1,-1,-1
05-11-2020,5138,82,31,0,2381,167,2726,-85,-1,-1,-1,-1
05-12-2020,5207,69,32,1,2551,170,2624,-102,-1,-1,-1,-1
05-13-2020,5417,210,32,0,2657,106,2728,104,-1,-1,-1,-1
05-14-2020,5571,154,33,1,2867,210,2671,-57,-1,-1,-1,-1
05-15-2020,5689,118,34,1,3071,204,2584,-87,-1,-1,-1,-1
05-16-2020,5850,161,34,0,3271,200,2545,-39,-1,-1,-1,-1
05-17-2020,6157,307,34,0,3349,78,2774,229,-1,-1,-1,-1
05-18-2020,6440,283,34,0,3442,93,2964,190,-1,-1,-1,-1
05-19-2020,6751,311,35,1,3627,185,3089,125,-1,-1,-1,-1
05-20-2020,6969,218,35,0,3761,134,3173,84,-1,-1,-1,-1
05-21-2020,7234,265,35,0,3937,176,3262,89,-1,-1,-1,-1
05-22-2020,7597,363,35,0,3996,59,3566,304,-1,-1,-1,-1
05-23-2020,7919,322,35,0,4333,337,3551,-15,-1,-1,-1,-1
05-24-2020,8322,403,35,0,4469,136,3818,267,-1,-1,-1,-1
05-25-2020,8531,209,35,0,4566,97,3930,112,-1,-1,-1,-1
05-26-2020,8969,438,35,0,4654,88,4280,350,-1,-1,-1,-1
05-27-2020,9304,335,37,2,4845,191,4422,142,-1,-1,-1,-1
05-28-2020,9576,272,37,0,5006,161,4533,111,-1,-1,-1,-1
05-29-2020,9932,356,37,0,5142,136,4753,220,-1,-1,-1,-1
05-30-2020,10382,450,37,0,5308,166,5037,284,-1,-1,-1,-1
05-31-2020,10858,476,38,1,5569,261,5251,214,-1,-1,-1,-1
06-01-2020,11308,450,41,3,5811,242,5456,205,-1,-1,-1,-1
06-02-2020,11571,263,41,0,6102,291,5428,-28,-1,-1,-1,-1
06-03-2020,11796,225,44,3,6302,200,5450,22,-1,-1,-1,-1
06-04-2020,12067,271,48,4,6544,242,5475,25,-1,-1,-1,-1
06-05-2020,12312,245,48,0,6847,303,5417,-58,-1,-1,-1,-1
06-06-2020,12511,199,52,4,7172,325,5287,-130,-1,-1,-1,-1
06-07-2020,12694,183,54,2,7524,352,5116,-171,-1,-1,-1,-1
06-08-2020,12859,165,56,2,7712,188,5091,-25,-1,-1,-1,-1
06-09-2020,13074,215,58,2,8084,372,4932,-159,-1,-1,-1,-1
06-10-2020,13319,245,61,3,8387,303,4871,-61,8345,-1,4913,-1
06-11-2020,13559,240,67,6,8636,249,4856,-15,8593,248,4899,-14
06-12-2020,13872,313,67,0,8951,315,4854,-2,8829,236,4976,77
06-13-2020,14238,366,72,5,9345,394,4821,-33,8829,0,5337,361
06-14-2020,14496,258,73,1,9777,432,4646,-175,9188,359,5235,-102
06-15-2020,14809,313,81,8,10179,402,4549,-97,9388,200,5340,105
06-16-2020,15192,383,88,7,10437,258,4667,118,9647,259,5457,117
06-17-2020,15542,350,97,9,10648,211,4797,130,9902,255,5543,86
06-18-2020,15877,335,100,3,10912,264,4865,68,10065,163,5712,169
06-19-2020,16351,474,113,13,11152,240,5086,221,10411,346,5827,115
06-20-2020,16779,428,118,5,11370,218,5291,205,10671,260,5990,163
06-21-2020,17841,1062,120,2,11580,210,6141,850,10897,226,6824,834
06-22-2020,19251,1410,127,7,11740,160,7384,1243,11158,261,7966,1142
06-23-2020,20566,1315,134,7,11971,231,8461,1077,11514,356,8918,952
06-24-2020,22196,1630,136,2,12225,254,9835,1374,11882,368,10178,1260
06-25-2020,23672,1476,140,4,12461,236,11071,1236,12220,338,11312,1134
06-26-2020,25020,1348,150,10,12761,300,12109,1038,12548,328,12322,1010
06-27-2020,26577,1557,158,8,13120,359,13299,1190,12548,0,13871,1549
06-28-2020,28063,1486,173,15,13396,276,14494,1195,12824,276,15066,1195
06-29-2020,29676,1613,183,10,13717,321,15776,1282,13008,184,16485,1419
06-30-2020,30168,492,188,5,14075,358,15905,129,13008,0,16972,487
07-01-2020,41065,10897,188,0,14400,325,26477,10572,13845,837,27032,10060
07-02-2020,42574,1509,198,10,14713,313,27663,1186,14415,570,27961,929
07-03-2020,44075,1501,210,12,15276,563,28589,926,15276,861,28589,628
07-04-2020,45719,1644,224,14,15514,238,29981,1392,15276,0,30219,1630
07-05-2020,47171,1452,242,18,16402,888,30527,546,15556,280,31373,1154
07-06-2020,48574,1403,260,18,17560,1158,30754,227,16183,627,32131,758
07-07-2020,49683,1109,264,4,18673,1113,30746,-8,16183,0,33236,1105
07-08-2020,51059,1376,264,0,20044,1371,30751,5,16928,745,33867,631
07-09-2020,53021,1962,296,32,35137,15093,17588,-13163,35137,18209,17588,-16279
07-10-2020,54747,1726,296,0,31815,-3322,22636,5048,31815,-3322,22636,5048
07-11-2020,56455,1708,332,36,32500,685,23623,987,32500,685,23623,987
