date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
05-14-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
05-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
05-23-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
05-24-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-25-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-26-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-27-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-28-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-29-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-30-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
05-31-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
06-01-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
06-02-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
06-03-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
06-04-2020,4,2,0,0,0,0,4,2,-1,-1,-1,-1
06-05-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
06-06-2020,4,0,0,0,1,1,3,-1,-1,-1,-1,-1
06-07-2020,4,0,0,0,1,0,3,0,-1,-1,-1,-1
06-08-2020,4,0,0,0,1,0,3,0,-1,-1,-1,-1
06-09-2020,4,0,0,0,1,0,3,0,-1,-1,-1,-1
06-10-2020,4,0,0,0,2,1,2,-1,2,-1,2,-1
06-11-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-12-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-13-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-14-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-15-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-16-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-17-2020,4,0,0,0,2,0,2,0,2,0,2,0
06-18-2020,4,0,0,0,3,1,1,-1,2,0,2,0
06-19-2020,4,0,0,0,3,0,1,0,2,0,2,0
06-20-2020,4,0,0,0,3,0,1,0,2,0,2,0
06-21-2020,4,0,0,0,3,0,1,0,2,0,2,0
06-22-2020,12,8,0,0,3,0,9,8,2,0,10,8
06-23-2020,17,5,0,0,3,0,14,5,2,0,15,5
06-24-2020,17,0,0,0,3,0,14,0,3,1,14,-1
06-25-2020,17,0,0,0,3,0,14,0,3,0,14,0
06-26-2020,24,7,0,0,4,1,20,6,4,1,20,6
06-27-2020,24,0,0,0,4,0,20,0,4,0,20,0
06-28-2020,24,0,0,0,4,0,20,0,4,0,20,0
06-29-2020,27,3,0,0,4,0,23,3,4,0,23,3
06-30-2020,27,0,0,0,4,0,23,0,4,0,23,0
07-01-2020,35,8,0,0,11,7,24,1,11,7,24,1
07-02-2020,35,0,0,0,11,0,24,0,11,0,24,0
07-03-2020,35,0,0,0,11,0,24,0,11,0,24,0
07-04-2020,63,28,0,0,11,0,52,28,11,0,52,28
07-05-2020,79,16,0,0,11,0,68,16,11,0,68,16
07-06-2020,91,12,0,0,11,0,80,12,11,0,80,12
07-07-2020,91,0,0,0,14,3,77,-3,11,0,80,0
07-08-2020,91,0,0,0,14,0,77,0,11,0,80,0
07-09-2020,134,43,1,1,13,-1,120,43,11,0,122,42
07-10-2020,184,50,1,0,26,13,157,37,26,15,157,35
07-11-2020,184,0,1,0,26,0,157,0,26,0,157,0
07-12-2020,184,0,1,0,26,0,157,0,26,0,157,0
07-13-2020,233,49,2,1,26,0,205,48,26,0,205,48
07-14-2020,256,23,3,1,48,22,205,0,48,22,205,0
07-15-2020,256,0,3,0,48,0,205,0,48,0,205,0
07-16-2020,256,0,3,0,48,0,205,0,48,0,205,0
07-17-2020,311,55,6,3,69,21,236,31,69,21,236,31
07-18-2020,359,48,6,0,69,0,284,48,69,0,284,48
07-19-2020,359,0,6,0,69,0,284,0,69,0,284,0
07-20-2020,359,0,6,0,69,0,284,0,69,0,284,0
07-21-2020,359,0,6,0,70,1,283,-1,69,0,284,0
07-22-2020,359,0,6,0,70,0,283,0,69,0,284,0
07-23-2020,359,0,6,0,105,35,248,-35,69,0,284,0
07-24-2020,359,0,6,0,146,41,207,-41,69,0,284,0
07-25-2020,419,60,9,3,143,-3,267,60,69,0,341,57
07-26-2020,505,86,12,3,140,-3,353,86,128,59,365,24
07-27-2020,505,0,12,0,180,40,313,-40,128,0,365,0
07-28-2020,505,0,12,0,199,19,294,-19,128,0,365,0
07-29-2020,576,71,13,1,199,0,364,70,141,13,422,57
07-30-2020,604,28,13,0,199,0,392,28,144,3,447,25
07-31-2020,604,0,13,0,244,45,347,-45,144,0,447,0
08-01-2020,702,98,14,1,285,41,403,56,171,27,517,70
08-02-2020,718,16,19,5,283,-2,416,13,173,2,526,9
08-03-2020,718,0,19,0,285,2,414,-2,173,0,526,0
08-04-2020,726,8,21,2,283,-2,422,8,174,1,531,5
08-05-2020,726,0,21,0,283,0,422,0,174,0,531,0
08-06-2020,742,16,23,2,287,4,432,10,175,1,544,13
08-07-2020,742,0,23,0,294,7,425,-7,175,0,544,0
08-08-2020,742,0,23,0,343,49,376,-49,175,0,544,0
08-09-2020,742,0,23,0,413,70,306,-70,175,0,544,0
