date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-17-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-18-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-19-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-20-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-21-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-22-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-23-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-24-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-25-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-26-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-27-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-28-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-29-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-30-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-31-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
04-01-2020,6,3,0,0,1,1,5,2,-1,-1,-1,-1
04-02-2020,6,0,0,0,1,0,5,0,-1,-1,-1,-1
04-03-2020,6,0,0,0,1,0,5,0,-1,-1,-1,-1
04-04-2020,7,1,0,0,2,1,5,0,-1,-1,-1,-1
04-05-2020,10,3,1,1,1,-1,8,3,-1,-1,-1,-1
04-06-2020,13,3,3,2,0,-1,10,2,-1,-1,-1,-1
04-07-2020,14,1,3,0,0,0,11,1,-1,-1,-1,-1
04-08-2020,14,0,3,0,0,0,11,0,-1,-1,-1,-1
04-09-2020,31,17,4,1,-1,-1,28,17,-1,-1,-1,-1
04-10-2020,31,0,4,0,-1,0,28,0,-1,-1,-1,-1
04-11-2020,37,6,5,1,-2,-1,34,6,-1,-1,-1,-1
04-12-2020,48,11,5,0,-2,0,45,11,-1,-1,-1,-1
04-13-2020,50,2,5,0,-2,0,47,2,-1,-1,-1,-1
04-14-2020,51,1,6,1,-3,-1,48,1,-1,-1,-1,-1
04-15-2020,59,8,6,0,0,3,53,5,-1,-1,-1,-1
04-16-2020,59,0,6,0,0,0,53,0,-1,-1,-1,-1
04-17-2020,73,14,6,0,0,0,67,14,-1,-1,-1,-1
04-18-2020,76,3,7,1,0,0,69,2,-1,-1,-1,-1
04-19-2020,81,5,7,0,1,1,73,4,-1,-1,-1,-1
04-20-2020,91,10,8,1,2,1,81,8,-1,-1,-1,-1
04-21-2020,99,8,8,0,3,1,88,7,-1,-1,-1,-1
04-22-2020,101,2,8,0,3,0,90,2,-1,-1,-1,-1
04-23-2020,101,0,8,0,17,14,76,-14,-1,-1,-1,-1
04-24-2020,101,0,8,0,17,0,76,0,-1,-1,-1,-1
04-25-2020,117,16,8,0,22,5,87,11,-1,-1,-1,-1
04-26-2020,120,3,11,3,28,6,81,-6,-1,-1,-1,-1
04-27-2020,124,4,12,1,28,0,84,3,-1,-1,-1,-1
