date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-09-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-10-2020,3,2,0,0,0,0,3,2,0,0,3,2
03-11-2020,13,10,0,0,0,0,13,10,0,0,13,10
03-12-2020,19,6,0,0,0,0,19,6,0,0,19,6
03-13-2020,36,17,0,0,0,0,36,17,0,0,36,17
03-14-2020,77,41,1,1,0,0,76,40,0,0,76,40
03-15-2020,103,26,2,1,0,0,101,25,0,0,101,25
03-16-2020,136,33,3,1,0,0,133,32,0,0,133,32
03-17-2020,196,60,4,1,0,0,192,59,0,0,192,59
03-18-2020,280,84,8,4,0,0,272,80,0,0,272,80
03-19-2020,392,112,10,2,0,0,382,110,0,0,382,110
03-20-2020,537,145,14,4,0,0,523,141,0,0,523,141
03-21-2020,763,226,20,6,0,0,743,220,0,0,743,220
03-22-2020,837,74,20,0,0,0,817,74,0,0,817,74
03-23-2020,1172,335,35,15,0,0,1137,320,0,0,1137,320
03-24-2020,1388,216,46,11,0,0,1342,205,0,0,1342,205
03-25-2020,1795,407,65,19,0,0,1730,388,0,0,1730,388
03-26-2020,2305,510,83,18,0,0,2222,492,0,0,2222,492
03-27-2020,2746,441,119,36,0,0,2627,405,0,0,2627,405
03-28-2020,3315,569,137,18,0,0,3178,551,0,0,3178,551
03-29-2020,3540,225,151,14,0,0,3389,211,0,0,3389,211
03-30-2020,4025,485,185,34,0,0,3840,451,0,0,3840,451
03-31-2020,5237,1212,239,54,0,0,4998,1158,0,0,4998,1158
04-01-2020,6424,1187,273,34,0,0,6151,1153,0,0,6151,1153
04-02-2020,9159,2735,310,37,7,7,8842,2691,0,0,8849,2698
04-03-2020,10297,1138,370,60,64,57,9863,1021,0,0,9927,1078
04-04-2020,12496,2199,409,39,209,145,11878,2015,0,0,12087,2160
04-05-2020,13010,514,477,68,200,-9,12333,455,0,0,12533,446
04-06-2020,14867,1857,512,35,437,237,13918,1585,0,0,14355,1822
04-07-2020,16284,1417,582,70,542,105,15160,1242,0,0,15702,1347
04-08-2020,17030,746,652,70,803,261,15575,415,0,0,16378,676
04-09-2020,18283,1253,702,50,1167,364,16414,839,0,0,17581,1203
04-10-2020,19253,970,755,53,1474,307,17024,610,0,0,18498,917
04-11-2020,20014,761,806,51,1889,415,17319,295,0,0,19208,710
04-12-2020,20595,581,840,34,2041,152,17714,395,0,0,19755,547
04-13-2020,21016,421,884,44,2395,354,17737,23,0,0,20132,377
04-14-2020,21518,502,1013,129,3256,861,17249,-488,0,0,20505,373
04-15-2020,21951,433,1103,90,4139,883,16709,-540,0,0,20848,343
04-16-2020,22532,581,1156,53,6317,2178,15059,-1650,0,0,21376,528
04-17-2020,23118,586,1213,57,7202,885,14703,-356,0,0,21905,529
04-18-2020,23580,462,1267,54,8961,1759,13352,-1351,0,0,22313,408
04-19-2020,23928,348,1296,29,9359,398,13273,-79,0,0,22632,319
04-20-2020,24523,595,1328,32,10878,1519,12317,-956,0,0,23195,563
04-21-2020,24854,331,1405,77,11979,1101,11470,-847,0,0,23449,254
04-22-2020,25258,404,1473,68,12573,594,11212,-258,0,0,23785,336
04-23-2020,25739,481,1599,126,13533,960,10607,-605,0,0,24140,355
04-24-2020,26140,401,1660,61,14927,1394,9553,-1054,14927,14927,9553,-14587
04-25-2020,26512,372,1707,47,14972,45,9833,280,14927,0,9878,325
04-26-2020,26773,261,1729,22,15453,481,9591,-242,14927,0,10117,239
04-27-2020,27068,295,1740,11,15853,400,9475,-116,14927,0,10401,284
04-28-2020,27286,218,1801,61,17303,1450,8182,-1293,17303,2376,8182,-2219
04-29-2020,27660,374,1845,44,17303,0,8512,330,17303,0,8512,330
04-30-2020,28001,341,1905,60,17647,344,8449,-63,17303,0,8793,281
05-01-2020,28711,710,1970,65,18224,577,8517,68,17303,0,9438,645
05-02-2020,29140,429,1993,23,18894,670,8253,-264,17303,0,9844,406
05-03-2020,29340,200,2012,19,19232,338,8096,-157,17303,0,10025,181
05-04-2020,29673,333,2064,52,20316,1084,7293,-803,20316,3013,7293,-2732
05-05-2020,29996,323,2115,51,20365,49,7516,223,20316,0,7565,272
05-06-2020,30399,403,2167,52,20765,400,7467,-49,20316,0,7916,351
05-07-2020,30652,253,2208,41,21315,550,7129,-338,20316,0,8128,212
05-08-2020,30855,203,2227,19,21779,464,6849,-280,20316,0,8312,184
05-09-2020,31417,562,2267,40,22175,396,6975,126,20316,0,8834,522
05-10-2020,31600,183,2286,19,22460,285,6854,-121,20316,0,8998,164
05-11-2020,31815,215,2308,22,22760,300,6747,-107,22608,2292,6899,-2099
05-12-2020,32050,235,2347,39,23029,269,6674,-73,22608,0,7095,196
05-13-2020,32662,612,2381,34,23417,388,6864,190,22608,0,7673,578
05-14-2020,33489,827,2417,36,23876,459,7196,332,22608,0,8464,791
05-15-2020,33837,348,2448,31,24559,683,6830,-366,22608,0,8781,317
