date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,1,1,0,0,0,0,1,1,0,0,1,1
01-23-2020,2,1,0,0,0,0,2,1,0,0,2,1
01-24-2020,2,0,0,0,0,0,2,0,0,0,2,0
01-25-2020,2,0,0,0,0,0,2,0,0,0,2,0
01-26-2020,6,4,0,0,0,0,6,4,0,0,6,4
01-27-2020,6,0,0,0,0,0,6,0,0,0,6,0
01-28-2020,7,1,0,0,0,0,7,1,0,0,7,1
01-29-2020,7,0,0,0,0,0,7,0,0,0,7,0
01-30-2020,7,0,0,0,0,0,7,0,0,0,7,0
01-31-2020,7,0,0,0,0,0,7,0,0,0,7,0
02-01-2020,7,0,0,0,0,0,7,0,0,0,7,0
02-02-2020,8,1,0,0,0,0,8,1,0,0,8,1
02-03-2020,8,0,0,0,0,0,8,0,0,0,8,0
02-04-2020,10,2,0,0,0,0,10,2,0,0,10,2
02-05-2020,10,0,0,0,0,0,10,0,0,0,10,0
02-06-2020,10,0,0,0,1,1,9,-1,1,1,9,-1
02-07-2020,10,0,0,0,1,0,9,0,1,0,9,0
02-08-2020,10,0,0,0,1,0,9,0,1,0,9,0
02-09-2020,10,0,0,0,4,3,6,-3,1,0,9,0
02-10-2020,10,0,0,0,4,0,6,0,1,0,9,0
02-11-2020,10,0,0,0,5,1,5,-1,1,0,9,0
02-12-2020,10,0,0,0,5,0,5,0,2,1,8,-1
02-13-2020,10,0,0,0,5,0,5,0,3,1,7,-1
02-14-2020,10,0,0,0,5,0,5,0,3,0,7,0
02-15-2020,10,0,0,0,5,0,5,0,3,0,7,0
02-16-2020,10,0,0,0,6,1,4,-1,5,2,5,-2
02-17-2020,10,0,0,0,6,0,4,0,5,0,5,0
02-18-2020,10,0,0,0,8,2,2,-2,5,0,5,0
02-19-2020,10,0,0,0,8,0,2,0,6,1,4,-1
02-20-2020,10,0,0,0,8,0,2,0,6,0,4,0
02-21-2020,10,0,0,0,8,0,2,0,6,0,4,0
02-22-2020,10,0,0,0,8,0,2,0,6,0,4,0
02-23-2020,10,0,0,0,8,0,2,0,6,0,4,0
02-24-2020,10,0,0,0,8,0,2,0,6,0,4,0
02-25-2020,10,0,0,0,9,1,1,-1,7,1,3,-1
02-26-2020,10,0,0,0,9,0,1,0,7,0,3,0
02-27-2020,10,0,0,0,9,0,1,0,8,1,2,-1
02-28-2020,10,0,0,0,9,0,1,0,8,0,2,0
02-29-2020,10,0,0,0,9,0,1,0,8,0,2,0
03-01-2020,10,0,0,0,9,0,1,0,8,0,2,0
