date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-21-2020,3,3,0,0,0,0,3,3,-1,-1,-1,-1
03-22-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-23-2020,12,9,0,0,0,0,12,9,-1,-1,-1,-1
03-24-2020,13,1,0,0,0,0,13,1,-1,-1,-1,-1
03-25-2020,19,6,0,0,0,0,19,6,-1,-1,-1,-1
03-26-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-27-2020,24,5,0,0,0,0,24,5,-1,-1,-1,-1
03-28-2020,26,2,0,0,0,0,26,2,-1,-1,-1,-1
03-29-2020,37,11,0,0,0,0,37,11,-1,-1,-1,-1
03-30-2020,44,7,0,0,0,0,44,7,-1,-1,-1,-1
03-31-2020,46,2,0,0,0,0,46,2,-1,-1,-1,-1
04-01-2020,53,7,0,0,0,0,53,7,-1,-1,-1,-1
04-02-2020,59,6,0,0,0,0,59,6,-1,-1,-1,-1
04-03-2020,65,6,0,0,0,0,65,6,-1,-1,-1,-1
04-04-2020,70,5,0,0,2,2,68,3,-1,-1,-1,-1
04-05-2020,70,0,0,0,2,0,68,0,-1,-1,-1,-1
04-06-2020,77,7,0,0,9,7,68,0,-1,-1,-1,-1
04-07-2020,85,8,0,0,10,1,75,7,-1,-1,-1,-1
04-08-2020,92,7,0,0,15,5,77,2,-1,-1,-1,-1
04-09-2020,93,1,0,0,15,0,78,1,-1,-1,-1,-1
04-10-2020,95,2,0,0,19,4,76,-2,-1,-1,-1,-1
04-11-2020,95,0,0,0,21,2,74,-2,-1,-1,-1,-1
04-12-2020,104,9,0,0,29,8,75,1,-1,-1,-1,-1
04-13-2020,106,2,0,0,35,6,71,-4,-1,-1,-1,-1
04-14-2020,106,0,0,0,37,2,69,-2,-1,-1,-1,-1
04-15-2020,110,4,0,0,42,5,68,-1,-1,-1,-1,-1
04-16-2020,110,0,0,0,47,5,63,-5,-1,-1,-1,-1
04-17-2020,117,7,0,0,52,5,65,2,-1,-1,-1,-1
04-18-2020,117,0,0,0,57,5,60,-5,-1,-1,-1,-1
04-19-2020,120,3,0,0,57,0,63,3,-1,-1,-1,-1
04-20-2020,121,1,0,0,64,7,57,-6,-1,-1,-1,-1
04-21-2020,121,0,0,0,70,6,51,-6,-1,-1,-1,-1
04-22-2020,121,0,0,0,77,7,44,-7,-1,-1,-1,-1
04-23-2020,121,0,0,0,77,0,44,0,-1,-1,-1,-1
04-24-2020,121,0,0,0,80,3,41,-3,-1,-1,-1,-1
04-25-2020,122,1,0,0,80,0,42,1,-1,-1,-1,-1
04-26-2020,124,2,0,0,89,9,35,-7,-1,-1,-1,-1
04-27-2020,128,4,0,0,92,3,36,1,-1,-1,-1,-1
04-28-2020,128,0,0,0,92,0,36,0,-1,-1,-1,-1
04-29-2020,128,0,0,0,96,4,32,-4,-1,-1,-1,-1
04-30-2020,128,0,0,0,97,1,31,-1,-1,-1,-1,-1
05-01-2020,132,4,0,0,103,6,29,-2,-1,-1,-1,-1
05-02-2020,135,3,0,0,104,1,31,2,-1,-1,-1,-1
05-03-2020,149,14,0,0,107,3,42,11,-1,-1,-1,-1
05-04-2020,151,2,0,0,109,2,42,0,-1,-1,-1,-1
05-05-2020,158,7,0,0,110,1,48,6,-1,-1,-1,-1
05-06-2020,158,0,0,0,111,1,47,-1,-1,-1,-1,-1
05-07-2020,158,0,0,0,111,0,47,0,-1,-1,-1,-1
05-08-2020,158,0,0,0,112,1,46,-1,-1,-1,-1,-1
05-09-2020,169,11,0,0,113,1,56,10,-1,-1,-1,-1
05-10-2020,169,0,0,0,116,3,53,-3,-1,-1,-1,-1
05-11-2020,169,0,0,0,120,4,49,-4,-1,-1,-1,-1
05-12-2020,186,17,0,0,120,0,66,17,-1,-1,-1,-1
05-13-2020,192,6,0,0,121,1,71,5,-1,-1,-1,-1
05-14-2020,212,20,0,0,122,1,90,19,-1,-1,-1,-1
05-15-2020,230,18,0,0,126,4,104,14,-1,-1,-1,-1
05-16-2020,238,8,0,0,129,3,109,5,-1,-1,-1,-1
05-17-2020,283,45,0,0,140,11,143,34,-1,-1,-1,-1
05-18-2020,304,21,1,1,142,2,161,18,-1,-1,-1,-1
05-19-2020,322,18,1,0,148,6,173,12,-1,-1,-1,-1
05-20-2020,326,4,2,1,147,-1,177,4,-1,-1,-1,-1
05-21-2020,371,45,2,0,147,0,222,45,-1,-1,-1,-1
05-22-2020,405,34,2,0,147,0,256,34,-1,-1,-1,-1
05-23-2020,448,43,2,0,156,9,290,34,-1,-1,-1,-1
05-24-2020,488,40,2,0,157,1,329,39,-1,-1,-1,-1
05-25-2020,527,39,2,0,158,1,367,38,-1,-1,-1,-1
