date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-07-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-08-2020,4,2,0,0,0,0,4,2,-1,-1,-1,-1
03-09-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-10-2020,6,2,0,0,0,0,6,2,-1,-1,-1,-1
03-11-2020,8,2,0,0,0,0,8,2,-1,-1,-1,-1
03-12-2020,8,0,0,0,0,0,8,0,-1,-1,-1,-1
03-13-2020,8,0,0,0,0,0,8,0,-1,-1,-1,-1
03-14-2020,9,1,0,0,0,0,9,1,-1,-1,-1,-1
03-15-2020,13,4,0,0,0,0,13,4,-1,-1,-1,-1
03-16-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-17-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-18-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-19-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-20-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-21-2020,13,0,0,0,1,1,12,-1,-1,-1,-1,-1
03-22-2020,13,0,0,0,3,2,10,-2,-1,-1,-1,-1
03-23-2020,13,0,0,0,3,0,10,0,-1,-1,-1,-1
03-24-2020,13,0,0,0,4,1,9,-1,-1,-1,-1,-1
03-25-2020,13,0,0,0,6,2,7,-2,-1,-1,-1,-1
03-26-2020,13,0,0,0,6,0,7,0,-1,-1,-1,-1
03-27-2020,13,0,0,0,6,0,7,0,-1,-1,-1,-1
03-28-2020,13,0,0,0,7,1,6,-1,-1,-1,-1,-1
03-29-2020,16,3,0,0,10,3,6,0,-1,-1,-1,-1
03-30-2020,17,1,0,0,10,0,7,1,-1,-1,-1,-1
03-31-2020,17,0,0,0,10,0,7,0,-1,-1,-1,-1
04-01-2020,18,1,0,0,10,0,8,1,-1,-1,-1,-1
04-02-2020,19,1,0,0,10,0,9,1,-1,-1,-1,-1
04-03-2020,19,0,0,0,10,0,9,0,-1,-1,-1,-1
04-04-2020,19,0,0,0,10,0,9,0,-1,-1,-1,-1
04-05-2020,19,0,0,0,11,1,8,-1,-1,-1,-1,-1
04-06-2020,19,0,0,0,11,0,8,0,-1,-1,-1,-1
04-07-2020,19,0,0,0,11,0,8,0,-1,-1,-1,-1
04-08-2020,19,0,0,0,11,0,8,0,-1,-1,-1,-1
04-09-2020,19,0,0,0,11,0,8,0,-1,-1,-1,-1
04-10-2020,19,0,0,0,11,0,8,0,-1,-1,-1,-1
04-11-2020,19,0,0,0,11,0,8,0,-1,-1,-1,-1
04-12-2020,20,1,0,0,14,3,6,-2,-1,-1,-1,-1
04-13-2020,20,0,0,0,15,1,5,-1,-1,-1,-1,-1
04-14-2020,20,0,0,0,15,0,5,0,-1,-1,-1,-1
04-15-2020,21,1,0,0,16,1,5,0,-1,-1,-1,-1
04-16-2020,23,2,0,0,17,1,6,1,-1,-1,-1,-1
04-17-2020,28,5,0,0,17,0,11,5,-1,-1,-1,-1
04-18-2020,34,6,0,0,17,0,17,6,-1,-1,-1,-1
04-19-2020,51,17,0,0,17,0,34,17,-1,-1,-1,-1
04-20-2020,60,9,0,0,17,0,43,9,-1,-1,-1,-1
04-21-2020,83,23,0,0,17,0,66,23,-1,-1,-1,-1
04-22-2020,85,2,0,0,17,0,68,2,-1,-1,-1,-1
04-23-2020,94,9,0,0,17,0,77,9,-1,-1,-1,-1
04-24-2020,116,22,0,0,17,0,99,22,-1,-1,-1,-1
04-25-2020,137,21,0,0,17,0,120,21,-1,-1,-1,-1
04-26-2020,188,51,0,0,19,2,169,49,-1,-1,-1,-1
04-27-2020,214,26,0,0,19,0,195,26,-1,-1,-1,-1
04-28-2020,245,31,0,0,19,0,226,31,-1,-1,-1,-1
04-29-2020,256,11,0,0,20,1,236,10,-1,-1,-1,-1
04-30-2020,396,140,0,0,21,1,375,139,-1,-1,-1,-1
05-01-2020,468,72,1,1,24,3,443,68,-1,-1,-1,-1
05-02-2020,491,23,1,0,29,5,461,18,-1,-1,-1,-1
05-03-2020,519,28,1,0,43,14,475,14,-1,-1,-1,-1
05-04-2020,527,8,1,0,50,7,476,1,-1,-1,-1,-1
05-05-2020,557,30,1,0,69,19,487,11,-1,-1,-1,-1
05-06-2020,618,61,2,1,70,1,546,59,-1,-1,-1,-1
05-07-2020,618,0,2,0,77,7,539,-7,-1,-1,-1,-1
05-08-2020,648,30,3,1,94,17,551,12,-1,-1,-1,-1
05-09-2020,744,96,3,0,111,17,630,79,-1,-1,-1,-1
05-10-2020,785,41,3,0,152,41,630,0,-1,-1,-1,-1
05-11-2020,835,50,3,0,173,21,659,29,-1,-1,-1,-1
05-12-2020,897,62,3,0,199,26,695,36,-1,-1,-1,-1
05-13-2020,904,7,3,0,208,9,693,-2,-1,-1,-1,-1
05-14-2020,968,64,4,1,320,112,644,-49,-1,-1,-1,-1
05-15-2020,1020,52,4,0,379,59,637,-7,-1,-1,-1,-1
05-16-2020,1078,58,4,0,399,20,675,38,-1,-1,-1,-1
05-17-2020,1078,0,4,0,424,25,650,-25,-1,-1,-1,-1
05-18-2020,1094,16,4,0,432,8,658,8,-1,-1,-1,-1
05-19-2020,1143,49,4,0,459,27,680,22,-1,-1,-1,-1
05-20-2020,1186,43,4,0,509,50,673,-7,-1,-1,-1,-1
05-21-2020,1216,30,4,0,510,1,702,29,-1,-1,-1,-1
05-22-2020,1216,0,4,0,538,28,674,-28,-1,-1,-1,-1
05-23-2020,1274,58,4,0,618,80,652,-22,-1,-1,-1,-1
05-24-2020,1313,39,4,0,659,41,650,-2,-1,-1,-1,-1
05-25-2020,1395,82,4,0,703,44,688,38,-1,-1,-1,-1
05-26-2020,1395,0,4,0,757,54,634,-54,-1,-1,-1,-1
05-27-2020,1457,62,5,1,764,7,688,54,-1,-1,-1,-1
05-28-2020,1457,0,5,0,835,71,617,-71,-1,-1,-1,-1
05-29-2020,1513,56,5,0,888,53,620,3,-1,-1,-1,-1
05-30-2020,1633,120,5,0,938,50,690,70,-1,-1,-1,-1
05-31-2020,1672,39,5,0,943,5,724,34,-1,-1,-1,-1
06-01-2020,1773,101,5,0,957,14,811,87,-1,-1,-1,-1
06-02-2020,1829,56,6,1,1001,44,822,11,-1,-1,-1,-1
06-03-2020,1841,12,7,1,1044,43,790,-32,-1,-1,-1,-1
06-04-2020,1850,9,7,0,1069,25,774,-16,-1,-1,-1,-1
06-05-2020,1872,22,7,0,1074,5,791,17,-1,-1,-1,-1
06-06-2020,1883,11,7,0,1135,61,741,-50,-1,-1,-1,-1
06-07-2020,1901,18,8,1,1174,39,719,-22,-1,-1,-1,-1
06-08-2020,1903,2,8,0,1249,75,646,-73,-1,-1,-1,-1
06-09-2020,1916,13,8,0,1259,10,649,3,-1,-1,-1,-1
06-10-2020,1962,46,8,0,1311,52,643,-6,1121,-1,833,-1
06-11-2020,1976,14,8,0,1327,16,641,-2,1153,32,815,-18
06-12-2020,2003,27,8,0,1383,56,612,-29,1193,40,802,-13
06-13-2020,2013,10,8,0,1490,107,515,-97,1217,24,788,-14
06-14-2020,2013,0,8,0,1523,33,482,-33,1217,0,788,0
06-15-2020,2065,52,8,0,1607,84,450,-32,1540,323,517,-271
06-16-2020,2094,29,8,0,1670,63,416,-34,1670,130,416,-101
06-17-2020,2120,26,8,0,1680,10,432,16,1677,7,435,19
06-18-2020,2137,17,8,0,1759,79,370,-62,1759,82,370,-65
06-19-2020,2150,13,8,0,1769,10,373,3,1769,10,373,3
06-20-2020,2187,37,8,0,1778,9,401,28,1778,9,401,28
06-21-2020,2203,16,8,0,1803,25,392,-9,1803,25,392,-9
06-22-2020,2217,14,8,0,1803,0,406,14,1803,0,406,14
06-23-2020,2238,21,8,0,1813,10,417,11,1813,10,417,11
06-24-2020,2261,23,8,0,1839,26,414,-3,1839,26,414,-3
06-25-2020,2277,16,8,0,1848,9,421,7,1848,9,421,7
06-26-2020,2283,6,8,0,1877,29,398,-23,1863,15,412,-9
06-27-2020,2283,0,8,0,1905,28,370,-28,1863,0,412,0
06-28-2020,2323,40,8,0,1911,6,404,34,1911,48,404,-8
06-29-2020,2337,14,8,0,1967,56,362,-42,1927,16,402,-2
06-30-2020,2337,0,8,0,2001,34,328,-34,1927,0,402,0
07-01-2020,2382,45,9,1,2025,24,348,20,1944,17,429,27
07-02-2020,2382,0,9,0,2041,16,332,-16,1944,0,429,0
07-03-2020,2410,28,10,1,2054,13,346,14,1976,32,424,-5
07-04-2020,2435,25,10,0,2088,34,337,-9,2030,54,395,-29
07-05-2020,2469,34,10,0,2106,18,353,16,2030,0,429,34
07-06-2020,2491,22,12,2,2119,13,360,7,2113,83,366,-63
07-07-2020,2491,0,12,0,2138,19,341,-19,2113,0,366,0
07-08-2020,2517,26,13,1,2165,27,339,-2,2158,45,346,-20
07-09-2020,2517,0,13,0,2180,15,324,-15,2158,0,346,0
07-10-2020,2617,100,13,0,2238,58,366,42,2238,80,366,20
07-11-2020,2617,0,13,0,2238,0,366,0,2238,0,366,0
07-12-2020,2664,47,13,0,2238,0,413,47,2238,0,413,47
07-13-2020,2762,98,13,0,2290,52,459,46,2290,52,459,46
07-14-2020,2762,0,13,0,2290,0,459,0,2290,0,459,0
07-15-2020,2801,39,14,1,2304,14,483,24,2290,0,497,38
07-16-2020,2831,30,14,0,2307,3,510,27,2290,0,527,30
07-17-2020,2899,68,15,1,2339,32,545,35,2339,49,545,18
07-18-2020,2930,31,15,0,2357,18,558,13,2354,15,561,16
