date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-06-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-07-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-08-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-09-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-10-2020,3,1,0,0,0,0,3,1,0,0,3,1
03-11-2020,5,2,0,0,0,0,5,2,0,0,5,2
03-12-2020,9,4,0,0,0,0,9,4,0,0,9,4
03-13-2020,14,5,0,0,0,0,14,5,0,0,14,5
03-14-2020,21,7,0,0,0,0,21,7,0,0,21,7
03-15-2020,35,14,0,0,0,0,35,14,0,0,35,14
03-16-2020,54,19,0,0,0,0,54,19,0,0,54,19
03-17-2020,60,6,0,0,0,0,60,6,0,0,60,6
03-18-2020,76,16,0,0,0,0,76,16,0,0,76,16
03-19-2020,89,13,0,0,0,0,89,13,0,0,89,13
03-20-2020,115,26,0,0,0,0,115,26,0,0,115,26
03-21-2020,137,22,1,1,0,0,136,21,0,0,136,21
03-22-2020,169,32,1,0,0,0,168,32,0,0,168,32
03-23-2020,235,66,1,0,0,0,234,66,0,0,234,66
03-24-2020,262,27,1,0,1,1,260,26,0,0,261,27
03-25-2020,287,25,1,0,3,2,283,23,0,0,286,25
03-26-2020,346,59,2,1,5,2,339,56,0,0,344,58
03-27-2020,398,52,4,2,7,2,387,48,0,0,394,50
03-28-2020,441,43,5,1,12,5,424,37,0,0,436,42
03-29-2020,503,62,9,4,19,7,475,51,0,0,494,58
03-30-2020,576,73,10,1,33,14,533,58,0,0,566,72
03-31-2020,629,53,12,2,36,3,581,48,0,0,617,51
04-01-2020,689,60,17,5,44,8,628,47,0,0,672,55
04-02-2020,742,53,18,1,54,10,670,42,0,0,724,52
04-03-2020,789,47,22,4,71,17,696,26,0,0,767,43
04-04-2020,865,76,24,2,87,16,754,58,0,0,841,74
04-05-2020,935,70,29,5,108,21,798,44,0,0,906,65
04-06-2020,986,51,30,1,160,52,796,-2,0,0,956,50
04-07-2020,1069,83,34,4,549,389,486,-310,549,549,486,-470
04-08-2020,1154,85,39,5,632,83,483,-3,632,83,483,-3
04-09-2020,1242,88,50,11,675,43,517,34,675,43,517,34
04-10-2020,1336,94,57,7,732,57,547,30,732,57,547,30
04-11-2020,1427,91,64,7,732,0,631,84,732,0,631,84
04-12-2020,1621,194,70,6,842,110,709,78,842,110,709,78
04-13-2020,1650,29,70,0,842,0,738,29,842,0,738,29
04-14-2020,1695,45,79,9,909,67,707,-31,909,67,707,-31
04-15-2020,1809,114,87,8,940,31,782,75,940,31,782,75
04-16-2020,1912,103,95,8,1020,80,797,15,1020,80,797,15
04-17-2020,2070,158,111,16,1066,46,893,96,1066,46,893,96
04-18-2020,2213,143,121,10,1118,52,974,81,1118,52,974,81
04-19-2020,2356,143,134,13,1160,42,1062,88,1160,42,1062,88
04-20-2020,2470,114,143,9,1160,0,1167,105,1160,0,1167,105
04-21-2020,2567,97,160,17,1160,0,1247,80,1160,0,1247,80
04-22-2020,2722,155,179,19,1160,0,1383,136,1160,0,1383,136
04-23-2020,2942,220,200,21,1536,376,1206,-177,1536,376,1206,-177
04-24-2020,3185,243,221,21,1536,0,1428,222,1536,0,1428,222
04-25-2020,3446,261,244,23,1654,118,1548,120,1654,118,1548,120
04-26-2020,3602,156,272,28,1774,120,1556,8,1774,120,1556,8
04-27-2020,3811,209,286,14,1842,68,1683,127,1842,68,1683,127
04-28-2020,4181,370,301,15,1912,70,1968,285,1912,70,1968,285
04-29-2020,4644,463,319,18,2043,131,2282,314,2043,131,2282,314
04-30-2020,5136,492,343,24,2172,129,2621,339,2172,129,2621,339
05-01-2020,5730,594,370,27,2282,110,3078,457,2282,110,3078,457
05-02-2020,6232,502,394,24,2397,115,3441,363,2397,115,3441,363
05-03-2020,6663,431,418,24,3015,618,3230,-211,3015,618,3230,-211
05-04-2020,7234,571,427,9,4212,1197,2595,-635,4212,1197,2595,-635
05-05-2020,7851,617,455,28,4614,402,2782,187,4614,402,2782,187
05-06-2020,8579,728,485,30,5005,391,3089,307,5005,391,3089,307
05-07-2020,9365,786,508,23,5308,303,3549,460,5308,303,3549,460
05-08-2020,10088,723,534,26,5697,389,3857,308,5697,389,3857,308
05-09-2020,10790,702,558,24,6322,625,3910,53,6322,625,3910,53
05-10-2020,11271,481,578,20,6304,-18,4389,479,6304,-18,4389,479
05-11-2020,11799,528,591,13,7536,1232,3672,-717,7536,1232,3672,-717
05-12-2020,12494,695,614,23,7609,73,4271,599,7609,73,4271,599
05-13-2020,12917,423,638,24,8787,1178,3492,-779,8787,1178,3492,-779
05-14-2020,13435,518,672,34,9136,349,3627,135,9136,349,3627,135
05-15-2020,14240,805,692,20,9503,367,4045,418,9503,367,4045,418
05-16-2020,14969,729,709,17,10271,768,3989,-56,10271,768,3989,-56
05-17-2020,15668,699,731,22,10897,626,4040,51,10897,626,4040,51
05-18-2020,16372,704,740,9,10764,-133,4868,828,10764,-133,4868,828
05-19-2020,17029,657,757,17,11540,776,4732,-136,11540,776,4732,-136
05-20-2020,17670,641,786,29,12227,687,4657,-75,12227,687,4657,-75
05-21-2020,18200,530,818,32,12488,261,4894,237,12488,261,4894,237
05-22-2020,19005,805,851,33,12696,208,5458,564,12696,208,5458,564
05-23-2020,19845,840,861,10,13485,789,5499,41,13485,789,5499,41
05-24-2020,20573,728,878,17,14115,630,5580,81,14115,630,5580,81
05-25-2020,21315,742,890,12,14816,701,5609,29,14816,701,5609,29
05-26-2020,21960,645,908,18,15523,707,5529,-80,15523,707,5529,-80
05-27-2020,22464,504,942,34,16314,791,5208,-321,16314,791,5208,-321
05-28-2020,22947,483,977,35,16655,341,5315,107,16655,341,5315,107
05-29-2020,23531,584,1006,29,16930,275,5595,280,16930,275,5595,280
05-30-2020,24190,659,1036,30,17864,934,5290,-305,17864,934,5290,-305
05-31-2020,24850,660,1050,14,18695,831,5105,-185,18695,831,5105,-185
06-01-2020,25208,358,1060,10,19441,746,4707,-398,19441,746,4707,-398
06-02-2020,25508,300,1082,22,20381,940,4045,-662,20381,940,4045,-662
06-03-2020,25870,362,1097,15,21169,788,3604,-441,21169,788,3604,-441
06-04-2020,26273,403,1126,29,21490,321,3657,53,21490,321,3657,53
06-05-2020,26980,707,1159,33,21864,374,3957,300,21864,374,3957,300
06-06-2020,27501,521,1181,22,22253,389,4067,110,22253,389,4067,110
06-07-2020,27886,385,1197,16,22992,739,3697,-370,22992,739,3697,-370
06-08-2020,28224,338,1208,11,23657,665,3359,-338,23657,665,3359,-338
06-09-2020,28523,299,1228,20,24221,564,3074,-285,24221,564,3074,-285
06-10-2020,28869,346,1267,39,24675,454,2927,-147,24675,454,2927,-147
06-11-2020,29316,447,1280,13,24870,195,3166,239,24870,195,3166,239
06-12-2020,29795,479,1305,25,25028,158,3462,296,25028,158,3462,296
06-13-2020,30172,377,1314,9,25620,592,3238,-224,25620,592,3238,-224
06-14-2020,30471,299,1329,15,26090,470,3052,-186,26090,470,3052,-186
06-15-2020,30693,222,1335,6,26609,519,2749,-303,26609,519,2749,-303
06-16-2020,30882,189,1344,9,27006,397,2532,-217,27006,397,2532,-217
06-17-2020,31296,414,1357,13,27404,398,2535,3,27404,398,2535,3
06-18-2020,31675,379,1376,19,27566,162,2733,198,27566,162,2733,198
06-19-2020,32031,356,1393,17,27709,143,2929,196,27709,143,2929,196
06-20-2020,32467,436,1404,11,28205,496,2858,-71,28205,496,2858,-71
06-21-2020,32920,453,1412,8,28663,458,2845,-13,28663,458,2845,-13
06-22-2020,33227,307,1416,4,29065,402,2746,-99,29065,402,2746,-99
06-23-2020,33469,242,1425,9,29399,334,2645,-101,29399,334,2645,-101
06-24-2020,33763,294,1432,7,29707,308,2624,-21,29707,308,2624,-21
06-25-2020,34123,360,1441,9,29854,147,2828,204,29854,147,2828,204
06-26-2020,34616,493,1446,5,30008,154,3162,334,30008,154,3162,334
06-27-2020,35033,417,1452,6,30401,393,3180,18,30401,393,3180,18
06-28-2020,35549,516,1460,8,30809,408,3280,100,30809,408,3280,100
06-29-2020,35861,312,1470,10,31225,416,3166,-114,31225,416,3166,-114
06-30-2020,36303,442,1476,6,31601,376,3226,60,31601,376,3226,60
07-01-2020,36716,413,1482,6,31947,346,3287,61,31947,346,3287,61
07-02-2020,37210,494,1495,13,32163,216,3552,265,32163,216,3552,265
07-03-2020,37624,414,1503,8,32347,184,3774,222,32347,184,3774,222
07-04-2020,37624,0,1503,0,32347,0,3774,0,32347,0,3774,0
07-05-2020,38136,512,1508,5,33408,1061,3220,-554,33408,1061,3220,-554
07-06-2020,38569,433,1511,3,33907,499,3151,-69,33907,499,3151,-69
07-07-2020,39134,565,1514,3,34377,470,3243,92,34377,470,3243,92
07-08-2020,39589,455,1523,9,34902,525,3164,-79,34902,525,3164,-79
07-09-2020,40163,574,1528,5,35193,291,3442,278,35193,291,3442,278
07-10-2020,40767,604,1533,5,35442,249,3792,350,35442,249,3792,350
07-11-2020,41571,804,1537,4,36012,570,4022,230,36012,570,4022,230
07-12-2020,42281,710,1540,3,36582,570,4159,137,36582,570,4159,137
07-13-2020,42772,491,1542,2,37199,617,4031,-128,37199,617,4031,-128
07-14-2020,43170,398,1548,6,37749,550,3873,-158,37749,550,3873,-158
07-15-2020,43742,572,1558,10,38179,430,4005,132,38179,430,4005,132
07-16-2020,44347,605,1566,8,38290,111,4491,486,38290,111,4491,486
07-17-2020,45013,666,1573,7,38568,278,4872,381,38568,278,4872,381
07-18-2020,45470,457,1578,5,39310,742,4582,-290,39310,742,4582,-290
07-19-2020,46204,734,1581,3,40001,691,4622,40,40001,691,4622,40
07-20-2020,47107,903,1585,4,40742,741,4780,158,40742,741,4780,158
07-21-2020,47457,350,1588,3,41511,769,4358,-422,41511,769,4358,-422
07-22-2020,47961,504,1592,4,42234,723,4135,-223,42234,723,4135,-223
07-23-2020,48721,760,1601,9,42524,290,4596,461,42524,290,4596,461
07-24-2020,49488,767,1606,5,42882,358,5000,404,42882,358,5000,404
07-25-2020,50291,803,1611,5,43625,743,5055,55,43625,743,5055,55
07-26-2020,51153,862,1614,3,44431,806,5108,53,44431,806,5108,53
07-27-2020,51803,650,1616,2,45198,767,4989,-119,45198,767,4989,-119
07-28-2020,52281,478,1620,4,45987,789,4674,-315,45987,789,4674,-315
07-29-2020,52947,666,1629,9,46636,649,4682,8,46636,649,4682,8
07-30-2020,53692,745,1634,5,46965,329,5093,411,46965,329,5093,411
07-31-2020,54463,771,1640,6,47289,324,5534,441,47289,324,5534,441
08-01-2020,55188,725,1646,6,48119,830,5423,-111,48119,830,5423,-111
08-02-2020,55947,759,1654,8,48847,728,5446,23,48847,728,5446,23
08-03-2020,56560,613,1656,2,49565,718,5339,-107,49565,718,5339,-107
08-04-2020,57162,602,1660,4,50426,861,5076,-263,50426,861,5076,-263
08-05-2020,57779,617,1670,10,51223,797,4886,-190,51223,797,4886,-190
08-06-2020,58640,861,1643,-27,51604,381,5393,507,51604,381,5393,507
08-07-2020,59185,545,1681,38,51940,336,5564,171,51940,336,5564,171
08-08-2020,60101,916,1689,8,52768,828,5644,80,52768,828,5644,80
08-09-2020,60898,797,1698,9,53568,800,5632,-12,53568,800,5632,-12
08-10-2020,61516,618,1701,3,54364,796,5451,-181,54364,796,5451,-181
08-11-2020,61839,323,1707,6,55151,787,4981,-470,55151,787,4981,-470
08-12-2020,62303,464,1724,17,55855,704,4724,-257,55855,704,4724,-257
08-13-2020,62993,690,1731,7,56346,491,4916,192,56346,491,4916,192
08-14-2020,63723,730,1739,8,56659,313,5325,409,56659,313,5325,409
08-15-2020,64413,690,1705,-34,57457,798,5251,-74,57457,798,5251,-74
08-16-2020,65152,739,1752,47,58196,739,5204,-47,58196,739,5204,-47
08-17-2020,65716,564,1758,6,58859,663,5099,-105,58859,663,5099,-105
08-18-2020,66064,348,1730,-28,59568,709,4766,-333,59568,709,4766,-333
08-19-2020,66618,554,1784,54,60242,674,4592,-174,60242,674,4592,-174
08-20-2020,67308,690,1791,7,60605,363,4912,320,60605,363,4912,320
08-21-2020,68133,825,1799,8,60920,315,5414,502,60920,315,5414,502
08-22-2020,68867,734,1807,8,61698,778,5362,-52,61698,778,5362,-52
08-23-2020,69584,717,1813,6,62373,675,5398,36,62373,675,5398,36
08-24-2020,70298,714,1817,4,63059,686,5422,24,63059,686,5422,24
08-25-2020,70298,0,1817,0,63059,0,5422,0,63059,0,5422,0
