date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-29-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-13-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-14-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-15-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-16-2020,9,7,0,0,0,0,9,7,-1,-1,-1,-1
03-17-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-18-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-19-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-20-2020,12,3,0,0,0,0,12,3,-1,-1,-1,-1
03-21-2020,18,6,0,0,0,0,18,6,-1,-1,-1,-1
03-22-2020,18,0,0,0,0,0,18,0,-1,-1,-1,-1
03-23-2020,19,1,0,0,0,0,19,1,-1,-1,-1,-1
03-24-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-25-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-26-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-27-2020,19,0,0,0,1,1,18,-1,-1,-1,-1,-1
03-28-2020,19,0,0,0,1,0,18,0,-1,-1,-1,-1
03-29-2020,19,0,0,0,1,0,18,0,-1,-1,-1,-1
03-30-2020,31,12,0,0,7,6,24,6,-1,-1,-1,-1
03-31-2020,34,3,0,0,7,0,27,3,-1,-1,-1,-1
04-01-2020,37,3,0,0,7,0,30,3,-1,-1,-1,-1
04-02-2020,37,0,0,0,7,0,30,0,-1,-1,-1,-1
04-03-2020,37,0,0,0,9,2,28,-2,-1,-1,-1,-1
04-04-2020,37,0,0,0,14,5,23,-5,-1,-1,-1,-1
04-05-2020,37,0,0,0,14,0,23,0,-1,-1,-1,-1
04-06-2020,37,0,0,0,15,1,22,-1,-1,-1,-1,-1
04-07-2020,40,3,0,0,15,0,25,3,-1,-1,-1,-1
04-08-2020,40,0,0,0,15,0,25,0,-1,-1,-1,-1
04-09-2020,54,14,0,0,15,0,39,14,-1,-1,-1,-1
