date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-10-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-16-2020,4,3,0,0,0,0,4,3,-1,-1,-1,-1
03-17-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-18-2020,5,1,0,0,0,0,5,1,-1,-1,-1,-1
03-19-2020,6,1,0,0,0,0,6,1,-1,-1,-1,-1
03-20-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-21-2020,10,4,0,0,0,0,10,4,-1,-1,-1,-1
03-22-2020,10,0,0,0,0,0,10,0,-1,-1,-1,-1
03-23-2020,10,0,0,0,0,0,10,0,-1,-1,-1,-1
03-24-2020,10,0,0,0,0,0,10,0,-1,-1,-1,-1
03-25-2020,10,0,0,0,0,0,10,0,-1,-1,-1,-1
03-26-2020,11,1,0,0,0,0,11,1,-1,-1,-1,-1
03-27-2020,11,0,0,0,0,0,11,0,-1,-1,-1,-1
03-28-2020,12,1,0,0,0,0,12,1,-1,-1,-1,-1
03-29-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-30-2020,12,0,0,0,3,3,9,-3,-1,-1,-1,-1
03-31-2020,12,0,0,0,3,0,9,0,-1,-1,-1,-1
04-01-2020,14,2,0,0,4,1,10,1,-1,-1,-1,-1
04-02-2020,14,0,0,0,4,0,10,0,-1,-1,-1,-1
04-03-2020,14,0,0,0,4,0,10,0,-1,-1,-1,-1
04-04-2020,14,0,0,0,8,4,6,-4,-1,-1,-1,-1
04-05-2020,14,0,0,0,8,0,6,0,-1,-1,-1,-1
04-06-2020,15,1,0,0,8,0,7,1,-1,-1,-1,-1
04-07-2020,15,0,0,0,8,0,7,0,-1,-1,-1,-1
04-08-2020,16,1,0,0,8,0,8,1,-1,-1,-1,-1
04-09-2020,16,0,0,0,9,1,7,-1,-1,-1,-1,-1
04-10-2020,16,0,0,0,9,0,7,0,-1,-1,-1,-1
04-11-2020,16,0,0,0,9,0,7,0,-1,-1,-1,-1
04-12-2020,16,0,0,0,9,0,7,0,-1,-1,-1,-1
04-13-2020,16,0,0,0,10,1,6,-1,-1,-1,-1,-1
04-14-2020,30,14,0,0,10,0,20,14,-1,-1,-1,-1
04-15-2020,30,0,0,0,12,2,18,-2,-1,-1,-1,-1
04-16-2020,31,1,0,0,12,0,19,1,-1,-1,-1,-1
