date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-11-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-12-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-13-2020,5,4,0,0,0,0,5,4,0,0,5,4
03-14-2020,7,2,0,0,0,0,7,2,0,0,7,2
03-15-2020,7,0,0,0,0,0,7,0,0,0,7,0
03-16-2020,9,2,0,0,0,0,9,2,0,0,9,2
03-17-2020,10,1,0,0,0,0,10,1,0,0,10,1
03-18-2020,11,1,0,0,0,0,11,1,0,0,11,1
03-19-2020,15,4,0,0,0,0,15,4,0,0,15,4
03-20-2020,20,5,0,0,0,0,20,5,0,0,20,5
03-21-2020,30,10,0,0,0,0,30,10,0,0,30,10
03-22-2020,34,4,0,0,0,0,34,4,0,0,34,4
03-23-2020,46,12,0,0,0,0,46,12,0,0,46,12
03-24-2020,51,5,0,0,0,0,51,5,0,0,51,5
03-25-2020,67,16,0,0,0,0,67,16,0,0,67,16
03-26-2020,90,23,1,1,0,0,89,22,0,0,89,22
03-27-2020,121,31,1,0,3,3,117,28,0,0,120,31
03-28-2020,147,26,1,0,4,1,142,25,0,0,146,26
03-29-2020,161,14,2,1,3,-1,156,14,0,0,159,13
03-30-2020,177,16,5,3,2,-1,170,14,0,0,172,13
03-31-2020,198,21,5,0,3,1,190,20,0,0,193,21
04-01-2020,217,19,6,1,2,-1,209,19,0,0,211,18
04-02-2020,241,24,5,-1,7,5,229,20,0,0,236,25
04-03-2020,262,21,5,0,11,4,246,17,0,0,257,21
04-04-2020,281,19,6,1,18,7,257,11,0,0,275,18
04-05-2020,298,17,6,0,21,3,271,14,0,0,292,17
04-06-2020,319,21,6,0,31,10,282,11,0,0,313,21
04-07-2020,319,0,6,0,35,4,278,-4,32,32,281,-32
04-08-2020,332,13,6,0,48,13,278,0,32,0,294,13
04-09-2020,354,22,6,0,157,109,191,-87,157,125,191,-103
04-10-2020,365,11,6,0,165,8,194,3,165,8,194,3
04-11-2020,377,12,6,0,165,0,206,12,165,0,206,12
04-12-2020,387,10,6,0,169,4,212,6,169,4,212,6
04-13-2020,394,7,7,1,171,2,216,4,171,2,216,4
04-14-2020,399,5,7,0,197,26,195,-21,197,26,195,-21
04-15-2020,404,5,7,0,209,12,188,-7,209,12,188,-7
04-16-2020,415,11,7,0,218,9,190,2,218,9,190,2
04-17-2020,422,7,10,3,233,15,179,-11,233,15,179,-11
04-18-2020,426,4,10,0,243,10,173,-6,243,10,173,-6
04-19-2020,433,7,10,0,243,0,180,7,243,0,180,7
04-20-2020,433,0,10,0,254,11,169,-11,243,0,180,0
04-21-2020,437,4,12,2,273,19,152,-17,273,30,152,-28
04-22-2020,439,2,14,2,296,23,129,-23,296,23,129,-23
04-23-2020,442,3,14,0,306,10,122,-7,306,10,122,-7
04-24-2020,444,2,14,0,325,19,105,-17,325,19,105,-17
04-25-2020,445,1,14,0,339,14,92,-13,339,14,92,-13
04-26-2020,448,3,14,0,339,0,95,3,339,0,95,3
04-27-2020,449,1,14,0,352,13,83,-12,352,13,83,-12
04-28-2020,451,2,15,1,352,0,84,1,352,0,84,1
04-29-2020,451,0,16,1,382,30,53,-31,382,30,53,-31
04-30-2020,453,2,16,0,392,10,45,-8,392,10,45,-8
05-01-2020,453,0,16,0,397,5,40,-5,397,5,40,-5
05-02-2020,455,2,16,0,404,7,35,-5,404,7,35,-5
05-03-2020,455,0,16,0,404,0,35,0,404,0,35,0
05-04-2020,457,2,16,0,404,0,37,2,404,0,37,2
05-05-2020,457,0,16,0,410,6,31,-6,410,6,31,-6
05-06-2020,457,0,16,0,410,0,31,0,410,0,31,0
05-07-2020,457,0,16,0,410,0,31,0,410,0,31,0
05-08-2020,458,1,16,0,420,10,22,-9,420,10,22,-9
05-09-2020,458,0,16,0,422,2,20,-2,422,2,20,-2
05-10-2020,458,0,16,0,422,0,20,0,422,0,20,0
05-11-2020,459,1,16,0,423,1,20,0,423,1,20,0
05-12-2020,461,2,16,0,425,2,20,0,425,2,20,0
05-13-2020,462,1,16,0,430,5,16,-4,430,5,16,-4
05-14-2020,462,0,16,0,430,0,16,0,430,0,16,0
05-15-2020,466,4,16,0,431,1,19,3,431,1,19,3
05-16-2020,468,2,16,0,431,0,21,2,431,0,21,2
05-17-2020,468,0,16,0,431,0,21,0,431,0,21,0
05-18-2020,470,2,16,0,431,0,23,2,431,0,23,2
05-19-2020,471,1,16,0,437,6,18,-5,437,6,18,-5
05-20-2020,478,7,16,0,440,3,22,4,440,3,22,4
05-21-2020,479,1,16,0,440,0,23,1,440,0,23,1
05-22-2020,479,0,16,0,440,0,23,0,440,0,23,0
05-23-2020,479,0,16,0,440,0,23,0,440,0,23,0
05-24-2020,479,0,16,0,440,0,23,0,440,0,23,0
05-25-2020,479,0,16,0,441,1,22,-1,441,1,22,-1
05-26-2020,479,0,17,1,441,0,21,-1,441,0,21,-1
05-27-2020,481,2,17,0,444,3,20,-1,444,3,20,-1
05-28-2020,485,4,17,0,445,1,23,3,445,1,23,3
05-29-2020,493,8,17,0,448,3,28,5,448,3,28,5
05-30-2020,505,12,17,0,448,0,40,12,448,0,40,12
05-31-2020,515,10,17,0,456,8,42,2,456,8,42,2
06-01-2020,519,4,17,0,461,5,41,-1,461,5,41,-1
06-02-2020,523,4,17,0,462,1,44,3,462,1,44,3
06-03-2020,525,2,17,0,464,2,44,0,464,2,44,0
06-04-2020,539,14,17,0,467,3,55,11,467,3,55,11
06-05-2020,541,2,18,1,470,3,53,-2,470,3,53,-2
06-06-2020,540,-1,18,0,472,2,50,-3,472,2,50,-3
06-07-2020,545,5,18,0,475,3,52,2,475,3,52,2
06-08-2020,548,3,18,0,475,0,55,3,475,0,55,3
06-09-2020,554,6,18,0,485,10,51,-4,485,10,51,-4
06-10-2020,561,7,18,0,487,2,56,5,487,2,56,5
06-11-2020,563,2,18,0,487,0,58,2,487,0,58,2
06-12-2020,573,10,18,0,489,2,66,8,489,2,66,8
06-13-2020,588,15,18,0,510,21,60,-6,510,21,60,-6
06-14-2020,601,13,19,1,510,0,72,12,510,0,72,12
06-15-2020,609,8,19,0,510,0,80,8,510,0,80,8
06-16-2020,614,5,19,0,535,25,60,-20,535,25,60,-20
06-17-2020,630,16,20,1,538,3,72,12,538,3,72,12
06-18-2020,655,25,20,0,545,7,90,18,545,7,90,18
06-19-2020,666,11,20,0,546,1,100,10,546,1,100,10
06-20-2020,698,32,20,0,548,2,130,30,548,2,130,30
06-21-2020,717,19,20,0,548,0,149,19,548,0,149,19
06-22-2020,734,17,21,1,550,2,163,14,550,2,163,14
06-23-2020,743,9,21,0,566,16,156,-7,566,16,156,-7
06-24-2020,766,23,21,0,571,5,174,18,571,5,174,18
06-25-2020,803,37,21,0,572,1,210,36,572,1,210,36
06-26-2020,829,26,22,1,589,17,218,8,589,17,218,8
06-27-2020,852,23,22,0,604,15,226,8,604,15,226,8
06-28-2020,863,11,22,0,604,0,237,11,604,0,237,11
06-29-2020,919,56,22,0,609,5,288,51,609,5,288,51
06-30-2020,967,48,22,0,642,33,303,15,642,33,303,15
07-01-2020,1016,49,22,0,658,16,336,33,658,16,336,33
07-02-2020,1083,67,22,0,672,14,389,53,672,14,389,53
07-03-2020,1128,45,23,1,678,6,427,38,678,6,427,38
07-04-2020,1167,39,23,0,678,0,466,39,678,0,466,39
07-05-2020,1212,45,23,0,678,0,511,45,678,0,511,45
07-06-2020,1249,37,23,0,678,0,548,37,678,0,548,37
07-07-2020,1327,78,23,0,716,38,588,40,716,38,588,40
07-08-2020,1371,44,23,0,759,43,589,1,759,43,589,1
07-09-2020,1466,95,25,2,796,37,645,56,796,37,645,56
07-10-2020,1593,127,28,3,855,59,710,65,855,59,710,65
07-11-2020,1677,84,29,1,864,9,784,74,864,9,784,74
07-12-2020,1758,81,29,0,865,1,864,80,865,1,864,80
07-13-2020,1843,85,32,3,875,10,936,72,875,10,936,72
07-14-2020,1952,109,34,2,875,0,1043,107,875,0,1043,107
07-15-2020,2096,144,34,0,915,40,1147,104,915,40,1147,104
07-16-2020,2231,135,35,1,970,55,1226,79,970,55,1226,79
07-17-2020,2366,135,37,2,996,26,1333,107,992,22,1337,111
07-18-2020,2471,105,37,0,1075,79,1359,26,1075,83,1359,22
07-19-2020,2533,62,37,0,1075,0,1421,62,1075,0,1421,62
07-20-2020,2621,88,39,2,1334,259,1248,-173,1334,259,1248,-173
07-21-2020,2712,91,40,1,1493,159,1179,-69,1493,159,1179,-69
07-22-2020,2813,101,42,2,1543,50,1228,49,1543,50,1228,49
07-23-2020,2910,97,43,1,1587,44,1280,52,1587,44,1280,52
07-24-2020,3039,129,46,3,1815,228,1178,-102,1815,228,1178,-102
07-25-2020,3260,221,46,0,1977,162,1237,59,1977,162,1237,59
07-26-2020,3342,82,46,0,2079,102,1217,-20,2079,102,1217,-20
07-27-2020,3381,39,47,1,2090,11,1244,27,2090,11,1244,27
07-28-2020,3475,94,51,4,2104,14,1320,76,2104,14,1320,76
07-29-2020,3676,201,54,3,2212,108,1410,90,2212,108,1410,90
07-30-2020,3814,138,55,1,2240,28,1519,109,2240,28,1519,109
07-31-2020,3965,151,60,5,2331,91,1574,55,2331,91,1574,55
08-01-2020,4081,116,61,1,2456,125,1564,-10,2456,125,1564,-10
08-02-2020,4193,112,61,0,2466,10,1666,102,2466,10,1666,102
08-03-2020,4233,40,64,3,2653,187,1516,-150,2653,187,1516,-150
08-04-2020,4314,81,64,0,2766,113,1484,-32,2766,113,1484,-32
08-05-2020,4429,115,65,1,2820,54,1544,60,2820,54,1544,60
08-06-2020,4602,173,65,0,2964,144,1573,29,2964,144,1573,29
08-07-2020,4757,155,70,5,3122,158,1565,-8,3122,158,1565,-8
08-08-2020,4889,132,75,5,3255,133,1559,-6,3255,133,1559,-6
08-09-2020,4952,63,75,0,3275,20,1602,43,3275,20,1602,43
08-10-2020,5017,65,75,0,3413,138,1529,-73,3413,138,1529,-73
08-11-2020,5104,87,77,2,3542,129,1485,-44,3542,129,1485,-44
08-12-2020,5268,164,80,3,3598,56,1590,105,3598,56,1590,105
08-13-2020,5407,139,81,1,3937,339,1389,-201,3937,339,1389,-201
08-14-2020,5541,134,81,0,4011,74,1449,60,4011,74,1449,60
08-15-2020,5659,118,82,1,4123,112,1454,5,4123,112,1454,5
08-16-2020,5750,91,82,0,4145,22,1523,69,4145,22,1523,69
08-17-2020,5792,42,82,0,4162,17,1548,25,4162,17,1548,25
08-18-2020,5846,54,84,2,4206,44,1556,8,4206,44,1556,8
08-19-2020,5956,110,84,0,4357,151,1515,-41,4357,151,1515,-41
08-20-2020,6072,116,89,5,4434,77,1549,34,4434,77,1549,34
08-21-2020,6216,144,89,0,4798,364,1329,-220,4798,364,1329,-220
08-22-2020,6376,160,90,1,4815,17,1471,142,4815,17,1471,142
08-23-2020,6429,53,90,0,4816,1,1523,52,4816,1,1523,52
08-24-2020,6489,60,91,1,4842,26,1556,33,4842,26,1556,33
08-25-2020,6489,0,91,0,4842,0,1556,0,4842,0,1556,0
