date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-24-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-25-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-26-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-27-2020,5,2,0,0,0,0,5,2,-1,-1,-1,-1
03-28-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-29-2020,8,3,0,0,0,0,8,3,-1,-1,-1,-1
03-30-2020,10,2,0,0,0,0,10,2,-1,-1,-1,-1
03-31-2020,14,4,0,0,0,0,14,4,-1,-1,-1,-1
04-01-2020,15,1,1,1,-1,-1,15,1,-1,-1,-1,-1
04-02-2020,16,1,1,0,-1,0,16,1,-1,-1,-1,-1
04-03-2020,20,4,1,0,-1,0,20,4,-1,-1,-1,-1
04-04-2020,20,0,1,0,-1,0,20,0,-1,-1,-1,-1
04-05-2020,21,1,1,0,-1,0,21,1,-1,-1,-1,-1
04-06-2020,21,0,1,0,-1,0,21,0,-1,-1,-1,-1
04-07-2020,22,1,1,0,0,1,21,0,-1,-1,-1,-1
04-08-2020,22,0,3,2,0,0,19,-2,-1,-1,-1,-1
04-09-2020,22,0,3,0,0,0,19,0,-1,-1,-1,-1
04-10-2020,27,5,3,0,1,1,23,4,-1,-1,-1,-1
04-11-2020,28,1,3,0,1,0,24,1,-1,-1,-1,-1
04-12-2020,38,10,3,0,3,2,32,8,-1,-1,-1,-1
04-13-2020,41,3,4,1,4,1,33,1,-1,-1,-1,-1
04-14-2020,62,21,4,0,7,3,51,18,-1,-1,-1,-1
04-15-2020,74,12,4,0,8,1,62,11,-1,-1,-1,-1
04-16-2020,85,11,4,0,8,0,73,11,-1,-1,-1,-1
04-17-2020,85,0,4,0,12,4,69,-4,-1,-1,-1,-1
04-18-2020,94,9,5,1,11,-1,78,9,-1,-1,-1,-1
04-19-2020,107,13,5,0,12,1,90,12,-1,-1,-1,-1
04-20-2020,111,4,5,0,12,0,94,4,-1,-1,-1,-1
04-21-2020,119,8,5,0,13,1,101,7,-1,-1,-1,-1
04-22-2020,121,2,5,0,13,0,103,2,-1,-1,-1,-1
04-23-2020,127,6,5,0,13,0,109,6,-1,-1,-1,-1
04-24-2020,139,12,5,0,17,4,117,8,-1,-1,-1,-1
04-25-2020,144,5,5,0,18,1,121,4,-1,-1,-1,-1
04-26-2020,146,2,5,0,26,8,115,-6,-1,-1,-1,-1
04-27-2020,146,0,5,0,29,3,112,-3,-1,-1,-1,-1
04-28-2020,146,0,5,0,47,18,94,-18,-1,-1,-1,-1
04-29-2020,150,4,5,0,57,10,88,-6,-1,-1,-1,-1
04-30-2020,150,0,6,1,65,8,79,-9,-1,-1,-1,-1
05-01-2020,151,1,6,0,65,0,80,1,-1,-1,-1,-1
05-02-2020,151,0,6,0,72,7,73,-7,-1,-1,-1,-1
05-03-2020,151,0,6,0,83,11,62,-11,-1,-1,-1,-1
05-04-2020,155,4,6,0,86,3,63,1,-1,-1,-1,-1
05-05-2020,161,6,6,0,93,7,62,-1,-1,-1,-1,-1
05-06-2020,161,0,6,0,95,2,60,-2,-1,-1,-1,-1
05-07-2020,162,1,6,0,100,5,56,-4,-1,-1,-1,-1
