date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-24-2020,1,1,0,0,0,0,1,1,0,0,1,1
01-25-2020,7,6,0,0,0,0,7,6,0,0,7,6
01-26-2020,11,4,0,0,0,0,11,4,0,0,11,4
01-27-2020,11,0,0,0,0,0,11,0,0,0,11,0
01-28-2020,16,5,0,0,0,0,16,5,0,0,16,5
01-29-2020,16,0,0,0,0,0,16,0,0,0,16,0
01-30-2020,20,4,0,0,0,0,20,4,0,0,20,4
01-31-2020,20,0,0,0,1,1,19,-1,1,1,19,-1
02-01-2020,27,7,0,0,1,0,26,7,1,0,26,7
02-02-2020,27,0,0,0,1,0,26,0,1,0,26,0
02-03-2020,34,7,0,0,1,0,33,7,1,0,33,7
02-04-2020,42,8,0,0,1,0,41,8,1,0,41,8
02-05-2020,42,0,0,0,3,2,39,-2,3,2,39,-2
02-06-2020,46,4,0,0,4,1,42,3,4,1,42,3
02-07-2020,50,4,0,0,5,1,45,3,5,1,45,3
02-08-2020,54,4,0,0,5,0,49,4,5,0,49,4
02-09-2020,58,4,0,0,8,3,50,1,5,0,53,4
02-10-2020,58,0,0,0,8,0,50,0,5,0,53,0
02-11-2020,58,0,0,0,12,4,46,-4,5,0,53,0
02-12-2020,61,3,0,0,12,0,49,3,6,1,55,2
02-13-2020,65,4,0,0,16,4,49,0,6,0,59,4
02-14-2020,68,3,0,0,16,0,52,3,6,0,62,3
02-15-2020,70,2,0,0,21,5,49,-3,7,1,63,1
02-16-2020,72,2,0,0,21,0,51,2,8,1,64,1
02-17-2020,73,1,0,0,27,6,46,-5,8,0,65,1
02-18-2020,75,2,0,0,34,7,41,-5,9,1,66,1
02-19-2020,75,0,0,0,34,0,41,0,11,2,64,-2
02-20-2020,75,0,0,0,37,3,38,-3,16,5,59,-5
02-21-2020,75,0,0,0,40,3,35,-3,22,6,53,-6
02-22-2020,75,0,0,0,44,4,31,-4,26,4,49,-4
02-23-2020,75,0,0,0,48,4,27,-4,30,4,45,-4
02-24-2020,75,0,0,0,48,0,27,0,34,4,41,-4
02-25-2020,75,0,0,0,49,1,26,-1,35,1,40,-1
02-26-2020,75,0,0,0,51,2,24,-2,38,3,37,-3
02-27-2020,75,0,0,0,55,4,20,-4,43,5,32,-5
02-28-2020,75,0,0,0,57,2,18,-2,46,3,29,-3
02-29-2020,75,0,0,0,60,3,15,-3,51,5,24,-5
03-01-2020,75,0,0,0,62,2,13,-2,51,0,24,0
03-02-2020,75,0,0,0,63,1,12,-1,54,3,21,-3
03-03-2020,75,0,1,1,65,2,9,-3,59,5,15,-6
03-04-2020,75,0,1,0,65,0,9,0,59,0,15,0
03-05-2020,75,0,1,0,66,1,8,-1,65,6,9,-6
03-06-2020,75,0,1,0,66,0,8,0,65,0,9,0
03-07-2020,75,0,1,0,67,1,7,-1,65,0,9,0
03-08-2020,75,0,1,0,70,3,4,-3,70,5,4,-5
03-09-2020,75,0,1,0,70,0,4,0,70,0,4,0
03-10-2020,75,0,1,0,70,0,4,0,70,0,4,0
03-11-2020,75,0,1,0,71,1,3,-1,71,1,3,-1
03-12-2020,75,0,1,0,71,0,3,0,71,0,3,0
03-13-2020,75,0,1,0,71,0,3,0,71,0,3,0
03-14-2020,75,0,1,0,71,0,3,0,71,0,3,0
03-15-2020,75,0,1,0,71,0,3,0,71,0,3,0
03-16-2020,75,0,1,0,73,2,1,-2,73,2,1,-2
03-17-2020,75,0,1,0,73,0,1,0,73,0,1,0
03-18-2020,75,0,1,0,74,1,0,-1,74,1,0,-1
03-19-2020,75,0,1,0,74,0,0,0,74,0,0,0
03-20-2020,75,0,1,0,74,0,0,0,74,0,0,0
03-21-2020,75,0,1,0,74,0,0,0,74,0,0,0
03-22-2020,75,0,1,0,74,0,0,0,74,0,0,0
03-23-2020,75,0,1,0,74,0,0,0,74,0,0,0
03-24-2020,75,0,1,0,74,0,0,0,74,0,0,0
03-25-2020,77,2,1,0,74,0,2,2,74,0,2,2
03-26-2020,89,12,1,0,74,0,14,12,74,0,14,12
03-27-2020,92,3,1,0,74,0,17,3,74,0,17,3
03-28-2020,94,2,1,0,74,0,19,2,74,0,19,2
03-29-2020,97,3,1,0,74,0,22,3,74,0,22,3
03-30-2020,97,0,1,0,74,0,22,0,74,0,22,0
03-31-2020,107,10,1,0,74,0,32,10,74,0,32,10
04-01-2020,117,10,1,0,74,0,42,10,74,0,42,10
04-02-2020,117,0,1,0,74,0,42,0,74,0,42,0
04-03-2020,117,0,1,0,74,0,42,0,74,0,42,0
04-04-2020,117,0,1,0,74,0,42,0,74,0,42,0
04-05-2020,117,0,1,0,74,0,42,0,74,0,42,0
04-06-2020,118,1,1,0,74,0,43,1,74,0,43,1
04-07-2020,124,6,1,0,74,0,49,6,74,0,49,6
04-08-2020,124,0,1,0,75,1,48,-1,74,0,49,0
04-09-2020,126,2,1,0,85,10,40,-8,79,5,46,-3
04-10-2020,128,2,1,0,87,2,40,0,79,0,48,2
04-11-2020,155,27,1,0,89,2,65,25,79,0,75,27
04-12-2020,189,34,1,0,91,2,97,32,83,4,105,30
04-13-2020,190,1,1,0,91,0,98,1,83,0,106,1
04-14-2020,190,0,1,0,99,8,90,-8,83,0,106,0
04-15-2020,193,3,1,0,108,9,84,-6,94,11,98,-8
04-16-2020,193,0,1,0,108,0,84,0,94,0,98,0
04-17-2020,193,0,1,0,108,0,84,0,103,9,89,-9
04-18-2020,193,0,1,0,108,0,84,0,103,0,89,0
04-19-2020,193,0,1,0,108,0,84,0,103,0,89,0
04-20-2020,194,1,1,0,108,0,85,1,104,1,89,0
04-21-2020,194,0,1,0,113,5,80,-5,104,0,89,0
04-22-2020,194,0,1,0,113,0,80,0,104,0,89,0
04-23-2020,194,0,1,0,117,4,76,-4,104,0,89,0
04-24-2020,194,0,1,0,119,2,74,-2,104,0,89,0
04-25-2020,198,4,1,0,141,22,56,-18,121,17,76,-13
04-26-2020,198,0,1,0,169,28,28,-28,129,8,68,-8
04-27-2020,199,1,1,0,170,1,28,0,145,16,53,-15
04-28-2020,199,0,1,0,171,1,27,-1,145,0,53,0
04-29-2020,200,1,1,0,175,4,24,-3,150,5,49,-4
04-30-2020,201,1,1,0,175,0,25,1,152,2,48,-1
05-01-2020,201,0,1,0,175,0,25,0,154,2,46,-2
05-02-2020,201,0,1,0,175,0,25,0,154,0,46,0
05-03-2020,201,0,1,0,175,0,25,0,156,2,44,-2
