date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-05-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-06-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-07-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-08-2020,4,2,0,0,0,0,4,2,0,0,4,2
03-09-2020,4,0,0,0,0,0,4,0,0,0,4,0
03-10-2020,4,0,0,0,0,0,4,0,0,0,4,0
03-11-2020,7,3,0,0,0,0,7,3,0,0,7,3
03-12-2020,11,4,0,0,0,0,11,4,0,0,11,4
03-13-2020,20,9,0,0,0,0,20,9,0,0,20,9
03-14-2020,21,1,0,0,0,0,21,1,0,0,21,1
03-15-2020,26,5,0,0,0,0,26,5,0,0,26,5
03-16-2020,45,19,1,1,0,0,44,18,0,0,44,18
03-17-2020,56,11,1,0,0,0,55,11,0,0,55,11
03-18-2020,84,28,1,0,0,0,83,28,0,0,83,28
03-19-2020,95,11,1,0,0,0,94,11,0,0,94,11
03-20-2020,161,66,2,1,0,0,159,65,0,0,159,65
03-21-2020,161,0,2,0,0,0,159,0,0,0,159,0
03-22-2020,191,30,2,0,1,1,188,29,0,0,189,30
03-23-2020,263,72,4,2,0,-1,259,71,0,0,259,70
03-24-2020,285,22,6,2,0,0,279,20,0,0,279,20
03-25-2020,405,120,10,4,0,0,395,116,0,0,395,116
03-26-2020,536,131,10,0,0,0,526,131,0,0,526,131
03-27-2020,621,85,10,0,6,6,605,79,0,0,611,85
03-28-2020,738,117,14,4,3,-3,721,116,0,0,724,113
03-29-2020,920,182,15,1,6,3,899,178,0,0,905,181
03-30-2020,1044,124,18,3,18,12,1008,109,0,0,1026,121
03-31-2020,1138,94,26,8,19,1,1093,85,0,0,1112,86
04-01-2020,1299,161,32,6,36,17,1231,138,0,0,1267,155
04-02-2020,1484,185,38,6,39,3,1407,176,0,0,1446,179
04-03-2020,1559,75,43,5,87,48,1429,22,0,0,1516,70
04-04-2020,1742,183,46,3,84,-3,1612,183,0,0,1696,180
04-05-2020,1836,94,46,0,109,25,1681,69,0,0,1790,94
04-06-2020,1970,134,46,0,167,58,1757,76,0,0,1924,134
04-07-2020,2131,161,72,26,159,-8,1900,143,38,38,2021,97
04-08-2020,2318,187,74,2,255,96,1989,89,48,10,2196,175
04-09-2020,2456,138,81,7,354,99,2021,32,48,0,2327,131
04-10-2020,2603,147,102,21,868,514,1633,-388,868,820,1633,-694
04-11-2020,2747,144,111,9,994,126,1642,9,994,126,1642,9
04-12-2020,2836,89,114,3,994,0,1728,86,994,0,1728,86
04-13-2020,3029,193,121,7,1169,175,1739,11,1169,175,1739,11
04-14-2020,3144,115,130,9,1249,80,1765,26,1249,80,1765,26
04-15-2020,3214,70,137,7,1400,151,1677,-88,1400,151,1677,-88
04-16-2020,3321,107,142,5,1531,131,1648,-29,1531,131,1648,-29
04-17-2020,3524,203,142,0,1664,133,1718,70,1664,133,1718,70
04-18-2020,3644,120,151,9,1770,106,1723,5,1770,106,1723,5
04-19-2020,3728,84,158,7,1880,110,1690,-33,1880,110,1690,-33
04-20-2020,3830,102,163,5,1958,78,1709,19,1958,78,1709,19
04-21-2020,3937,107,163,0,2044,86,1730,21,2044,86,1730,21
04-22-2020,4081,144,187,24,2209,165,1685,-45,2209,165,1685,-45
04-23-2020,4208,127,195,8,2325,116,1688,3,2325,116,1688,3
04-24-2020,4398,190,197,2,2420,95,1781,93,2420,95,1781,93
04-25-2020,4539,141,205,8,2550,130,1784,3,2550,130,1784,3
04-26-2020,4734,195,206,1,2647,97,1881,97,2647,97,1881,97
04-27-2020,4734,0,206,0,2686,39,1842,-39,2686,39,1842,-39
04-28-2020,4821,87,219,13,2788,102,1814,-28,2788,102,1814,-28
04-29-2020,4935,114,230,11,2916,128,1789,-25,2916,128,1789,-25
04-30-2020,5054,119,243,13,3037,121,1774,-15,3037,121,1774,-15
05-01-2020,5248,194,246,3,3199,162,1803,29,3199,162,1803,29
05-02-2020,5389,141,255,9,3320,121,1814,11,3320,121,1814,11
05-03-2020,5472,83,259,4,3440,120,1773,-41,3440,120,1773,-41
05-04-2020,5630,158,265,6,3535,95,1830,57,3535,95,1830,57
05-05-2020,5660,30,276,11,3594,59,1790,-40,3594,59,1790,-40
05-06-2020,5744,84,289,13,4199,605,1256,-534,4199,605,1256,-534
05-07-2020,5855,111,297,8,4324,125,1234,-22,4324,125,1234,-22
05-08-2020,5920,65,294,-3,4362,38,1264,30,4362,38,1264,30
05-09-2020,6049,129,306,12,4559,197,1184,-80,4559,197,1184,-80
05-10-2020,6120,71,310,4,4604,45,1206,22,4604,45,1206,22
05-11-2020,6154,34,312,2,4674,70,1168,-38,4674,70,1168,-38
05-12-2020,6311,157,321,9,4822,148,1168,0,4822,148,1168,0
05-13-2020,6476,165,331,10,4935,113,1210,42,4935,113,1210,42
05-14-2020,6610,134,339,8,4948,13,1323,113,4948,13,1323,113
05-15-2020,6742,132,345,6,5056,108,1341,18,5056,108,1341,18
