date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-04-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-05-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-06-2020,4,2,0,0,0,0,4,2,0,0,4,2
03-07-2020,4,0,0,0,0,0,4,0,0,0,4,0
03-08-2020,6,2,0,0,0,0,6,2,0,0,6,2
03-09-2020,11,5,0,0,0,0,11,5,0,0,11,5
03-10-2020,15,4,1,1,0,0,14,3,0,0,14,3
03-11-2020,23,8,1,0,0,0,22,8,0,0,22,8
03-12-2020,31,8,1,0,0,0,30,8,0,0,30,8
03-13-2020,50,19,1,0,0,0,49,19,0,0,49,19
03-14-2020,70,20,2,1,0,0,68,19,0,0,68,19
03-15-2020,109,39,2,0,0,0,107,39,0,0,107,39
03-16-2020,179,70,3,1,1,1,175,68,1,1,175,68
03-17-2020,267,88,3,0,1,0,263,88,1,0,263,88
03-18-2020,427,160,5,2,1,0,421,158,1,0,421,158
03-19-2020,742,315,9,4,1,0,732,311,1,0,732,311
03-20-2020,890,148,11,2,1,0,878,146,1,0,878,146
03-21-2020,1327,437,16,5,0,-1,1311,433,0,-1,1311,433
03-22-2020,1914,587,21,5,0,0,1893,582,0,0,1893,582
03-23-2020,2844,930,27,6,0,0,2817,924,0,0,2817,924
03-24-2020,3675,831,44,17,0,0,3631,814,0,0,3631,814
03-25-2020,4407,732,62,18,0,0,4345,714,0,0,4345,714
03-26-2020,6876,2469,81,19,0,0,6795,2450,0,0,6795,2450
03-27-2020,8825,1949,108,27,0,0,8717,1922,0,0,8717,1922
03-28-2020,11124,2299,140,32,0,0,10984,2267,0,0,10984,2267
03-29-2020,13386,2262,161,21,0,0,13225,2241,0,0,13225,2241
03-30-2020,16636,3250,198,37,0,0,16438,3213,0,0,16438,3213
03-31-2020,18997,2361,267,69,0,0,18730,2292,0,0,18730,2292
