date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-19-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-23-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-24-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-25-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-26-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-27-2020,10,8,1,1,-1,-1,10,8,-1,-1,-1,-1
03-28-2020,10,0,1,0,-1,0,10,0,-1,-1,-1,-1
03-29-2020,10,0,1,0,-1,0,10,0,-1,-1,-1,-1
03-30-2020,20,10,3,2,-3,-2,20,10,-1,-1,-1,-1
03-31-2020,20,0,3,0,-3,0,20,0,-1,-1,-1,-1
04-01-2020,20,0,3,0,-3,0,20,0,-1,-1,-1,-1
04-02-2020,74,54,5,2,-4,-1,73,53,-1,-1,-1,-1
04-03-2020,98,24,5,0,-4,0,97,24,-1,-1,-1,-1
04-04-2020,120,22,5,0,-4,0,119,22,-1,-1,-1,-1
04-05-2020,144,24,8,3,-7,-3,143,24,-1,-1,-1,-1
04-06-2020,184,40,10,2,-8,-1,182,39,-1,-1,-1,-1
04-07-2020,253,69,10,0,-8,0,251,69,-1,-1,-1,-1
04-08-2020,278,25,11,1,-9,-1,276,25,-1,-1,-1,-1
04-09-2020,342,64,11,0,-9,0,340,64,-1,-1,-1,-1
04-10-2020,410,68,11,0,-2,7,401,61,-1,-1,-1,-1
04-11-2020,438,28,11,0,-2,0,429,28,-1,-1,-1,-1
04-12-2020,491,53,11,0,-2,0,482,53,-1,-1,-1,-1
04-13-2020,529,38,12,1,4,6,513,31,-1,-1,-1,-1
04-14-2020,548,19,13,1,3,-1,532,19,-1,-1,-1,-1
04-15-2020,570,22,14,1,2,-1,554,22,-1,-1,-1,-1
04-16-2020,584,14,14,0,46,44,524,-30,-1,-1,-1,-1
04-17-2020,609,25,15,1,64,18,530,6,-1,-1,-1,-1
04-18-2020,627,18,18,3,79,15,530,0,-1,-1,-1,-1
04-19-2020,639,12,19,1,97,18,523,-7,-1,-1,-1,-1
04-20-2020,648,9,20,1,129,32,499,-24,-1,-1,-1,-1
04-21-2020,655,7,20,0,185,56,450,-49,-1,-1,-1,-1
04-22-2020,657,2,20,0,205,20,432,-18,-1,-1,-1,-1
04-23-2020,662,5,22,2,255,50,385,-47,-1,-1,-1,-1
04-24-2020,671,9,24,2,309,54,338,-47,-1,-1,-1,-1
04-25-2020,681,10,24,0,332,23,325,-13,-1,-1,-1,-1
04-26-2020,684,3,27,3,372,40,285,-40,-1,-1,-1,-1
04-27-2020,696,12,29,2,402,30,265,-20,-1,-1,-1,-1
04-28-2020,701,5,29,0,417,15,255,-10,-1,-1,-1,-1
04-29-2020,709,8,31,2,433,16,245,-10,-1,-1,-1,-1
04-30-2020,713,4,32,1,451,18,230,-15,-1,-1,-1,-1
05-01-2020,719,6,32,0,475,24,212,-18,-1,-1,-1,-1
05-02-2020,728,9,33,1,491,16,204,-8,-1,-1,-1,-1
05-03-2020,736,8,35,2,502,11,199,-5,-1,-1,-1,-1
05-04-2020,750,14,36,1,514,12,200,1,-1,-1,-1,-1
05-05-2020,755,5,37,1,529,15,189,-11,-1,-1,-1,-1
05-06-2020,763,8,38,1,533,4,192,3,-1,-1,-1,-1
05-07-2020,770,7,38,0,546,13,186,-6,-1,-1,-1,-1
05-08-2020,781,11,42,4,559,13,180,-6,-1,-1,-1,-1
05-09-2020,795,14,44,2,569,10,182,2,-1,-1,-1,-1
05-10-2020,815,20,45,1,578,9,192,10,-1,-1,-1,-1
05-11-2020,821,6,46,1,592,14,183,-9,-1,-1,-1,-1
05-12-2020,832,11,46,0,599,7,187,4,-1,-1,-1,-1
05-13-2020,854,22,47,1,608,9,199,12,-1,-1,-1,-1
05-14-2020,860,6,49,2,613,5,198,-1,-1,-1,-1,-1
05-15-2020,876,16,50,1,622,9,204,6,-1,-1,-1,-1
05-16-2020,885,9,51,1,632,10,202,-2,-1,-1,-1,-1
05-17-2020,889,4,51,0,641,9,197,-5,-1,-1,-1,-1
05-18-2020,904,15,54,3,653,12,197,0,-1,-1,-1,-1
05-19-2020,909,5,55,1,660,7,194,-3,-1,-1,-1,-1
05-20-2020,914,5,55,0,668,8,191,-3,-1,-1,-1,-1
05-21-2020,920,6,58,3,675,7,187,-4,-1,-1,-1,-1
05-22-2020,924,4,60,2,687,12,177,-10,-1,-1,-1,-1
05-23-2020,937,13,60,0,701,14,176,-1,-1,-1,-1,-1
05-24-2020,943,6,61,1,719,18,163,-13,-1,-1,-1,-1
05-25-2020,945,2,61,0,727,8,157,-6,-1,-1,-1,-1
05-26-2020,951,6,62,1,737,10,152,-5,-1,-1,-1,-1
05-27-2020,952,1,63,1,756,19,133,-19,-1,-1,-1,-1
05-28-2020,955,3,64,1,761,5,130,-3,-1,-1,-1,-1
05-29-2020,955,0,64,0,776,15,115,-15,-1,-1,-1,-1
05-30-2020,955,0,64,0,786,10,105,-10,-1,-1,-1,-1
05-31-2020,956,1,64,0,791,5,101,-4,-1,-1,-1,-1
06-01-2020,958,2,64,0,805,14,89,-12,-1,-1,-1,-1
06-02-2020,958,0,64,0,810,5,84,-5,-1,-1,-1,-1
06-03-2020,960,2,65,1,815,5,80,-4,-1,-1,-1,-1
06-04-2020,961,1,65,0,821,6,75,-5,-1,-1,-1,-1
06-05-2020,963,2,65,0,826,5,72,-3,-1,-1,-1,-1
06-06-2020,966,3,65,0,839,13,62,-10,-1,-1,-1,-1
06-07-2020,970,4,65,0,847,8,58,-4,-1,-1,-1,-1
06-08-2020,973,3,65,0,850,3,58,0,-1,-1,-1,-1
06-09-2020,973,0,65,0,856,6,52,-6,-1,-1,-1,-1
06-10-2020,974,1,65,0,871,15,38,-14,871,-1,38,-1
06-11-2020,974,0,65,0,878,7,31,-7,878,7,31,-7
06-12-2020,978,4,65,0,881,3,32,1,881,3,32,1
06-13-2020,980,2,66,1,881,0,33,1,881,0,33,1
06-14-2020,980,0,66,0,881,0,33,0,881,0,33,0
06-15-2020,980,0,66,0,885,4,29,-4,885,4,29,-4
06-16-2020,1016,36,66,0,885,0,65,36,885,0,65,36
06-17-2020,1020,4,67,1,893,8,60,-5,893,8,60,-5
06-18-2020,1020,0,67,0,901,8,52,-8,901,8,52,-8
06-19-2020,1020,0,67,0,901,0,52,0,901,0,52,0
06-20-2020,1035,15,67,0,911,10,57,5,911,10,57,5
06-21-2020,1036,1,67,0,911,0,58,1,911,0,58,1
06-22-2020,1046,10,67,0,913,2,66,8,913,2,66,8
06-23-2020,1051,5,67,0,913,0,71,5,913,0,71,5
06-24-2020,1051,0,67,0,913,0,71,0,913,0,71,0
06-25-2020,1059,8,67,0,919,6,73,2,919,6,73,2
06-26-2020,1059,0,67,0,919,0,73,0,919,0,73,0
06-27-2020,1059,0,67,0,919,0,73,0,919,0,73,0
06-28-2020,1074,15,67,0,939,20,68,-5,939,20,68,-5
06-29-2020,1075,1,67,0,939,0,69,1,939,0,69,1
06-30-2020,1075,0,67,0,939,0,69,0,939,0,69,0
07-01-2020,1075,0,67,0,947,8,61,-8,947,8,61,-8
07-02-2020,1075,0,67,0,947,0,61,0,947,0,61,0
07-03-2020,1082,7,68,1,963,16,51,-10,963,16,51,-10
07-04-2020,1082,0,68,0,963,0,51,0,963,0,51,0
07-05-2020,1088,6,68,0,965,2,55,4,965,2,55,4
07-06-2020,1093,5,68,0,968,3,57,2,968,3,57,2
07-07-2020,1093,0,68,0,968,0,57,0,968,0,57,0
07-08-2020,1097,4,68,0,976,8,53,-4,976,8,53,-4
07-09-2020,1097,0,68,0,976,0,53,0,976,0,53,0
07-10-2020,1099,2,68,0,978,2,53,0,978,2,53,0
07-11-2020,1099,0,68,0,978,0,53,0,978,0,53,0
07-12-2020,1099,0,68,0,986,8,45,-8,978,0,53,0
07-13-2020,1099,0,68,0,987,1,44,-1,978,0,53,0
07-14-2020,1099,0,68,0,992,5,39,-5,978,0,53,0
07-15-2020,1099,0,68,0,993,1,38,-1,978,0,53,0
07-16-2020,1102,3,69,1,993,0,40,2,993,15,40,-13
07-17-2020,1102,0,69,0,998,5,35,-5,993,0,40,0
07-18-2020,1104,2,69,0,1014,16,21,-14,1014,21,21,-19
07-19-2020,1104,0,69,0,1014,0,21,0,1014,0,21,0
07-20-2020,1104,0,69,0,1014,0,21,0,1014,0,21,0
07-21-2020,1105,1,69,0,1014,0,22,1,1014,0,22,1
