date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-26-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
02-27-2020,4,3,0,0,0,0,4,3,-1,-1,-1,-1
02-28-2020,6,2,0,0,0,0,6,2,-1,-1,-1,-1
02-29-2020,7,1,0,0,0,0,7,1,-1,-1,-1,-1
03-01-2020,19,12,0,0,0,0,19,12,-1,-1,-1,-1
03-02-2020,25,6,0,0,0,0,25,6,-1,-1,-1,-1
03-03-2020,33,8,0,0,0,0,33,8,-1,-1,-1,-1
03-04-2020,33,0,0,0,0,0,33,0,-1,-1,-1,-1
03-05-2020,56,23,0,0,0,0,56,23,-1,-1,-1,-1
03-06-2020,113,57,0,0,0,0,113,57,-1,-1,-1,-1
03-07-2020,147,34,0,0,0,0,147,34,-1,-1,-1,-1
03-08-2020,169,22,0,0,0,0,169,22,-1,-1,-1,-1
03-09-2020,192,23,0,0,0,0,192,23,-1,-1,-1,-1
03-10-2020,277,85,0,0,0,0,277,85,-1,-1,-1,-1
03-11-2020,277,0,0,0,0,0,277,0,-1,-1,-1,-1
03-12-2020,277,0,0,0,3,3,274,-3,-1,-1,-1,-1
03-13-2020,750,473,1,1,3,0,746,472,-1,-1,-1,-1
03-14-2020,907,157,1,0,4,1,902,156,-1,-1,-1,-1
03-15-2020,1077,170,1,0,14,10,1062,160,-1,-1,-1,-1
03-16-2020,1169,92,3,2,17,3,1149,87,-1,-1,-1,-1
03-17-2020,1308,139,3,0,23,6,1282,133,-1,-1,-1,-1
03-18-2020,1423,115,3,0,23,0,1397,115,-1,-1,-1,-1
03-19-2020,1552,129,6,3,39,16,1507,110,-1,-1,-1,-1
03-20-2020,1742,190,7,1,84,45,1651,144,-1,-1,-1,-1
03-21-2020,1926,184,7,0,112,28,1807,156,-1,-1,-1,-1
03-22-2020,1926,0,7,0,129,17,1790,-17,-1,-1,-1,-1
03-23-2020,2132,206,7,0,148,19,1977,187,-1,-1,-1,-1
03-24-2020,2371,239,8,1,216,68,2147,170,-1,-1,-1,-1
03-25-2020,2566,195,10,2,214,-2,2342,195,-1,-1,-1,-1
03-26-2020,2916,350,12,2,212,-2,2692,350,-1,-1,-1,-1
03-27-2020,3156,240,14,2,594,382,2548,-144,-1,-1,-1,-1
03-28-2020,3581,425,16,2,719,125,2846,298,-1,-1,-1,-1
03-29-2020,3845,264,20,4,855,136,2970,124,-1,-1,-1,-1
03-30-2020,4102,257,22,2,928,73,3152,182,-1,-1,-1,-1
03-31-2020,4226,124,26,4,1038,110,3162,10,-1,-1,-1,-1
04-01-2020,4447,221,28,2,1129,91,3290,128,-1,-1,-1,-1
04-02-2020,4665,218,32,4,1232,103,3401,111,-1,-1,-1,-1
04-03-2020,4935,270,42,10,1384,152,3509,108,-1,-1,-1,-1
04-04-2020,5208,273,44,2,1536,152,3628,119,-1,-1,-1,-1
04-05-2020,5510,302,50,6,1533,-3,3927,299,-1,-1,-1,-1
04-06-2020,5640,130,58,8,1695,162,3887,-40,-1,-1,-1,-1
