date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-06-2020,2,2,0,0,0,0,2,2,0,0,2,2
03-07-2020,4,2,0,0,0,0,4,2,0,0,4,2
03-08-2020,6,2,0,0,0,0,6,2,0,0,6,2
03-09-2020,10,4,0,0,0,0,10,4,0,0,10,4
03-10-2020,12,2,0,0,0,0,12,2,0,0,12,2
03-11-2020,16,4,0,0,0,0,16,4,0,0,16,4
03-12-2020,22,6,0,0,0,0,22,6,0,0,22,6
03-13-2020,41,19,0,0,0,0,41,19,0,0,41,19
03-14-2020,47,6,0,0,0,0,47,6,0,0,47,6
03-15-2020,66,19,0,0,0,0,66,19,0,0,66,19
03-16-2020,82,16,0,0,0,0,82,16,0,0,82,16
03-17-2020,115,33,0,0,0,0,115,33,0,0,115,33
03-18-2020,157,42,1,1,0,0,156,41,0,0,156,41
03-19-2020,206,49,1,0,0,0,205,49,0,0,205,49
03-20-2020,311,105,1,0,0,0,310,105,0,0,310,105
03-21-2020,405,94,2,1,1,1,402,92,0,0,403,93
03-22-2020,516,111,5,3,0,-1,511,109,0,0,511,108
03-23-2020,698,182,7,2,1,1,690,179,0,0,691,180
03-24-2020,946,248,8,1,1,0,937,247,0,0,938,247
03-25-2020,1284,338,15,7,0,-1,1269,332,0,0,1269,331
03-26-2020,1813,529,18,3,0,0,1795,526,0,0,1795,526
03-27-2020,2345,532,23,5,10,10,2312,517,0,0,2322,527
03-28-2020,2909,564,35,12,3,-7,2871,559,0,0,2874,552
03-29-2020,3465,556,43,8,10,7,3412,541,0,0,3422,548
03-30-2020,4155,690,51,8,15,5,4089,677,0,0,4104,682
03-31-2020,4994,839,67,16,26,11,4901,812,0,0,4927,823
04-01-2020,6063,1069,74,7,53,27,5936,1035,0,0,5989,1062
04-02-2020,7345,1282,92,18,74,21,7179,1243,0,0,7253,1264
04-03-2020,8570,1225,102,10,150,76,8318,1139,0,0,8468,1215
04-04-2020,10507,1937,139,37,189,39,10179,1861,0,0,10368,1900
04-05-2020,11589,1082,151,12,267,78,11171,992,0,0,11438,1070
04-06-2020,13206,1617,179,28,387,120,12640,1469,0,0,13027,1589
04-07-2020,14956,1750,250,71,517,130,14189,1549,134,134,14572,1545
04-08-2020,16746,1790,319,69,723,206,15704,1515,134,0,16293,1721
04-09-2020,18633,1887,365,46,1106,383,17162,1458,170,36,18098,1805
04-10-2020,20408,1775,449,84,1456,350,18503,1341,170,0,19789,1691
04-11-2020,21942,1534,530,81,1832,376,19580,1077,179,9,21233,1444
04-12-2020,22997,1055,557,27,2258,426,20182,602,179,0,22261,1028
04-13-2020,24336,1339,592,35,2785,527,20959,777,264,85,23480,1219
04-14-2020,25591,1255,702,110,3359,574,21530,571,264,0,24625,1145
04-15-2020,26804,1213,787,85,4146,787,21871,341,264,0,25753,1128
04-16-2020,28314,1510,848,61,5130,984,22336,465,317,53,27149,1396
04-17-2020,30031,1717,921,73,6064,934,23046,710,340,23,28770,1621
04-18-2020,31795,1764,1105,184,7462,1398,23228,182,373,33,30317,1547
04-19-2020,32902,1107,1276,171,8183,721,23443,215,466,93,31160,843
04-20-2020,34005,1103,1357,81,9438,1255,23210,-233,466,0,32182,1022
04-21-2020,35339,1334,1614,257,10633,1195,23092,-118,466,0,33259,1077
04-22-2020,36212,873,1673,59,12071,1438,22468,-624,586,120,33953,694
