date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-30-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
01-31-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-01-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
02-02-2020,2,0,1,1,-1,-1,2,0,-1,-1,-1,-1
02-03-2020,2,0,1,0,-1,0,2,0,-1,-1,-1,-1
02-04-2020,3,1,1,0,-1,0,3,1,-1,-1,-1,-1
02-05-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-06-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-07-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-08-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-09-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-10-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-11-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-12-2020,3,0,1,0,-1,0,3,0,-1,-1,-1,-1
02-13-2020,3,0,1,0,0,1,2,-1,-1,-1,-1,-1
02-14-2020,3,0,1,0,0,0,2,0,-1,-1,-1,-1
02-15-2020,3,0,1,0,0,0,2,0,-1,-1,-1,-1
02-16-2020,3,0,1,0,0,0,2,0,-1,-1,-1,-1
02-17-2020,3,0,1,0,0,0,2,0,-1,-1,-1,-1
02-18-2020,3,0,1,0,1,1,1,-1,-1,-1,-1,-1
02-19-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-20-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-21-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-22-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-23-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-24-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-25-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-26-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-27-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-28-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
02-29-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
03-01-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
03-02-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
03-03-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
03-04-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
03-05-2020,3,0,1,0,1,0,1,0,-1,-1,-1,-1
03-06-2020,5,2,1,0,1,0,3,2,-1,-1,-1,-1
03-07-2020,6,1,1,0,1,0,4,1,-1,-1,-1,-1
03-08-2020,10,4,1,0,1,0,8,4,-1,-1,-1,-1
03-09-2020,24,14,1,0,1,0,22,14,-1,-1,-1,-1
03-10-2020,33,9,1,0,1,0,31,9,-1,-1,-1,-1
03-11-2020,49,16,1,0,1,0,47,16,-1,-1,-1,-1
03-12-2020,52,3,2,1,0,-1,50,3,-1,-1,-1,-1
03-13-2020,52,0,2,0,0,0,50,0,-1,-1,-1,-1
