date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-14-2020,3,3,0,0,0,0,3,3,0,0,3,3
03-15-2020,5,2,0,0,0,0,5,2,0,0,5,2
03-16-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-17-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-18-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-19-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-20-2020,14,9,0,0,0,0,14,9,0,0,14,9
03-21-2020,21,7,1,1,0,0,20,6,0,0,20,6
03-22-2020,23,2,1,0,0,0,22,2,0,0,22,2
03-23-2020,31,8,2,1,0,0,29,7,0,0,29,7
03-24-2020,39,8,2,0,0,0,37,8,0,0,37,8
03-25-2020,51,12,2,0,0,0,49,12,0,0,49,12
03-26-2020,64,13,2,0,0,0,62,13,0,0,62,13
03-27-2020,79,15,3,1,0,0,76,14,0,0,76,14
03-28-2020,100,21,3,0,0,0,97,21,0,0,97,21
03-29-2020,127,27,5,2,0,0,122,25,0,0,122,25
03-30-2020,174,47,7,2,0,0,167,45,0,0,167,45
03-31-2020,239,65,8,1,0,0,231,64,0,0,231,64
04-01-2020,286,47,11,3,0,0,275,44,0,0,275,44
04-02-2020,316,30,12,1,0,0,304,29,0,0,304,29
04-03-2020,378,62,15,3,0,0,363,59,0,0,363,59
04-04-2020,452,74,18,3,0,0,434,71,0,0,434,71
04-05-2020,475,23,20,2,0,0,455,21,0,0,455,21
04-06-2020,513,38,21,1,4,4,488,33,0,0,492,37
04-07-2020,573,60,23,2,8,4,542,54,0,0,550,58
04-08-2020,620,47,24,1,17,9,579,37,0,0,596,46
04-09-2020,683,63,33,9,18,1,632,53,0,0,650,54
04-10-2020,725,42,39,6,24,6,662,30,0,0,686,36
04-11-2020,788,63,42,3,39,15,707,45,0,0,746,60
04-12-2020,897,109,44,2,59,20,794,87,0,0,853,107
04-13-2020,903,6,45,1,96,37,762,-32,0,0,858,5
04-14-2020,923,20,45,0,149,53,729,-33,0,0,878,20
04-15-2020,974,51,51,6,181,32,742,13,0,0,923,45
04-16-2020,1043,69,56,5,200,19,787,45,0,0,987,64
04-17-2020,1068,25,58,2,250,50,760,-27,0,0,1010,23
04-18-2020,1118,50,60,2,309,59,749,-11,0,0,1058,48
04-19-2020,1213,95,62,2,325,16,826,77,0,0,1151,93
04-20-2020,1213,0,63,1,356,31,794,-32,0,0,1150,-1
04-21-2020,1213,0,64,1,405,49,744,-50,0,0,1149,-1
04-22-2020,1378,165,67,3,442,37,869,125,0,0,1311,162
04-23-2020,1378,0,69,2,493,51,816,-53,0,0,1309,-2
04-24-2020,1378,0,77,8,521,28,780,-36,0,0,1301,-8
04-25-2020,1378,0,83,6,569,48,726,-54,0,0,1295,-6
04-26-2020,1378,0,84,1,660,91,634,-92,0,0,1294,-1
04-27-2020,1389,11,84,0,672,12,633,-1,0,0,1305,11
04-28-2020,1400,11,86,2,695,23,619,-14,0,0,1314,9
04-29-2020,1433,33,86,0,743,48,604,-15,0,0,1347,33
04-30-2020,1539,106,92,6,797,54,650,46,0,0,1447,100
05-01-2020,1575,36,94,2,824,27,657,7,0,0,1481,34
05-02-2020,1757,182,95,1,874,50,788,131,0,0,1662,181
05-03-2020,1808,51,97,2,953,79,758,-30,0,0,1711,49
05-04-2020,1843,35,97,0,958,5,788,30,0,0,1746,35
05-05-2020,1924,81,99,2,965,7,860,72,0,0,1825,79
05-06-2020,1968,44,99,0,1106,141,763,-97,0,0,1869,44
05-07-2020,2031,63,102,3,1113,7,816,53,0,0,1929,60
05-08-2020,2156,125,107,5,1114,1,935,119,0,0,2049,120
05-09-2020,2173,17,108,1,1123,9,942,7,0,0,2065,16
05-10-2020,2198,25,111,3,1137,14,950,8,0,0,2087,22
05-11-2020,2256,58,113,2,1147,10,996,46,0,0,2143,56
05-12-2020,2299,43,114,1,1161,14,1024,28,0,0,2185,42
05-13-2020,2329,30,115,1,1196,35,1018,-6,0,0,2214,29
05-14-2020,2427,98,117,2,1291,95,1019,1,850,850,1460,-754
05-15-2020,2542,115,122,5,1322,31,1098,79,850,0,1570,110
05-16-2020,2589,47,122,0,1480,158,987,-111,850,0,1617,47
05-17-2020,2646,57,123,1,1535,55,988,1,850,0,1673,56
05-18-2020,2710,64,124,1,1564,29,1022,34,850,0,1736,63
05-19-2020,2805,95,124,0,1632,68,1049,27,850,0,1831,95
05-20-2020,2866,61,125,1,1693,61,1048,-1,850,0,1891,60
05-21-2020,2913,47,126,1,1746,53,1041,-7,850,0,1937,46
05-22-2020,3030,117,126,0,1849,103,1055,14,850,0,2054,117
05-23-2020,3100,70,127,1,1865,16,1108,53,850,0,2123,69
05-24-2020,3189,89,127,0,1891,26,1171,63,850,0,2212,89
05-25-2020,3260,71,129,2,1937,46,1194,23,850,0,2281,69
05-26-2020,3324,64,129,0,1975,38,1220,26,850,0,2345,64
05-27-2020,3397,73,129,0,2006,31,1262,42,850,0,2418,73
05-28-2020,3486,89,131,2,2102,96,1253,-9,850,0,2505,87
05-29-2020,3647,161,132,1,2200,98,1315,62,850,0,2665,160
05-30-2020,3718,71,133,1,2265,65,1320,5,850,0,2735,70
05-31-2020,3776,58,136,3,2321,56,1319,-1,850,0,2790,55
06-01-2020,3873,97,136,0,2377,56,1360,41,850,0,2887,97
06-02-2020,3935,62,138,2,2464,87,1333,-27,850,0,2947,60
06-03-2020,4023,88,140,2,2525,61,1358,25,850,0,3033,86
06-04-2020,4508,485,140,0,2572,47,1796,438,850,0,3518,485
06-05-2020,4620,112,141,1,2684,112,1795,-1,850,0,3629,111
06-06-2020,4915,295,142,1,2742,58,2031,236,850,0,3923,294
06-07-2020,4985,70,142,0,2817,75,2026,-5,850,0,3993,70
06-08-2020,5046,61,142,0,2883,66,2021,-5,850,0,4054,61
06-09-2020,5185,139,142,0,2942,59,2101,80,850,0,4193,139
