date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-15-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-18-2020,3,2,0,0,0,0,3,2,-1,-1,-1,-1
03-19-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-20-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-21-2020,4,1,0,0,0,0,4,1,-1,-1,-1,-1
03-22-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-23-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-24-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-25-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-26-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-27-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-28-2020,19,15,0,0,0,0,19,15,-1,-1,-1,-1
03-29-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-30-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-31-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
04-01-2020,22,3,2,2,0,0,20,1,-1,-1,-1,-1
04-02-2020,22,0,2,0,0,0,20,0,-1,-1,-1,-1
04-03-2020,41,19,2,0,0,0,39,19,-1,-1,-1,-1
04-04-2020,41,0,3,1,0,0,38,-1,-1,-1,-1,-1
04-05-2020,45,4,5,2,-1,-1,41,3,-1,-1,-1,-1
04-06-2020,45,0,5,0,-1,0,41,0,-1,-1,-1,-1
04-07-2020,45,0,5,0,-1,0,41,0,-1,-1,-1,-1
04-08-2020,49,4,5,0,-1,0,45,4,-1,-1,-1,-1
04-09-2020,60,11,5,0,-1,0,56,11,-1,-1,-1,-1
04-10-2020,60,0,5,0,-1,0,56,0,-1,-1,-1,-1
04-11-2020,60,0,5,0,10,11,45,-11,-1,-1,-1,-1
04-12-2020,60,0,5,0,10,0,45,0,-1,-1,-1,-1
04-13-2020,70,10,5,0,10,0,55,10,-1,-1,-1,-1
04-14-2020,74,4,5,0,10,0,59,4,-1,-1,-1,-1
04-15-2020,74,0,5,0,13,3,56,-3,-1,-1,-1,-1
04-16-2020,117,43,5,0,13,0,99,43,-1,-1,-1,-1
04-17-2020,117,0,5,0,28,15,84,-15,-1,-1,-1,-1
04-18-2020,143,26,6,1,27,-1,110,26,-1,-1,-1,-1
04-19-2020,143,0,6,0,31,4,106,-4,-1,-1,-1,-1
04-20-2020,143,0,6,0,31,0,106,0,-1,-1,-1,-1
04-21-2020,160,17,6,0,31,0,123,17,-1,-1,-1,-1
04-22-2020,165,5,6,0,34,3,125,2,-1,-1,-1,-1
04-23-2020,186,21,6,0,43,9,137,12,-1,-1,-1,-1
04-24-2020,186,0,6,0,43,0,137,0,-1,-1,-1,-1
04-25-2020,200,14,6,0,45,2,149,12,-1,-1,-1,-1
04-26-2020,200,0,8,2,43,-2,149,0,-1,-1,-1,-1
04-27-2020,200,0,8,0,51,8,141,-8,-1,-1,-1,-1
04-28-2020,207,7,8,0,54,3,145,4,-1,-1,-1,-1
04-29-2020,207,0,8,0,55,1,144,-1,-1,-1,-1,-1
04-30-2020,220,13,9,1,89,34,122,-22,-1,-1,-1,-1
05-01-2020,220,0,9,0,91,2,120,-2,-1,-1,-1,-1
05-02-2020,229,9,10,1,111,20,108,-12,-1,-1,-1,-1
05-03-2020,229,0,10,0,112,1,107,-1,-1,-1,-1,-1
05-04-2020,229,0,10,0,112,0,107,0,-1,-1,-1,-1
05-05-2020,236,7,10,0,126,14,100,-7,-1,-1,-1,-1
05-06-2020,236,0,10,0,130,4,96,-4,-1,-1,-1,-1
05-07-2020,264,28,10,0,149,19,105,9,-1,-1,-1,-1
05-08-2020,274,10,10,0,149,0,115,10,-1,-1,-1,-1
05-09-2020,287,13,10,0,161,12,116,1,-1,-1,-1,-1
05-10-2020,287,0,10,0,161,0,116,0,-1,-1,-1,-1
05-11-2020,287,0,10,0,162,1,115,-1,-1,-1,-1,-1
05-12-2020,333,46,11,1,167,5,155,40,-1,-1,-1,-1
05-13-2020,333,0,11,0,168,1,154,-1,-1,-1,-1,-1
05-14-2020,341,8,11,0,184,16,146,-8,-1,-1,-1,-1
05-15-2020,391,50,15,4,181,-3,195,49,-1,-1,-1,-1
05-16-2020,391,0,15,0,192,11,184,-11,-1,-1,-1,-1
05-17-2020,391,0,15,0,192,0,184,0,-1,-1,-1,-1
05-18-2020,410,19,15,0,192,0,203,19,-1,-1,-1,-1
05-19-2020,414,4,15,0,200,8,199,-4,-1,-1,-1,-1
05-20-2020,420,6,15,0,201,1,204,5,-1,-1,-1,-1
05-21-2020,420,0,15,0,227,26,178,-26,-1,-1,-1,-1
05-22-2020,469,49,16,1,234,7,219,41,-1,-1,-1,-1
05-23-2020,469,0,16,0,247,13,206,-13,-1,-1,-1,-1
05-24-2020,487,18,16,0,247,0,224,18,-1,-1,-1,-1
05-25-2020,487,0,16,0,247,0,224,0,-1,-1,-1,-1
05-26-2020,531,44,17,1,285,38,229,5,-1,-1,-1,-1
05-27-2020,569,38,19,2,283,-2,267,38,-1,-1,-1,-1
05-28-2020,571,2,19,0,293,10,259,-8,-1,-1,-1,-1
05-29-2020,571,0,19,0,334,41,218,-41,-1,-1,-1,-1
05-30-2020,587,16,19,0,336,2,232,14,-1,-1,-1,-1
05-31-2020,587,0,19,0,336,0,232,0,-1,-1,-1,-1
06-01-2020,604,17,20,1,351,15,233,1,-1,-1,-1,-1
06-02-2020,611,7,20,0,356,5,235,2,-1,-1,-1,-1
06-03-2020,618,7,20,0,361,5,237,2,-1,-1,-1,-1
06-04-2020,632,14,20,0,366,5,246,9,-1,-1,-1,-1
06-05-2020,635,3,20,0,407,41,208,-38,-1,-1,-1,-1
06-06-2020,639,4,20,0,410,3,209,1,-1,-1,-1,-1
06-07-2020,653,14,20,0,424,14,209,0,-1,-1,-1,-1
06-08-2020,683,30,22,2,422,-2,239,30,-1,-1,-1,-1
06-09-2020,683,0,22,0,465,43,196,-43,-1,-1,-1,-1
06-10-2020,728,45,24,2,493,28,211,15,221,-1,483,-1
06-11-2020,728,0,24,0,497,4,207,-4,221,0,483,0
06-12-2020,728,0,24,0,504,7,200,-7,221,0,483,0
06-13-2020,728,0,24,0,517,13,187,-13,221,0,483,0
06-14-2020,728,0,24,0,517,0,187,0,221,0,483,0
06-15-2020,728,0,24,0,534,17,170,-17,221,0,483,0
06-16-2020,728,0,24,0,540,6,164,-6,221,0,483,0
06-17-2020,883,155,27,3,544,4,312,148,391,170,465,-18
06-18-2020,883,0,27,0,556,12,300,-12,391,0,465,0
06-19-2020,883,0,27,0,566,10,290,-10,391,0,465,0
06-20-2020,883,0,27,0,570,4,286,-4,391,0,465,0
06-21-2020,883,0,27,0,584,14,272,-14,391,0,465,0
06-22-2020,1087,204,37,10,598,14,452,180,456,65,594,129
06-23-2020,1087,0,37,0,607,9,443,-9,456,0,594,0
06-24-2020,1087,0,37,0,648,41,402,-41,456,0,594,0
06-25-2020,1087,0,37,0,649,1,401,-1,456,0,594,0
06-26-2020,1087,0,37,0,652,3,398,-3,456,0,594,0
06-27-2020,1087,0,37,0,654,2,396,-2,456,0,594,0
06-28-2020,1087,0,37,0,654,0,396,0,456,0,594,0
06-29-2020,1087,0,37,0,657,3,393,-3,456,0,594,0
06-30-2020,1087,0,37,0,658,1,392,-1,456,0,594,0
07-01-2020,1382,295,41,4,781,123,560,168,486,30,855,261
07-02-2020,1382,0,41,0,783,2,558,-2,486,0,855,0
07-03-2020,1557,175,44,3,783,0,730,172,501,15,1012,157
07-04-2020,1557,0,44,0,784,1,729,-1,501,0,1012,0
07-05-2020,1557,0,44,0,787,3,726,-3,501,0,1012,0
07-06-2020,1557,0,44,0,956,169,557,-169,501,0,1012,0
07-07-2020,1557,0,44,0,958,2,555,-2,501,0,1012,0
07-08-2020,1821,264,44,0,966,8,811,256,501,0,1276,264
07-09-2020,1821,0,44,0,966,0,811,0,501,0,1276,0
07-10-2020,2028,207,47,3,963,-3,1018,207,589,88,1392,116
07-11-2020,2028,0,47,0,964,1,1017,-1,589,0,1392,0
07-12-2020,2028,0,47,0,964,0,1017,0,589,0,1392,0
07-13-2020,2028,0,47,0,965,1,1016,-1,589,0,1392,0
07-14-2020,2028,0,47,0,965,0,1016,0,589,0,1392,0
07-15-2020,2028,0,47,0,1226,261,755,-261,589,0,1392,0
07-16-2020,2028,0,47,0,1227,1,754,-1,589,0,1392,0
07-17-2020,2358,330,48,1,1368,141,942,188,589,0,1721,329
07-18-2020,2633,275,49,1,1367,-1,1217,275,626,37,1958,237
07-19-2020,2633,0,49,0,1368,1,1216,-1,626,0,1958,0
07-20-2020,2633,0,49,0,1398,30,1186,-30,626,0,1958,0
07-21-2020,2633,0,49,0,1398,0,1186,0,626,0,1958,0
07-22-2020,2851,218,50,1,1613,215,1188,2,666,40,2135,177
07-23-2020,2851,0,50,0,1613,0,1188,0,666,0,2135,0
07-24-2020,3038,187,51,1,1780,167,1207,19,756,90,2231,96
07-25-2020,3038,0,51,0,1780,0,1207,0,756,0,2231,0
07-26-2020,3038,0,51,0,1780,0,1207,0,756,0,2231,0
07-27-2020,3200,162,54,3,1777,-3,1369,162,829,73,2317,86
07-28-2020,3200,0,54,0,1777,0,1369,0,829,0,2317,0
07-29-2020,3200,0,54,0,1826,49,1320,-49,829,0,2317,0
07-30-2020,3200,0,54,0,1826,0,1320,0,829,0,2317,0
07-31-2020,3200,0,54,0,2118,292,1028,-292,829,0,2317,0
08-01-2020,3200,0,54,0,2340,222,806,-222,829,0,2317,0
08-02-2020,3200,0,54,0,2340,0,806,0,829,0,2317,0
08-03-2020,3546,346,58,4,2347,7,1141,335,1589,760,1899,-418
08-04-2020,3546,0,58,0,2347,0,1141,0,1589,0,1899,0
08-05-2020,3546,0,58,0,2560,213,928,-213,1589,0,1899,0
08-06-2020,3546,0,58,0,2560,0,928,0,1589,0,1899,0
08-07-2020,3546,0,58,0,2741,181,747,-181,1589,0,1899,0
08-08-2020,3546,0,58,0,2741,0,747,0,1589,0,1899,0
08-09-2020,3546,0,58,0,2741,0,747,0,1589,0,1899,0
08-10-2020,3546,0,58,0,2872,131,616,-131,1589,0,1899,0
08-11-2020,3745,199,60,2,2870,-2,815,199,1625,36,2060,161
08-12-2020,3745,0,60,0,2885,15,800,-15,1625,0,2060,0
08-13-2020,3745,0,60,0,2885,0,800,0,1625,0,2060,0
08-14-2020,3745,0,60,0,2939,54,746,-54,1625,0,2060,0
08-15-2020,3745,0,60,0,2978,39,707,-39,1625,0,2060,0
08-16-2020,3831,86,76,16,2962,-16,793,86,1625,0,2130,70
08-17-2020,3831,0,76,0,3242,280,513,-280,1625,0,2130,0
08-18-2020,3831,0,76,0,3242,0,513,0,1625,0,2130,0
08-19-2020,3831,0,76,0,3286,44,469,-44,1625,0,2130,0
08-20-2020,3831,0,76,0,3286,0,469,0,1625,0,2130,0
08-21-2020,3831,0,76,0,3322,36,433,-36,1625,0,2130,0
08-22-2020,3831,0,76,0,3322,0,433,0,1625,0,2130,0
08-23-2020,3831,0,76,0,3322,0,433,0,1625,0,2130,0
08-24-2020,3831,0,76,0,3345,23,410,-23,1625,0,2130,0
08-25-2020,3831,0,76,0,3506,161,249,-161,1625,0,2130,0
