date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-15-2020,5,5,0,0,0,0,5,5,-1,-1,-1,-1
03-16-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-17-2020,7,2,0,0,0,0,7,2,-1,-1,-1,-1
03-18-2020,11,4,0,0,0,0,11,4,-1,-1,-1,-1
03-19-2020,11,0,0,0,0,0,11,0,-1,-1,-1,-1
03-20-2020,11,0,0,0,0,0,11,0,-1,-1,-1,-1
03-21-2020,17,6,0,0,0,0,17,6,-1,-1,-1,-1
03-22-2020,17,0,0,0,0,0,17,0,-1,-1,-1,-1
03-23-2020,17,0,0,0,0,0,17,0,-1,-1,-1,-1
03-24-2020,36,19,0,0,0,0,36,19,-1,-1,-1,-1
03-25-2020,40,4,0,0,0,0,40,4,-1,-1,-1,-1
03-26-2020,41,1,0,0,0,0,41,1,-1,-1,-1,-1
03-27-2020,50,9,0,0,0,0,50,9,-1,-1,-1,-1
03-28-2020,54,4,0,0,0,0,54,4,-1,-1,-1,-1
03-29-2020,60,6,0,0,4,4,56,2,-1,-1,-1,-1
03-30-2020,70,10,0,0,4,0,66,10,-1,-1,-1,-1
03-31-2020,70,0,0,0,5,1,65,-1,-1,-1,-1,-1
04-01-2020,75,5,0,0,8,3,67,2,-1,-1,-1,-1
04-02-2020,82,7,0,0,8,0,74,7,-1,-1,-1,-1
04-03-2020,84,2,0,0,8,0,76,2,-1,-1,-1,-1
04-04-2020,89,5,0,0,13,5,76,0,-1,-1,-1,-1
04-05-2020,102,13,0,0,13,0,89,13,-1,-1,-1,-1
04-06-2020,102,0,0,0,13,0,89,0,-1,-1,-1,-1
04-07-2020,104,2,0,0,29,16,75,-14,-1,-1,-1,-1
04-08-2020,105,1,0,0,32,3,73,-2,-1,-1,-1,-1
04-09-2020,110,5,0,0,33,1,77,4,-1,-1,-1,-1
04-10-2020,113,3,0,0,40,7,73,-4,-1,-1,-1,-1
04-11-2020,118,5,0,0,43,3,75,2,-1,-1,-1,-1
04-12-2020,120,2,0,0,49,6,71,-4,-1,-1,-1,-1
04-13-2020,126,6,0,0,57,8,69,-2,-1,-1,-1,-1
04-14-2020,127,1,0,0,57,0,70,1,-1,-1,-1,-1
04-15-2020,134,7,0,0,62,5,72,2,-1,-1,-1,-1
04-16-2020,136,2,0,0,67,5,69,-3,-1,-1,-1,-1
04-17-2020,138,2,0,0,69,2,69,0,-1,-1,-1,-1
04-18-2020,138,0,0,0,74,5,64,-5,-1,-1,-1,-1
04-19-2020,144,6,0,0,85,11,59,-5,-1,-1,-1,-1
04-20-2020,147,3,0,0,85,0,62,3,-1,-1,-1,-1
04-21-2020,147,0,0,0,89,4,58,-4,-1,-1,-1,-1
04-22-2020,150,3,0,0,90,1,60,2,-1,-1,-1,-1
04-23-2020,153,3,0,0,94,4,59,-1,-1,-1,-1,-1
04-24-2020,154,1,0,0,98,4,56,-3,-1,-1,-1,-1
04-25-2020,176,22,0,0,103,5,73,17,-1,-1,-1,-1
04-26-2020,183,7,0,0,105,2,78,5,-1,-1,-1,-1
04-27-2020,191,8,0,0,112,7,79,1,-1,-1,-1,-1
04-28-2020,207,16,0,0,113,1,94,15,-1,-1,-1,-1
04-29-2020,212,5,0,0,119,6,93,-1,-1,-1,-1,-1
04-30-2020,225,13,0,0,122,3,103,10,-1,-1,-1,-1
05-01-2020,243,18,0,0,124,2,119,16,-1,-1,-1,-1
05-02-2020,249,6,0,0,125,1,124,5,-1,-1,-1,-1
05-03-2020,255,6,0,0,131,6,124,0,-1,-1,-1,-1
05-04-2020,259,4,0,0,134,3,125,1,-1,-1,-1,-1
05-05-2020,261,2,0,0,135,1,126,1,-1,-1,-1,-1
05-06-2020,261,0,0,0,138,3,123,-3,-1,-1,-1,-1
05-07-2020,268,7,0,0,141,3,127,4,-1,-1,-1,-1
05-08-2020,271,3,0,0,143,2,128,1,-1,-1,-1,-1
05-09-2020,273,2,0,0,161,18,112,-16,-1,-1,-1,-1
05-10-2020,280,7,0,0,168,7,112,0,-1,-1,-1,-1
05-11-2020,284,4,0,0,175,7,109,-3,-1,-1,-1,-1
05-12-2020,285,1,0,0,188,13,97,-12,-1,-1,-1,-1
05-13-2020,286,1,0,0,194,6,92,-5,-1,-1,-1,-1
05-14-2020,287,1,0,0,205,11,82,-10,-1,-1,-1,-1
05-15-2020,287,0,0,0,220,15,67,-15,-1,-1,-1,-1
05-16-2020,287,0,0,0,225,5,62,-5,-1,-1,-1,-1
05-17-2020,289,2,0,0,231,6,58,-4,-1,-1,-1,-1
05-18-2020,292,3,0,0,235,4,57,-1,-1,-1,-1,-1
05-19-2020,297,5,0,0,237,2,60,3,-1,-1,-1,-1
05-20-2020,308,11,0,0,237,0,71,11,-1,-1,-1,-1
05-21-2020,314,6,0,0,244,7,70,-1,-1,-1,-1,-1
05-22-2020,320,6,0,0,246,2,74,4,-1,-1,-1,-1
05-23-2020,321,1,0,0,251,5,70,-4,-1,-1,-1,-1
05-24-2020,325,4,0,0,258,7,67,-3,-1,-1,-1,-1
05-25-2020,327,2,0,0,263,5,64,-3,-1,-1,-1,-1
05-26-2020,336,9,0,0,266,3,70,6,-1,-1,-1,-1
05-27-2020,339,3,0,0,268,2,71,1,-1,-1,-1,-1
05-28-2020,346,7,0,0,270,2,76,5,-1,-1,-1,-1
05-29-2020,349,3,0,0,273,3,76,0,-1,-1,-1,-1
05-30-2020,355,6,0,0,274,1,81,5,-1,-1,-1,-1
05-31-2020,359,4,1,1,275,1,83,2,-1,-1,-1,-1
06-01-2020,370,11,1,0,279,4,90,7,-1,-1,-1,-1
06-02-2020,377,7,1,0,283,4,93,3,-1,-1,-1,-1
06-03-2020,384,7,2,1,291,8,91,-2,-1,-1,-1,-1
06-04-2020,397,13,2,0,297,6,98,7,-1,-1,-1,-1
06-05-2020,410,13,2,0,302,5,106,8,-1,-1,-1,-1
06-06-2020,420,10,2,0,305,3,113,7,-1,-1,-1,-1
06-07-2020,431,11,2,0,309,4,120,7,-1,-1,-1,-1
06-08-2020,439,8,2,0,312,3,125,5,-1,-1,-1,-1
06-09-2020,451,12,2,0,320,8,129,4,-1,-1,-1,-1
06-10-2020,476,25,2,0,323,3,151,22,307,-1,167,-1
06-11-2020,494,18,2,0,329,6,163,12,313,6,179,12
06-12-2020,510,16,2,0,333,4,175,12,321,8,187,8
06-13-2020,541,31,2,0,338,5,201,26,332,11,207,20
06-14-2020,541,0,2,0,342,4,197,-4,332,0,207,0
06-15-2020,612,71,2,0,351,9,259,62,338,6,272,65
