date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-02-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-05-2020,5,3,0,0,0,0,5,3,-1,-1,-1,-1
03-06-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-07-2020,7,2,0,0,0,0,7,2,-1,-1,-1,-1
03-08-2020,11,4,0,0,0,0,11,4,-1,-1,-1,-1
03-09-2020,15,4,0,0,0,0,15,4,-1,-1,-1,-1
03-10-2020,20,5,0,0,0,0,20,5,-1,-1,-1,-1
03-11-2020,21,1,0,0,0,0,21,1,-1,-1,-1,-1
03-12-2020,21,0,0,0,0,0,21,0,-1,-1,-1,-1
03-13-2020,21,0,0,0,0,0,21,0,-1,-1,-1,-1
03-14-2020,103,82,0,0,0,0,103,82,-1,-1,-1,-1
03-15-2020,103,0,0,0,0,0,103,0,-1,-1,-1,-1
03-16-2020,133,30,0,0,0,0,133,30,-1,-1,-1,-1
03-17-2020,171,38,0,0,0,0,171,38,-1,-1,-1,-1
03-18-2020,238,67,0,0,1,1,237,66,-1,-1,-1,-1
03-19-2020,238,0,0,0,4,3,234,-3,-1,-1,-1,-1
03-20-2020,274,36,0,0,4,0,270,36,-1,-1,-1,-1
03-21-2020,392,118,0,0,5,1,387,117,-1,-1,-1,-1
03-22-2020,511,119,0,0,8,3,503,116,-1,-1,-1,-1
03-23-2020,562,51,0,0,12,4,550,47,-1,-1,-1,-1
03-24-2020,767,205,1,1,15,3,751,201,-1,-1,-1,-1
03-25-2020,900,133,2,1,15,0,883,132,-1,-1,-1,-1
03-26-2020,1012,112,3,1,14,-1,995,112,-1,-1,-1,-1
03-27-2020,1104,92,3,0,14,0,1087,92,-1,-1,-1,-1
03-28-2020,1203,99,4,1,79,65,1120,33,-1,-1,-1,-1
03-29-2020,1299,96,8,4,75,-4,1216,96,-1,-1,-1,-1
03-30-2020,1453,154,8,0,99,24,1346,130,-1,-1,-1,-1
03-31-2020,1563,110,10,2,128,29,1425,79,-1,-1,-1,-1
04-01-2020,1720,157,16,6,177,49,1527,102,-1,-1,-1,-1
04-02-2020,1885,165,21,5,172,-5,1692,165,-1,-1,-1,-1
04-03-2020,2039,154,25,4,197,25,1817,125,-1,-1,-1,-1
04-04-2020,2179,140,29,4,289,92,1861,44,-1,-1,-1,-1
04-05-2020,2385,206,34,5,381,92,1970,109,-1,-1,-1,-1
04-06-2020,2523,138,38,4,419,38,2066,96,-1,-1,-1,-1
04-07-2020,2795,272,41,3,583,164,2171,105,-1,-1,-1,-1
04-08-2020,2932,137,41,0,690,107,2201,30,-1,-1,-1,-1
04-09-2020,3287,355,44,3,778,88,2465,264,-1,-1,-1,-1
04-10-2020,3651,364,47,3,850,72,2754,289,-1,-1,-1,-1
04-11-2020,4033,382,52,5,936,86,3045,291,-1,-1,-1,-1
04-12-2020,4462,429,59,7,1007,71,3396,351,-1,-1,-1,-1
04-13-2020,4934,472,65,6,1130,123,3739,343,-1,-1,-1,-1
04-14-2020,5369,435,73,8,1217,87,4079,340,-1,-1,-1,-1
04-15-2020,5862,493,79,6,1347,130,4436,357,-1,-1,-1,-1
04-16-2020,6380,518,83,4,1477,130,4820,384,-1,-1,-1,-1
04-17-2020,7142,762,87,4,1603,126,5452,632,-1,-1,-1,-1
04-18-2020,8274,1132,92,5,1728,125,6454,1002,-1,-1,-1,-1
04-19-2020,9362,1088,97,5,1906,178,7359,905,-1,-1,-1,-1
04-20-2020,10484,1122,103,6,2020,114,8361,1002,-1,-1,-1,-1
04-21-2020,11631,1147,109,6,2263,243,9259,898,-1,-1,-1,-1
04-22-2020,12772,1141,114,5,2387,124,10271,1012,-1,-1,-1,-1
04-23-2020,13930,1158,121,7,2684,297,11125,854,-1,-1,-1,-1
04-24-2020,15102,1172,127,6,2985,301,11990,865,-1,-1,-1,-1
04-25-2020,16299,1197,136,9,3304,319,12859,869,-1,-1,-1,-1
04-26-2020,17522,1223,139,3,3662,358,13721,862,-1,-1,-1,-1
04-27-2020,18811,1289,144,5,4062,400,14605,884,-1,-1,-1,-1
04-28-2020,20077,1266,152,8,4424,362,15501,896,-1,-1,-1,-1
04-29-2020,21402,1325,157,5,4843,419,16402,901,-1,-1,-1,-1
04-30-2020,22753,1351,162,5,5281,438,17310,908,-1,-1,-1,-1
05-01-2020,24097,1344,169,7,5915,634,18013,703,-1,-1,-1,-1
05-02-2020,25459,1362,176,7,6850,935,18433,420,-1,-1,-1,-1
05-03-2020,27011,1552,184,8,7758,908,19069,636,-1,-1,-1,-1
05-04-2020,28656,1645,191,7,8682,924,19783,714,-1,-1,-1,-1
05-05-2020,30251,1595,200,9,9650,968,20401,618,-1,-1,-1,-1
05-06-2020,31938,1687,209,9,10591,941,21138,737,-1,-1,-1,-1
05-07-2020,33731,1793,219,10,11575,984,21937,799,-1,-1,-1,-1
05-08-2020,35432,1701,229,10,12569,994,22634,697,-1,-1,-1,-1
05-09-2020,37136,1704,239,10,13587,1018,23310,676,-1,-1,-1,-1
05-10-2020,39048,1912,246,7,14636,1049,24166,856,-1,-1,-1,-1
05-11-2020,41014,1966,255,9,15745,1109,25014,848,-1,-1,-1,-1
05-12-2020,42925,1911,264,9,16828,1083,25833,819,-1,-1,-1,-1
05-13-2020,44830,1905,273,9,17969,1141,26588,755,-1,-1,-1,-1
05-14-2020,46869,2039,283,10,19134,1165,27452,864,-1,-1,-1,-1
05-15-2020,49176,2307,292,9,20328,1194,28556,1104,-1,-1,-1,-1
05-16-2020,52016,2840,302,10,21587,1259,30127,1571,-1,-1,-1,-1
05-17-2020,54752,2736,312,10,22996,1409,31444,1317,-1,-1,-1,-1
05-18-2020,57345,2593,320,8,24485,1489,32540,1096,-1,-1,-1,-1
05-19-2020,59854,2509,329,9,25942,1457,33583,1043,-1,-1,-1,-1
05-20-2020,62545,2691,339,10,27465,1523,34741,1158,-1,-1,-1,-1
05-21-2020,65077,2532,351,12,29085,1620,35641,900,-1,-1,-1,-1
05-22-2020,65077,0,351,0,30645,1560,34081,-1560,-1,-1,-1,-1
05-23-2020,67719,2642,364,13,32199,1554,35156,1075,-1,-1,-1,-1
05-24-2020,70161,2442,379,15,33926,1727,35856,700,-1,-1,-1,-1
05-25-2020,72560,2399,390,11,35711,1785,36459,603,-1,-1,-1,-1
05-26-2020,74795,2235,399,9,37449,1738,36947,488,-1,-1,-1,-1
05-27-2020,76726,1931,411,12,39190,1741,37125,178,-1,-1,-1,-1
05-28-2020,78541,1815,425,14,41043,1853,37073,-52,-1,-1,-1,-1
