date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-02-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,4,3,0,0,0,0,4,3,-1,-1,-1,-1
03-05-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-06-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-07-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-08-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-09-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-10-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-11-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
03-12-2020,10,6,0,0,0,0,10,6,-1,-1,-1,-1
03-13-2020,10,0,0,0,0,0,10,0,-1,-1,-1,-1
03-14-2020,21,11,0,0,0,0,21,11,-1,-1,-1,-1
03-15-2020,26,5,0,0,0,0,26,5,-1,-1,-1,-1
03-16-2020,26,0,0,0,0,0,26,0,-1,-1,-1,-1
03-17-2020,27,1,0,0,0,0,27,1,-1,-1,-1,-1
03-18-2020,36,9,0,0,3,3,33,6,-1,-1,-1,-1
03-19-2020,38,2,0,0,3,0,35,2,-1,-1,-1,-1
03-20-2020,38,0,0,0,3,0,35,0,-1,-1,-1,-1
03-21-2020,56,18,0,0,3,0,53,18,-1,-1,-1,-1
03-22-2020,56,0,0,0,3,0,53,0,-1,-1,-1,-1
03-23-2020,67,11,0,0,3,0,64,11,-1,-1,-1,-1
03-24-2020,79,12,0,0,3,0,76,12,-1,-1,-1,-1
03-25-2020,86,7,0,0,3,0,83,7,-1,-1,-1,-1
03-26-2020,99,13,0,0,8,5,91,8,-1,-1,-1,-1
03-27-2020,105,6,0,0,8,0,97,6,-1,-1,-1,-1
03-28-2020,119,14,0,0,17,9,102,5,-1,-1,-1,-1
03-29-2020,130,11,0,0,21,4,109,7,-1,-1,-1,-1
03-30-2020,142,12,0,0,21,0,121,12,-1,-1,-1,-1
03-31-2020,162,20,0,0,22,1,140,19,-1,-1,-1,-1
04-01-2020,175,13,0,0,29,7,146,6,-1,-1,-1,-1
04-02-2020,190,15,1,1,30,1,159,13,-1,-1,-1,-1
04-03-2020,195,5,1,0,30,0,164,5,-1,-1,-1,-1
04-04-2020,219,24,2,1,43,13,174,10,-1,-1,-1,-1
04-05-2020,219,0,2,0,43,0,174,0,-1,-1,-1,-1
04-06-2020,226,7,2,0,52,9,172,-2,-1,-1,-1,-1
04-07-2020,226,0,2,0,62,10,162,-10,-1,-1,-1,-1
04-08-2020,237,11,2,0,68,6,167,5,-1,-1,-1,-1
04-09-2020,244,7,2,0,79,11,163,-4,-1,-1,-1,-1
04-10-2020,250,6,2,0,84,5,164,1,-1,-1,-1,-1
04-11-2020,265,15,2,0,97,13,166,2,-1,-1,-1,-1
04-12-2020,278,13,2,0,106,9,170,4,-1,-1,-1,-1
04-13-2020,280,2,2,0,116,10,162,-8,-1,-1,-1,-1
04-14-2020,291,11,2,0,133,17,156,-6,-1,-1,-1,-1
04-15-2020,299,8,2,0,144,11,153,-3,-1,-1,-1,-1
04-16-2020,314,15,2,0,157,13,155,2,-1,-1,-1,-1
04-17-2020,335,21,2,0,161,4,172,17,-1,-1,-1,-1
04-18-2020,342,7,3,1,182,21,157,-15,-1,-1,-1,-1
04-19-2020,350,8,3,0,182,0,165,8,-1,-1,-1,-1
04-20-2020,367,17,3,0,189,7,175,10,-1,-1,-1,-1
04-21-2020,377,10,5,2,189,0,183,8,-1,-1,-1,-1
04-22-2020,412,35,5,0,199,10,208,25,-1,-1,-1,-1
04-23-2020,442,30,6,1,206,7,230,22,-1,-1,-1,-1
04-24-2020,479,37,6,0,211,5,262,32,-1,-1,-1,-1
04-25-2020,545,66,7,1,225,14,313,51,-1,-1,-1,-1
04-26-2020,614,69,7,0,237,12,370,57,-1,-1,-1,-1
04-27-2020,671,57,9,2,238,1,424,54,-1,-1,-1,-1
04-28-2020,735,64,9,0,250,12,476,52,-1,-1,-1,-1
04-29-2020,823,88,9,0,259,9,555,79,-1,-1,-1,-1
04-30-2020,882,59,9,0,273,14,600,45,-1,-1,-1,-1
05-01-2020,933,51,9,0,291,18,633,33,-1,-1,-1,-1
05-02-2020,1024,91,9,0,301,10,714,81,-1,-1,-1,-1
05-03-2020,1113,89,9,0,307,6,797,83,-1,-1,-1,-1
05-04-2020,1271,158,9,0,323,16,939,142,-1,-1,-1,-1
05-05-2020,1271,0,10,1,330,7,931,-8,-1,-1,-1,-1
05-06-2020,1329,58,11,1,360,30,958,27,-1,-1,-1,-1
05-07-2020,1433,104,12,1,385,25,1036,78,-1,-1,-1,-1
05-08-2020,1492,59,13,1,415,30,1064,28,-1,-1,-1,-1
05-09-2020,1551,59,13,0,471,56,1067,3,-1,-1,-1,-1
05-10-2020,1634,83,17,4,525,54,1092,25,-1,-1,-1,-1
05-11-2020,1709,75,19,2,570,45,1120,28,-1,-1,-1,-1
05-12-2020,1886,177,19,0,625,55,1242,122,-1,-1,-1,-1
05-13-2020,1995,109,19,0,698,73,1278,36,-1,-1,-1,-1
05-14-2020,2105,110,22,3,745,47,1338,60,-1,-1,-1,-1
05-15-2020,2189,84,23,1,789,44,1377,39,-1,-1,-1,-1
05-16-2020,2310,121,23,0,865,76,1422,45,-1,-1,-1,-1
05-17-2020,2429,119,25,2,936,71,1468,46,-1,-1,-1,-1
05-18-2020,2480,51,25,0,1067,131,1388,-80,-1,-1,-1,-1
05-19-2020,2544,64,26,1,1067,0,1451,63,-1,-1,-1,-1
05-20-2020,2617,73,30,4,1116,49,1471,20,-1,-1,-1,-1
05-21-2020,2714,97,30,0,1204,88,1480,9,-1,-1,-1,-1
05-22-2020,2815,101,33,3,1255,51,1527,47,-1,-1,-1,-1
05-23-2020,2909,94,33,0,1312,57,1564,37,-1,-1,-1,-1
05-24-2020,2976,67,34,1,1389,77,1553,-11,-1,-1,-1,-1
05-25-2020,3047,71,35,1,1457,68,1555,2,-1,-1,-1,-1
05-26-2020,3130,83,35,0,1610,153,1485,-70,-1,-1,-1,-1
05-27-2020,3161,31,37,2,1709,99,1415,-70,-1,-1,-1,-1
05-28-2020,3253,92,39,2,1805,96,1409,-6,-1,-1,-1,-1
05-29-2020,3348,95,41,2,1879,74,1428,19,-1,-1,-1,-1
05-30-2020,3429,81,41,0,1990,111,1398,-30,-1,-1,-1,-1
05-31-2020,3535,106,42,1,2098,108,1395,-3,-1,-1,-1,-1
06-01-2020,3645,110,42,0,2163,65,1440,45,-1,-1,-1,-1
06-02-2020,3739,94,42,0,2215,52,1482,42,-1,-1,-1,-1
