date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,9,9,0,0,0,0,9,9,0,0,9,9
01-23-2020,16,7,0,0,0,0,16,7,0,0,16,7
01-24-2020,20,4,0,0,1,1,19,3,1,1,19,3
01-25-2020,40,20,1,1,1,0,38,19,1,0,38,19
01-26-2020,53,13,1,0,1,0,51,13,1,0,51,13
01-27-2020,66,13,1,0,3,2,62,11,3,2,62,11
01-28-2020,80,14,1,0,4,1,75,13,4,1,75,13
01-29-2020,101,21,1,0,5,1,95,20,5,1,95,20
01-30-2020,128,27,1,0,9,4,118,23,9,4,118,23
01-31-2020,135,7,1,0,9,0,125,7,9,0,125,7
02-01-2020,177,42,1,0,10,1,166,41,10,1,166,41
02-02-2020,193,16,1,0,10,0,182,16,10,0,182,16
02-03-2020,208,15,1,0,10,0,197,15,10,0,197,15
02-04-2020,233,25,1,0,12,2,220,23,12,2,220,23
02-05-2020,243,10,1,0,15,3,227,7,15,3,227,7
02-06-2020,269,26,1,0,25,10,243,16,25,10,243,16
02-07-2020,277,8,1,0,30,5,246,3,30,5,246,3
02-08-2020,292,15,1,0,41,11,250,4,41,11,250,4
02-09-2020,295,3,1,0,44,3,250,0,44,3,250,0
02-10-2020,299,4,1,0,52,8,246,-4,48,4,250,0
02-11-2020,306,7,1,0,63,11,242,-4,53,5,252,2
02-12-2020,313,7,1,0,80,17,232,-10,57,4,255,3
02-13-2020,318,5,1,0,102,22,215,-17,62,5,255,0
02-14-2020,326,8,1,0,108,6,217,2,90,28,235,-20
02-15-2020,328,2,1,0,142,34,185,-32,124,34,203,-32
02-16-2020,331,3,1,0,155,13,175,-10,140,16,190,-13
02-17-2020,333,2,1,0,167,12,165,-10,161,21,171,-19
02-18-2020,333,0,1,0,187,20,145,-20,177,16,155,-16
02-19-2020,333,0,2,1,196,9,135,-10,186,9,145,-10
02-20-2020,334,1,2,0,218,22,114,-21,211,25,121,-24
02-21-2020,334,0,3,1,227,9,104,-10,227,16,104,-17
02-22-2020,335,1,3,0,239,12,93,-11,227,0,105,1
02-23-2020,335,0,3,0,249,10,83,-10,249,22,83,-22
02-24-2020,335,0,3,0,261,12,71,-12,261,12,71,-12
02-25-2020,336,1,3,0,268,7,65,-6,268,7,65,-6
02-26-2020,337,1,3,0,272,4,62,-3,272,4,62,-3
02-27-2020,337,0,3,0,276,4,58,-4,276,4,58,-4
02-28-2020,337,0,3,0,279,3,55,-3,279,3,55,-3
02-29-2020,337,0,3,0,287,8,47,-8,287,8,47,-8
03-01-2020,337,0,3,0,292,5,42,-5,292,5,42,-5
