date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-18-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-24-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-25-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-26-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-27-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-28-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-29-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-30-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-31-2020,6,3,0,0,0,0,6,3,-1,-1,-1,-1
04-01-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
04-02-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
04-03-2020,18,12,1,1,0,0,17,11,-1,-1,-1,-1
04-04-2020,23,5,2,1,-1,-1,22,5,-1,-1,-1,-1
04-05-2020,23,0,2,0,-1,0,22,0,-1,-1,-1,-1
04-06-2020,23,0,2,0,-1,0,22,0,-1,-1,-1,-1
04-07-2020,37,14,6,4,-4,-3,35,13,-1,-1,-1,-1
04-08-2020,40,3,8,2,-6,-2,38,3,-1,-1,-1,-1
04-09-2020,40,0,8,0,-6,0,38,0,-1,-1,-1,-1
04-10-2020,43,3,8,0,-6,0,41,3,-1,-1,-1,-1
04-11-2020,50,7,9,1,-6,0,47,6,-1,-1,-1,-1
04-12-2020,50,0,9,0,-6,0,47,0,-1,-1,-1,-1
04-13-2020,50,0,9,0,-6,0,47,0,-1,-1,-1,-1
04-14-2020,52,2,9,0,-4,2,47,0,-1,-1,-1,-1
04-15-2020,52,0,9,0,-4,0,47,0,-1,-1,-1,-1
04-16-2020,53,1,9,0,-4,0,48,1,-1,-1,-1,-1
04-17-2020,57,4,9,0,5,9,43,-5,-1,-1,-1,-1
04-18-2020,57,0,9,0,9,4,39,-4,-1,-1,-1,-1
04-19-2020,57,0,9,0,9,0,39,0,-1,-1,-1,-1
04-20-2020,64,7,9,0,9,0,46,7,-1,-1,-1,-1
04-21-2020,67,3,10,1,20,11,37,-9,-1,-1,-1,-1
04-22-2020,68,1,10,0,22,2,36,-1,-1,-1,-1,-1
04-23-2020,71,3,11,1,21,-1,39,3,-1,-1,-1,-1
04-24-2020,73,2,12,1,23,2,38,-1,-1,-1,-1,-1
04-25-2020,73,0,12,0,28,5,33,-5,-1,-1,-1,-1
04-26-2020,73,0,12,0,28,0,33,0,-1,-1,-1,-1
04-27-2020,74,1,13,1,27,-1,34,1,-1,-1,-1,-1
04-28-2020,74,0,13,0,29,2,32,-2,-1,-1,-1,-1
04-29-2020,75,1,13,0,30,1,32,0,-1,-1,-1,-1
04-30-2020,75,0,13,0,30,0,32,0,-1,-1,-1,-1
05-01-2020,76,1,13,0,35,5,28,-4,-1,-1,-1,-1
05-02-2020,76,0,13,0,36,1,27,-1,-1,-1,-1,-1
05-03-2020,76,0,13,0,36,0,27,0,-1,-1,-1,-1
05-04-2020,76,0,13,0,42,6,21,-6,-1,-1,-1,-1
05-05-2020,76,0,13,0,46,4,17,-4,-1,-1,-1,-1
05-06-2020,76,0,14,1,46,0,16,-1,-1,-1,-1,-1
05-07-2020,76,0,14,0,49,3,13,-3,-1,-1,-1,-1
05-08-2020,76,0,14,0,51,2,11,-2,-1,-1,-1,-1
05-09-2020,76,0,14,0,52,1,10,-1,-1,-1,-1,-1
05-10-2020,77,1,15,1,51,-1,11,1,-1,-1,-1,-1
05-11-2020,77,0,15,0,52,1,10,-1,-1,-1,-1,-1
05-12-2020,77,0,15,0,52,0,10,0,-1,-1,-1,-1
05-13-2020,77,0,15,0,53,1,9,-1,-1,-1,-1,-1
05-14-2020,78,1,15,0,53,0,10,1,-1,-1,-1,-1
05-15-2020,78,0,15,0,55,2,8,-2,-1,-1,-1,-1
05-16-2020,78,0,15,0,55,0,8,0,-1,-1,-1,-1
05-17-2020,78,0,15,0,55,0,8,0,-1,-1,-1,-1
05-18-2020,78,0,15,0,56,1,7,-1,-1,-1,-1,-1
05-19-2020,78,0,15,0,57,1,6,-1,-1,-1,-1,-1
05-20-2020,78,0,15,0,58,1,5,-1,-1,-1,-1,-1
05-21-2020,78,0,15,0,58,0,5,0,-1,-1,-1,-1
05-22-2020,78,0,15,0,58,0,5,0,-1,-1,-1,-1
05-23-2020,78,0,15,0,59,1,4,-1,-1,-1,-1,-1
05-24-2020,78,0,15,0,60,1,3,-1,-1,-1,-1,-1
05-25-2020,78,0,15,0,60,0,3,0,-1,-1,-1,-1
05-26-2020,78,0,15,0,60,0,3,0,-1,-1,-1,-1
05-27-2020,78,0,15,0,60,0,3,0,-1,-1,-1,-1
05-28-2020,78,0,15,0,61,1,2,-1,-1,-1,-1,-1
05-29-2020,78,0,15,0,61,0,2,0,-1,-1,-1,-1
05-30-2020,78,0,15,0,61,0,2,0,-1,-1,-1,-1
05-31-2020,77,-1,15,0,61,0,1,-1,-1,-1,-1,-1
06-01-2020,77,0,15,0,62,1,0,-1,-1,-1,-1,-1
06-02-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-03-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-04-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-05-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-06-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-07-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-08-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-09-2020,77,0,15,0,62,0,0,0,-1,-1,-1,-1
06-10-2020,77,0,15,0,62,0,0,0,61,-1,1,-1
06-11-2020,77,0,15,0,62,0,0,0,61,0,1,0
06-12-2020,77,0,15,0,62,0,0,0,61,0,1,0
06-13-2020,77,0,15,0,62,0,0,0,61,0,1,0
06-14-2020,77,0,15,0,62,0,0,0,61,0,1,0
06-15-2020,77,0,15,0,62,0,0,0,62,1,0,-1
06-16-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-17-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-18-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-19-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-20-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-21-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-22-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-23-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-24-2020,77,0,15,0,62,0,0,0,62,0,0,0
06-25-2020,77,0,15,0,62,0,0,0,62,0,0,0
