date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-06-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-07-2020,3,2,0,0,0,0,3,2,-1,-1,-1,-1
03-08-2020,5,2,0,0,0,0,5,2,-1,-1,-1,-1
03-09-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-10-2020,7,2,0,0,0,0,7,2,-1,-1,-1,-1
03-11-2020,10,3,0,0,0,0,10,3,-1,-1,-1,-1
03-12-2020,21,11,0,0,0,0,21,11,-1,-1,-1,-1
03-13-2020,32,11,0,0,0,0,32,11,-1,-1,-1,-1
03-14-2020,44,12,0,0,0,0,44,12,-1,-1,-1,-1
03-15-2020,61,17,0,0,0,0,61,17,-1,-1,-1,-1
03-16-2020,72,11,0,0,0,0,72,11,-1,-1,-1,-1
03-17-2020,97,25,0,0,0,0,97,25,-1,-1,-1,-1
03-18-2020,107,10,0,0,0,0,107,10,-1,-1,-1,-1
03-19-2020,123,16,0,0,0,0,123,16,-1,-1,-1,-1
03-20-2020,137,14,0,0,0,0,137,14,-1,-1,-1,-1
03-21-2020,178,41,0,0,2,2,176,39,-1,-1,-1,-1
03-22-2020,178,0,0,0,4,2,174,-2,-1,-1,-1,-1
03-23-2020,185,7,0,0,4,0,181,7,-1,-1,-1,-1
03-24-2020,191,6,0,0,5,1,186,5,-1,-1,-1,-1
03-25-2020,204,13,0,0,8,3,196,10,-1,-1,-1,-1
03-26-2020,216,12,0,0,17,9,199,3,-1,-1,-1,-1
03-27-2020,226,10,0,0,25,8,201,2,-1,-1,-1,-1
03-28-2020,295,69,0,0,35,10,260,59,-1,-1,-1,-1
03-29-2020,295,0,0,0,49,14,246,-14,-1,-1,-1,-1
03-30-2020,336,41,0,0,58,9,278,32,-1,-1,-1,-1
03-31-2020,336,0,0,0,78,20,258,-20,-1,-1,-1,-1
04-01-2020,363,27,0,0,86,8,277,19,-1,-1,-1,-1
04-02-2020,400,37,0,0,99,13,301,24,-1,-1,-1,-1
04-03-2020,426,26,0,0,111,12,315,14,-1,-1,-1,-1
04-04-2020,450,24,0,0,144,33,306,-9,-1,-1,-1,-1
04-05-2020,471,21,0,0,144,0,327,21,-1,-1,-1,-1
04-06-2020,485,14,0,0,150,6,335,8,-1,-1,-1,-1
04-07-2020,534,49,2,2,153,3,379,44,-1,-1,-1,-1
04-08-2020,598,64,2,0,164,11,432,53,-1,-1,-1,-1
04-09-2020,682,84,2,0,175,11,505,73,-1,-1,-1,-1
04-10-2020,701,19,2,0,185,10,514,9,-1,-1,-1,-1
04-11-2020,715,14,2,0,243,58,470,-44,-1,-1,-1,-1
04-12-2020,728,13,2,0,245,2,481,11,-1,-1,-1,-1
04-13-2020,742,14,2,0,280,35,460,-21,-1,-1,-1,-1
04-14-2020,769,27,2,0,283,3,484,24,-1,-1,-1,-1
04-15-2020,835,66,2,0,307,24,526,42,-1,-1,-1,-1
04-16-2020,863,28,6,4,335,28,522,-4,-1,-1,-1,-1
04-17-2020,977,114,8,2,356,21,613,91,-1,-1,-1,-1
04-18-2020,1049,72,9,1,380,24,660,47,-1,-1,-1,-1
04-19-2020,1089,40,11,2,395,15,683,23,-1,-1,-1,-1
04-20-2020,1161,72,12,1,407,12,742,59,-1,-1,-1,-1
04-21-2020,1173,12,13,1,446,39,714,-28,-1,-1,-1,-1
04-22-2020,1199,26,14,1,499,53,686,-28,-1,-1,-1,-1
04-23-2020,1244,45,14,0,569,70,661,-25,-1,-1,-1,-1
04-24-2020,1325,81,15,1,586,17,724,63,-1,-1,-1,-1
04-25-2020,1360,35,17,2,605,19,738,14,-1,-1,-1,-1
04-26-2020,1373,13,17,0,617,12,739,1,-1,-1,-1,-1
04-27-2020,1379,6,18,1,633,16,728,-11,-1,-1,-1,-1
04-28-2020,1381,2,18,0,656,23,707,-21,-1,-1,-1,-1
04-29-2020,1384,3,20,2,712,56,652,-55,-1,-1,-1,-1
04-30-2020,1391,7,22,2,739,27,630,-22,-1,-1,-1,-1
05-01-2020,1396,5,23,1,834,95,539,-91,-1,-1,-1,-1
05-02-2020,1403,7,23,0,898,64,482,-57,-1,-1,-1,-1
05-03-2020,1407,4,24,1,932,34,451,-31,-1,-1,-1,-1
05-04-2020,1408,1,24,0,993,61,391,-60,-1,-1,-1,-1
05-05-2020,1413,5,25,1,1009,16,379,-12,-1,-1,-1,-1
05-06-2020,1421,8,25,0,1040,31,356,-23,-1,-1,-1,-1
05-07-2020,1429,8,25,0,1088,48,316,-40,-1,-1,-1,-1
05-08-2020,1445,16,26,1,1156,68,263,-53,-1,-1,-1,-1
05-09-2020,1455,10,26,0,1190,34,239,-24,-1,-1,-1,-1
05-10-2020,1455,0,26,0,1202,12,227,-12,-1,-1,-1,-1
05-11-2020,1457,2,26,0,1211,9,220,-7,-1,-1,-1,-1
05-12-2020,1457,0,26,0,1217,6,214,-6,-1,-1,-1,-1
05-13-2020,1465,8,27,1,1229,12,209,-5,-1,-1,-1,-1
05-14-2020,1469,4,27,0,1240,11,202,-7,-1,-1,-1,-1
05-15-2020,1477,8,27,0,1261,21,189,-13,-1,-1,-1,-1
05-16-2020,1480,3,27,0,1278,17,175,-14,-1,-1,-1,-1
05-17-2020,1493,13,28,1,1287,9,178,3,-1,-1,-1,-1
05-18-2020,1494,1,28,0,1299,12,167,-11,-1,-1,-1,-1
05-19-2020,1495,1,28,0,1307,8,160,-7,-1,-1,-1,-1
05-20-2020,1495,0,28,0,1320,13,147,-13,-1,-1,-1,-1
05-21-2020,1496,1,28,0,1337,17,131,-16,-1,-1,-1,-1
05-22-2020,1502,6,28,0,1363,26,111,-20,-1,-1,-1,-1
05-23-2020,1503,1,28,0,1376,13,99,-12,-1,-1,-1,-1
05-24-2020,1504,1,28,0,1379,3,97,-2,-1,-1,-1,-1
05-25-2020,1509,5,28,0,1382,3,99,2,-1,-1,-1,-1
05-26-2020,1511,2,28,0,1383,1,100,1,-1,-1,-1,-1
05-27-2020,1513,2,28,0,1394,11,91,-9,-1,-1,-1,-1
05-28-2020,1515,2,28,0,1399,5,88,-3,-1,-1,-1,-1
05-29-2020,1520,5,28,0,1412,13,80,-8,-1,-1,-1,-1
05-30-2020,1520,0,28,0,1419,7,73,-7,-1,-1,-1,-1
05-31-2020,1521,1,28,0,1432,13,61,-12,-1,-1,-1,-1
06-01-2020,1522,1,28,0,1437,5,57,-4,-1,-1,-1,-1
06-02-2020,1522,0,28,0,1439,2,55,-2,-1,-1,-1,-1
06-03-2020,1522,0,28,0,1441,2,53,-2,-1,-1,-1,-1
06-04-2020,1525,3,28,0,1446,5,51,-2,-1,-1,-1,-1
06-05-2020,1526,1,28,0,1457,11,41,-10,-1,-1,-1,-1
06-06-2020,1526,0,28,0,1461,4,37,-4,-1,-1,-1,-1
06-07-2020,1528,2,28,0,1462,1,38,1,-1,-1,-1,-1
06-08-2020,1528,0,28,0,1467,5,33,-5,-1,-1,-1,-1
06-09-2020,1530,2,28,0,1468,1,34,1,-1,-1,-1,-1
06-10-2020,1533,3,28,0,1471,3,34,0,1404,-1,101,-1
06-11-2020,1541,8,28,0,1474,3,39,5,1409,5,104,3
06-12-2020,1542,1,28,0,1479,5,35,-4,1409,0,105,1
06-13-2020,1545,3,28,0,1480,1,37,2,1410,1,107,2
06-14-2020,1548,3,28,0,1483,3,37,0,1410,0,110,3
06-15-2020,1552,4,28,0,1484,1,40,3,1410,0,114,4
06-16-2020,1552,0,28,0,1484,0,40,0,1426,16,98,-16
06-17-2020,1561,9,28,0,1485,1,48,8,1437,11,96,-2
06-18-2020,1562,1,28,0,1488,3,46,-2,1443,6,91,-5
06-19-2020,1576,14,28,0,1490,2,58,12,1447,4,101,10
06-20-2020,1586,10,28,0,1491,1,67,9,1447,0,111,10
06-21-2020,1587,1,28,0,1492,1,67,0,1447,0,112,1
06-22-2020,1588,1,28,0,1493,1,67,0,1447,0,113,1
06-23-2020,1589,1,28,0,1495,2,66,-1,1448,1,113,0
06-24-2020,1607,18,28,0,1498,3,81,15,1448,0,131,18
06-25-2020,1630,23,28,0,1505,7,97,16,1452,4,150,19
