date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-04-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-05-2020,5,4,0,0,0,0,5,4,-1,-1,-1,-1
03-06-2020,9,4,0,0,0,0,9,4,-1,-1,-1,-1
03-07-2020,12,3,0,0,0,0,12,3,-1,-1,-1,-1
03-08-2020,16,4,0,0,0,0,16,4,-1,-1,-1,-1
03-09-2020,16,0,0,0,0,0,16,0,-1,-1,-1,-1
03-10-2020,23,7,0,0,0,0,23,7,-1,-1,-1,-1
03-11-2020,57,34,0,0,0,0,57,34,-1,-1,-1,-1
03-12-2020,57,0,0,0,0,0,57,0,-1,-1,-1,-1
03-13-2020,141,84,0,0,0,0,141,84,-1,-1,-1,-1
03-14-2020,141,0,0,0,0,0,141,0,-1,-1,-1,-1
03-15-2020,219,78,0,0,0,0,219,78,-1,-1,-1,-1
03-16-2020,253,34,0,0,0,0,253,34,-1,-1,-1,-1
03-17-2020,275,22,1,1,-1,-1,275,22,-1,-1,-1,-1
03-18-2020,286,11,1,0,0,1,285,10,-1,-1,-1,-1
03-19-2020,319,33,1,0,3,3,315,30,-1,-1,-1,-1
03-20-2020,341,22,1,0,6,3,334,19,-1,-1,-1,-1
03-21-2020,383,42,1,0,8,2,374,40,-1,-1,-1,-1
03-22-2020,383,0,1,0,11,3,371,-3,-1,-1,-1,-1
03-23-2020,414,31,1,0,11,0,402,31,-1,-1,-1,-1
03-24-2020,442,28,1,0,17,6,424,22,-1,-1,-1,-1
03-25-2020,480,38,3,2,43,26,434,10,-1,-1,-1,-1
03-26-2020,528,48,4,1,42,-1,482,48,-1,-1,-1,-1
03-27-2020,577,49,5,1,109,67,463,-19,-1,-1,-1,-1
03-28-2020,632,55,9,4,105,-4,518,55,-1,-1,-1,-1
03-29-2020,691,59,9,0,168,63,514,-4,-1,-1,-1,-1
03-30-2020,730,39,11,2,193,25,526,12,-1,-1,-1,-1
03-31-2020,763,33,11,0,211,18,541,15,-1,-1,-1,-1
04-01-2020,814,51,13,2,218,7,583,42,-1,-1,-1,-1
04-02-2020,841,27,15,2,244,26,582,-1,-1,-1,-1,-1
04-03-2020,897,56,16,1,261,17,620,38,-1,-1,-1,-1
04-04-2020,934,37,20,4,291,30,623,3,-1,-1,-1,-1
04-05-2020,977,43,22,2,290,-1,665,42,-1,-1,-1,-1
04-06-2020,997,20,28,6,309,19,660,-5,-1,-1,-1,-1
04-07-2020,1021,24,30,2,331,22,660,0,-1,-1,-1,-1
04-08-2020,1055,34,36,6,360,29,659,-1,-1,-1,-1,-1
04-09-2020,1091,36,40,4,395,35,656,-3,-1,-1,-1,-1
04-10-2020,1124,33,43,3,444,49,637,-19,-1,-1,-1,-1
04-11-2020,1160,36,45,2,486,42,629,-8,-1,-1,-1,-1
04-12-2020,1188,28,50,5,540,54,598,-31,-1,-1,-1,-1
04-13-2020,1205,17,53,3,573,33,579,-19,-1,-1,-1,-1
04-14-2020,1212,7,55,2,601,28,556,-23,-1,-1,-1,-1
04-15-2020,1220,8,56,1,643,42,521,-35,-1,-1,-1,-1
04-16-2020,1248,28,61,5,665,22,522,1,-1,-1,-1,-1
04-17-2020,1268,20,61,0,713,48,494,-28,-1,-1,-1,-1
