date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-31-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
02-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-24-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-25-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-26-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
02-27-2020,7,5,0,0,0,0,7,5,-1,-1,-1,-1
02-28-2020,11,4,0,0,0,0,11,4,-1,-1,-1,-1
02-29-2020,13,2,0,0,0,0,13,2,-1,-1,-1,-1
03-01-2020,14,1,0,0,0,0,14,1,-1,-1,-1,-1
03-02-2020,15,1,0,0,0,0,15,1,-1,-1,-1,-1
03-03-2020,24,9,0,0,0,0,24,9,-1,-1,-1,-1
03-04-2020,35,11,0,0,0,0,35,11,-1,-1,-1,-1
03-05-2020,61,26,0,0,0,0,61,26,-1,-1,-1,-1
03-06-2020,137,76,0,0,0,0,137,76,-1,-1,-1,-1
03-07-2020,161,24,0,0,0,0,161,24,-1,-1,-1,-1
03-08-2020,203,42,0,0,0,0,203,42,-1,-1,-1,-1
03-09-2020,248,45,0,0,0,0,248,45,-1,-1,-1,-1
03-10-2020,326,78,0,0,0,0,326,78,-1,-1,-1,-1
03-11-2020,461,135,0,0,1,1,460,134,-1,-1,-1,-1
03-12-2020,620,159,0,0,5,4,615,155,-1,-1,-1,-1
03-13-2020,775,155,0,0,9,4,766,151,-1,-1,-1,-1
03-14-2020,924,149,0,0,10,1,914,148,-1,-1,-1,-1
03-15-2020,992,68,3,3,8,-2,981,67,-1,-1,-1,-1
03-16-2020,1059,67,3,0,9,1,1047,66,-1,-1,-1,-1
03-17-2020,1167,108,3,0,16,7,1148,101,-1,-1,-1,-1
