date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-25-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
02-26-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-27-2020,6,5,0,0,0,0,6,5,-1,-1,-1,-1
02-28-2020,10,4,0,0,0,0,10,4,-1,-1,-1,-1
02-29-2020,18,8,0,0,0,0,18,8,-1,-1,-1,-1
03-01-2020,24,6,0,0,0,0,24,6,-1,-1,-1,-1
03-02-2020,30,6,0,0,0,0,30,6,-1,-1,-1,-1
03-03-2020,37,7,0,0,0,0,37,7,-1,-1,-1,-1
03-04-2020,57,20,0,0,0,0,57,20,-1,-1,-1,-1
03-05-2020,86,29,1,1,-1,-1,86,29,-1,-1,-1,-1
03-06-2020,209,123,1,0,-1,0,209,123,-1,-1,-1,-1
03-07-2020,264,55,2,1,-2,-1,264,55,-1,-1,-1,-1
03-08-2020,332,68,2,0,-2,0,332,68,-1,-1,-1,-1
03-09-2020,332,0,2,0,-2,0,332,0,-1,-1,-1,-1
03-10-2020,491,159,3,1,-2,0,490,158,-1,-1,-1,-1
03-11-2020,645,154,4,1,-3,-1,644,154,-1,-1,-1,-1
03-12-2020,858,213,4,0,0,3,854,210,-1,-1,-1,-1
03-13-2020,1125,267,7,3,1,1,1117,263,-1,-1,-1,-1
03-14-2020,1359,234,11,4,3,2,1345,228,-1,-1,-1,-1
03-15-2020,2200,841,13,2,6,3,2181,836,-1,-1,-1,-1
03-16-2020,2200,0,14,1,10,4,2176,-5,-1,-1,-1,-1
03-17-2020,2650,450,19,5,10,0,2621,445,-1,-1,-1,-1
03-18-2020,3010,360,21,2,25,15,2964,343,-1,-1,-1,-1
03-19-2020,3863,853,33,12,36,11,3794,830,-1,-1,-1,-1
03-20-2020,4840,977,43,10,126,90,4671,877,-1,-1,-1,-1
03-21-2020,6077,1237,56,13,157,31,5864,1193,-1,-1,-1,-1
03-22-2020,6077,0,56,0,212,55,5809,-55,-1,-1,-1,-1
03-23-2020,6971,894,60,4,208,-4,6703,894,-1,-1,-1,-1
03-24-2020,8015,1044,66,6,331,123,7618,915,-1,-1,-1,-1
03-25-2020,8789,774,86,20,436,105,8267,649,-1,-1,-1,-1
03-26-2020,9714,925,103,17,592,156,9019,752,-1,-1,-1,-1
03-27-2020,10714,1000,161,58,751,159,9802,783,-1,-1,-1,-1
03-28-2020,12104,1390,197,36,906,155,11001,1199,-1,-1,-1,-1
03-29-2020,13152,1048,235,38,1550,644,11367,366,-1,-1,-1,-1
03-30-2020,14274,1122,257,22,1529,-21,12488,1121,-1,-1,-1,-1
03-31-2020,15412,1138,295,38,1856,327,13261,773,-1,-1,-1,-1
04-01-2020,16108,696,373,78,2073,217,13662,401,-1,-1,-1,-1
04-02-2020,17070,962,378,5,2763,690,13929,267,-1,-1,-1,-1
04-03-2020,18844,1774,462,84,3487,724,14895,966,-1,-1,-1,-1
04-04-2020,19706,862,533,71,4426,939,14747,-148,-1,-1,-1,-1
04-05-2020,20489,783,592,59,4376,-50,15521,774,-1,-1,-1,-1
04-06-2020,21065,576,641,49,5051,675,15373,-148,-1,-1,-1,-1
04-07-2020,21574,509,641,0,5919,868,15014,-359,-1,-1,-1,-1
04-08-2020,22164,590,641,0,6568,649,14955,-59,-1,-1,-1,-1
04-09-2020,22710,546,705,64,7283,715,14722,-233,-1,-1,-1,-1
04-10-2020,23495,785,756,51,8080,797,14659,-63,-1,-1,-1,-1
04-11-2020,24228,733,805,49,9190,1110,14233,-426,-1,-1,-1,-1
04-12-2020,24820,592,831,26,10131,941,13858,-375,-1,-1,-1,-1
04-13-2020,25220,400,858,27,11013,882,13349,-509,-1,-1,-1,-1
04-14-2020,25499,279,885,27,11971,958,12643,-706,-1,-1,-1,-1
04-15-2020,25753,254,900,15,12571,600,12282,-361,-1,-1,-1,-1
04-16-2020,26336,583,973,73,13398,827,11965,-317,-1,-1,-1,-1
04-17-2020,26651,315,1016,43,14935,1537,10700,-1265,-1,-1,-1,-1
04-18-2020,26997,346,1058,42,15767,832,10172,-528,-1,-1,-1,-1
04-19-2020,27322,325,1110,52,16353,586,9859,-313,-1,-1,-1,-1
04-20-2020,27658,336,1134,24,16921,568,9603,-256,-1,-1,-1,-1
04-21-2020,27862,204,1141,7,17480,559,9241,-362,-1,-1,-1,-1
04-22-2020,27981,119,1186,45,18029,549,8766,-475,-1,-1,-1,-1
04-23-2020,28186,205,1216,30,18581,552,8389,-377,-1,-1,-1,-1
04-24-2020,28414,228,1267,51,19320,739,7827,-562,-1,-1,-1,-1
04-25-2020,28595,181,1308,41,20079,759,7208,-619,-1,-1,-1,-1
04-26-2020,28978,383,1336,28,20719,640,6923,-285,-1,-1,-1,-1
04-27-2020,28978,0,1336,0,21200,481,6442,-481,-1,-1,-1,-1
04-28-2020,29081,103,1352,16,21592,392,6137,-305,-1,-1,-1,-1
04-29-2020,29181,100,1379,27,21886,294,5916,-221,-1,-1,-1,-1
04-30-2020,29324,143,1407,28,22508,622,5409,-507,-1,-1,-1,-1
05-01-2020,29503,179,1422,15,23045,537,5036,-373,-1,-1,-1,-1
05-02-2020,29622,119,1434,12,23496,451,4692,-344,-1,-1,-1,-1
05-03-2020,29734,112,1466,32,23837,341,4431,-261,-1,-1,-1,-1
05-04-2020,29822,88,1472,6,24228,391,4122,-309,-1,-1,-1,-1
05-05-2020,29898,76,1476,4,24513,285,3909,-213,-1,-1,-1,-1
05-06-2020,29926,28,1482,6,24725,212,3719,-190,-1,-1,-1,-1
05-07-2020,29977,51,1504,22,24991,266,3482,-237,-1,-1,-1,-1
05-08-2020,30043,66,1517,13,25323,332,3203,-279,-1,-1,-1,-1
05-09-2020,30168,125,1531,14,25628,305,3009,-194,-1,-1,-1,-1
05-10-2020,30168,0,1531,0,26073,445,2564,-445,-1,-1,-1,-1
05-11-2020,30222,54,1537,6,26179,106,2506,-58,-1,-1,-1,-1
05-12-2020,30261,39,1542,5,26354,175,2365,-141,-1,-1,-1,-1
05-13-2020,30297,36,1560,18,26487,133,2250,-115,-1,-1,-1,-1
05-14-2020,30330,33,1563,3,26729,242,2038,-212,-1,-1,-1,-1
05-15-2020,30380,50,1588,25,26982,253,1810,-228,-1,-1,-1,-1
05-16-2020,30431,51,1594,6,27164,182,1673,-137,-1,-1,-1,-1
05-17-2020,30489,58,1601,7,27333,169,1555,-118,-1,-1,-1,-1
05-18-2020,30504,15,1602,1,27479,146,1423,-132,-1,-1,-1,-1
05-19-2020,30514,10,1602,0,27594,115,1318,-105,-1,-1,-1,-1
05-20-2020,30535,21,1613,11,27652,58,1270,-48,-1,-1,-1,-1
05-21-2020,30575,40,1629,16,27733,81,1213,-57,-1,-1,-1,-1
05-22-2020,30611,36,1637,8,27850,117,1124,-89,-1,-1,-1,-1
05-23-2020,30624,13,1637,0,28013,163,974,-150,-1,-1,-1,-1
05-24-2020,30642,18,1640,3,28094,81,908,-66,-1,-1,-1,-1
05-25-2020,30653,11,1640,0,28157,63,856,-52,-1,-1,-1,-1
05-26-2020,30663,10,1641,1,28216,59,806,-50,-1,-1,-1,-1
05-27-2020,30678,15,1647,6,28266,50,765,-41,-1,-1,-1,-1
05-28-2020,30693,15,1648,1,28341,75,704,-61,-1,-1,-1,-1
05-29-2020,30713,20,1654,6,28416,75,643,-61,-1,-1,-1,-1
05-30-2020,30745,32,1656,2,28490,74,599,-44,-1,-1,-1,-1
05-31-2020,30762,17,1656,0,28568,78,538,-61,-1,-1,-1,-1
06-01-2020,30779,17,1656,0,28610,42,513,-25,-1,-1,-1,-1
06-02-2020,30788,9,1656,0,28639,29,493,-20,-1,-1,-1,-1
06-03-2020,30791,3,1656,0,28666,27,469,-24,-1,-1,-1,-1
06-04-2020,30913,122,1660,4,28711,45,542,73,28600,-1,653,-1
06-05-2020,30936,23,1660,0,28761,50,515,-27,28600,0,676,23
06-06-2020,30956,20,1661,1,28797,36,498,-17,28600,0,695,19
06-07-2020,30956,0,1661,0,28831,34,464,-34,28700,100,595,-100
06-08-2020,30972,16,1661,0,28847,16,464,0,28700,0,611,16
06-09-2020,30988,16,1663,2,28864,17,461,-3,28700,0,625,14
06-10-2020,31011,23,1677,14,28872,8,462,1,28700,0,634,9
06-11-2020,31044,33,1677,0,28896,24,471,9,28800,100,567,-67
06-12-2020,31063,19,1677,0,28928,32,458,-13,28800,0,586,19
06-13-2020,31094,31,1678,1,28966,38,450,-8,28800,0,616,30
06-14-2020,31094,0,1678,0,28994,28,422,-28,28800,0,616,0
06-15-2020,31131,37,1678,0,29014,20,439,17,28800,0,653,37
