date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-23-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-24-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-25-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-26-2020,5,4,0,0,0,0,5,4,-1,-1,-1,-1
03-27-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-28-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-29-2020,9,4,1,1,-1,-1,9,4,-1,-1,-1,-1
03-30-2020,9,0,1,0,-1,0,9,0,-1,-1,-1,-1
03-31-2020,10,1,2,1,-2,-1,10,1,-1,-1,-1,-1
04-01-2020,10,0,2,0,-2,0,10,0,-1,-1,-1,-1
04-02-2020,10,0,2,0,-2,0,10,0,-1,-1,-1,-1
04-03-2020,16,6,2,0,-2,0,16,6,-1,-1,-1,-1
04-04-2020,16,0,2,0,-2,0,16,0,-1,-1,-1,-1
04-05-2020,19,3,2,0,-2,0,19,3,-1,-1,-1,-1
04-06-2020,19,0,2,0,-1,1,18,-1,-1,-1,-1,-1
04-07-2020,19,0,2,0,-1,0,18,0,-1,-1,-1,-1
04-08-2020,19,0,2,0,-1,0,18,0,-1,-1,-1,-1
04-09-2020,19,0,2,0,2,3,15,-3,-1,-1,-1,-1
04-10-2020,19,0,2,0,2,0,15,0,-1,-1,-1,-1
04-11-2020,25,6,2,0,2,0,21,6,-1,-1,-1,-1
04-12-2020,25,0,2,0,5,3,18,-3,-1,-1,-1,-1
04-13-2020,25,0,2,0,5,0,18,0,-1,-1,-1,-1
04-14-2020,25,0,2,0,6,1,17,-1,-1,-1,-1,-1
04-15-2020,29,4,2,0,6,0,21,4,-1,-1,-1,-1
04-16-2020,33,4,2,0,6,0,25,4,-1,-1,-1,-1
04-17-2020,33,0,2,0,10,4,21,-4,-1,-1,-1,-1
04-18-2020,38,5,2,0,10,0,26,5,-1,-1,-1,-1
04-19-2020,38,0,2,0,13,3,23,-3,-1,-1,-1,-1
04-20-2020,39,1,3,1,12,-1,24,1,-1,-1,-1,-1
04-21-2020,39,0,3,0,12,0,24,0,-1,-1,-1,-1
04-22-2020,42,3,3,0,12,0,27,3,-1,-1,-1,-1
04-23-2020,42,0,3,0,13,1,26,-1,-1,-1,-1,-1
04-24-2020,42,0,3,0,13,0,26,0,-1,-1,-1,-1
04-25-2020,42,0,3,0,17,4,22,-4,-1,-1,-1,-1
04-26-2020,42,0,3,0,18,1,21,-1,-1,-1,-1,-1
04-27-2020,43,1,3,0,18,0,22,1,-1,-1,-1,-1
04-28-2020,43,0,3,0,18,0,22,0,-1,-1,-1,-1
04-29-2020,43,0,3,0,21,3,19,-3,-1,-1,-1,-1
04-30-2020,43,0,3,0,25,4,15,-4,-1,-1,-1,-1
05-01-2020,43,0,3,0,25,0,15,0,-1,-1,-1,-1
05-02-2020,44,1,3,0,30,5,11,-4,-1,-1,-1,-1
05-03-2020,44,0,3,0,30,0,11,0,-1,-1,-1,-1
05-04-2020,44,0,3,0,31,1,10,-1,-1,-1,-1,-1
05-05-2020,44,0,3,0,31,0,10,0,-1,-1,-1,-1
05-06-2020,45,1,3,0,33,2,9,-1,-1,-1,-1,-1
05-07-2020,45,0,3,0,33,0,9,0,-1,-1,-1,-1
05-08-2020,45,0,3,0,33,0,9,0,-1,-1,-1,-1
05-09-2020,47,2,3,0,34,1,10,1,-1,-1,-1,-1
05-10-2020,47,0,3,0,34,0,10,0,-1,-1,-1,-1
05-11-2020,47,0,3,0,35,1,9,-1,-1,-1,-1,-1
05-12-2020,47,0,3,0,35,0,9,0,-1,-1,-1,-1
05-13-2020,48,1,3,0,36,1,9,0,-1,-1,-1,-1
05-14-2020,48,0,3,0,36,0,9,0,-1,-1,-1,-1
05-15-2020,48,0,3,0,37,1,8,-1,-1,-1,-1,-1
05-16-2020,50,2,3,0,38,1,9,1,-1,-1,-1,-1
05-17-2020,51,1,3,0,38,0,10,1,-1,-1,-1,-1
05-18-2020,58,7,3,0,39,1,16,6,-1,-1,-1,-1
05-19-2020,58,0,3,0,39,0,16,0,-1,-1,-1,-1
05-20-2020,58,0,3,0,40,1,15,-1,-1,-1,-1,-1
05-21-2020,58,0,3,0,40,0,15,0,-1,-1,-1,-1
05-22-2020,58,0,3,0,40,0,15,0,-1,-1,-1,-1
05-23-2020,59,1,4,1,41,1,14,-1,-1,-1,-1,-1
05-24-2020,70,11,4,0,41,0,25,11,-1,-1,-1,-1
05-25-2020,86,16,4,0,41,0,41,16,-1,-1,-1,-1
05-26-2020,106,20,4,0,41,0,61,20,-1,-1,-1,-1
05-27-2020,121,15,4,0,42,1,75,14,-1,-1,-1,-1
05-28-2020,121,0,4,0,42,0,75,0,-1,-1,-1,-1
05-29-2020,122,1,4,0,42,0,76,1,-1,-1,-1,-1
05-30-2020,122,0,4,0,44,2,74,-2,-1,-1,-1,-1
05-31-2020,122,0,4,0,45,1,73,-1,-1,-1,-1,-1
06-01-2020,122,0,5,1,50,5,67,-6,-1,-1,-1,-1
06-02-2020,123,1,5,0,50,0,68,1,-1,-1,-1,-1
06-03-2020,123,0,6,1,49,-1,68,0,-1,-1,-1,-1
06-04-2020,123,0,6,0,49,0,68,0,-1,-1,-1,-1
06-05-2020,124,1,6,0,49,0,69,1,-1,-1,-1,-1
06-06-2020,124,0,6,0,50,1,68,-1,-1,-1,-1,-1
06-07-2020,125,1,6,0,59,9,60,-8,-1,-1,-1,-1
06-08-2020,141,16,6,0,72,13,63,3,-1,-1,-1,-1
06-09-2020,144,3,6,0,88,16,50,-13,-1,-1,-1,-1
06-10-2020,152,8,6,0,100,12,46,-4,68,-1,78,-1
06-11-2020,164,12,6,0,100,0,58,12,68,0,90,12
06-12-2020,164,0,6,0,101,1,57,-1,68,0,90,0
06-13-2020,170,6,6,0,102,1,62,5,71,3,93,3
06-14-2020,170,0,6,0,102,0,62,0,71,0,93,0
06-15-2020,177,7,6,0,103,1,68,6,78,7,93,0
06-16-2020,177,0,6,0,103,0,68,0,78,0,93,0
06-17-2020,178,1,7,1,103,0,68,0,78,0,93,0
06-18-2020,187,9,7,0,103,0,77,9,78,0,102,9
06-19-2020,187,0,7,0,103,0,77,0,78,0,102,0
06-20-2020,198,11,7,0,104,1,87,10,83,5,108,6
06-21-2020,204,6,7,0,106,2,91,4,83,0,114,6
06-22-2020,219,15,7,0,121,15,91,0,83,0,129,15
06-23-2020,219,0,7,0,126,5,86,-5,83,0,129,0
06-24-2020,231,12,7,0,135,9,89,3,94,11,130,1
06-25-2020,242,11,7,0,145,10,90,1,96,2,139,9
06-26-2020,255,13,8,1,144,-1,103,13,102,6,145,6
06-27-2020,255,0,8,0,149,5,98,-5,102,0,145,0
06-28-2020,259,4,9,1,148,-1,102,4,102,0,148,3
06-29-2020,269,10,9,0,154,6,106,4,102,0,158,10
06-30-2020,269,0,9,0,154,0,106,0,102,0,158,0
07-01-2020,293,24,9,0,155,1,129,23,110,8,174,16
07-02-2020,293,0,9,0,162,7,122,-7,110,0,174,0
07-03-2020,328,35,10,1,161,-1,157,35,123,13,195,21
07-04-2020,328,0,10,0,170,9,148,-9,123,0,195,0
07-05-2020,358,30,13,3,173,3,172,24,126,3,219,24
07-06-2020,372,14,14,1,187,14,171,-1,126,0,232,13
07-07-2020,372,0,14,0,188,1,170,-1,126,0,232,0
07-08-2020,372,0,14,0,200,12,158,-12,126,0,232,0
07-09-2020,372,0,14,0,211,11,147,-11,126,0,232,0
07-10-2020,394,22,16,2,219,8,159,12,126,0,252,20
07-11-2020,394,0,16,0,220,1,158,-1,126,0,252,0
07-12-2020,394,0,16,0,223,3,155,-3,126,0,252,0
07-13-2020,394,0,16,0,232,9,146,-9,126,0,252,0
07-14-2020,417,23,19,3,229,-3,169,23,126,0,272,20
07-15-2020,439,22,21,2,247,18,171,2,126,0,292,20
07-16-2020,458,19,22,1,247,0,189,18,126,0,310,18
07-17-2020,477,19,22,0,276,29,179,-10,126,0,329,19
07-18-2020,496,19,25,3,274,-2,197,18,144,18,327,-2
07-19-2020,496,0,25,0,299,25,172,-25,144,0,327,0
07-20-2020,496,0,25,0,314,15,157,-15,144,0,327,0
07-21-2020,522,26,29,4,310,-4,183,26,144,0,349,22
07-22-2020,561,39,32,3,309,-1,220,37,165,21,364,15
07-23-2020,561,0,32,0,311,2,218,-2,165,0,364,0
07-24-2020,608,47,35,3,328,17,245,27,184,19,389,25
07-25-2020,608,0,35,0,328,0,245,0,184,0,389,0
