date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-17-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-18-2020,3,2,0,0,0,0,3,2,-1,-1,-1,-1
03-19-2020,6,3,0,0,0,0,6,3,-1,-1,-1,-1
03-20-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-21-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-22-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-23-2020,12,6,0,0,0,0,12,6,-1,-1,-1,-1
03-24-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-25-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-26-2020,13,1,0,0,0,0,13,1,-1,-1,-1,-1
03-27-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-28-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-29-2020,14,1,0,0,0,0,14,1,-1,-1,-1,-1
03-30-2020,19,5,0,0,0,0,19,5,-1,-1,-1,-1
03-31-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
04-01-2020,20,1,1,1,1,1,18,-1,-1,-1,-1,-1
04-02-2020,20,0,1,0,3,2,16,-2,-1,-1,-1,-1
04-03-2020,20,0,1,0,3,0,16,0,-1,-1,-1,-1
04-04-2020,20,0,1,0,3,0,16,0,-1,-1,-1,-1
04-05-2020,20,0,1,0,3,0,16,0,-1,-1,-1,-1
04-06-2020,22,2,1,0,8,5,13,-3,-1,-1,-1,-1
04-07-2020,24,2,1,0,8,0,15,2,-1,-1,-1,-1
04-08-2020,24,0,1,0,8,0,15,0,-1,-1,-1,-1
04-09-2020,25,1,1,0,9,1,15,0,-1,-1,-1,-1
04-10-2020,25,0,1,0,9,0,15,0,-1,-1,-1,-1
04-11-2020,32,7,3,2,7,-2,22,7,-1,-1,-1,-1
04-12-2020,32,0,3,0,8,1,21,-1,-1,-1,-1,-1
04-13-2020,32,0,3,0,12,4,17,-4,-1,-1,-1,-1
04-14-2020,49,17,3,0,12,0,34,17,-1,-1,-1,-1
04-15-2020,53,4,3,0,13,1,37,3,-1,-1,-1,-1
04-16-2020,88,35,4,1,13,0,71,34,-1,-1,-1,-1
04-17-2020,94,6,4,0,13,0,77,6,-1,-1,-1,-1
04-18-2020,148,54,5,1,12,-1,131,54,-1,-1,-1,-1
04-19-2020,148,0,5,0,12,0,131,0,-1,-1,-1,-1
04-20-2020,171,23,7,2,12,0,152,21,-1,-1,-1,-1
04-21-2020,255,84,10,3,11,-1,234,82,-1,-1,-1,-1
04-22-2020,255,0,10,0,11,0,234,0,-1,-1,-1,-1
04-23-2020,285,30,10,0,12,1,263,29,-1,-1,-1,-1
04-24-2020,285,0,10,0,12,0,263,0,-1,-1,-1,-1
04-25-2020,300,15,10,0,17,5,273,10,-1,-1,-1,-1
04-26-2020,300,0,10,0,17,0,273,0,-1,-1,-1,-1
04-27-2020,300,0,10,0,18,1,272,-1,-1,-1,-1,-1
04-28-2020,300,0,10,0,32,14,258,-14,-1,-1,-1,-1
04-29-2020,300,0,10,0,35,3,255,-3,-1,-1,-1,-1
04-30-2020,480,180,16,6,58,23,406,151,-1,-1,-1,-1
05-01-2020,480,0,17,1,62,4,401,-5,-1,-1,-1,-1
05-02-2020,480,0,17,0,105,43,358,-43,-1,-1,-1,-1
05-03-2020,480,0,18,1,104,-1,358,0,-1,-1,-1,-1
05-04-2020,480,0,18,0,124,20,338,-20,-1,-1,-1,-1
05-05-2020,480,0,18,0,192,68,270,-68,-1,-1,-1,-1
05-06-2020,480,0,18,0,192,0,270,0,-1,-1,-1,-1
05-07-2020,480,0,18,0,217,25,245,-25,-1,-1,-1,-1
05-08-2020,509,29,21,3,214,-3,274,29,-1,-1,-1,-1
05-09-2020,509,0,21,0,227,13,261,-13,-1,-1,-1,-1
05-10-2020,509,0,21,0,227,0,261,0,-1,-1,-1,-1
05-11-2020,509,0,21,0,227,0,261,0,-1,-1,-1,-1
05-12-2020,509,0,21,0,229,2,259,-2,-1,-1,-1,-1
05-13-2020,509,0,21,0,230,1,258,-1,-1,-1,-1,-1
05-14-2020,509,0,21,0,381,151,107,-151,-1,-1,-1,-1
05-15-2020,509,0,21,0,381,0,107,0,-1,-1,-1,-1
05-16-2020,509,0,21,0,389,8,99,-8,-1,-1,-1,-1
05-17-2020,509,0,21,0,389,0,99,0,-1,-1,-1,-1
05-18-2020,509,0,21,0,392,3,96,-3,-1,-1,-1,-1
05-19-2020,509,0,21,0,404,12,84,-12,-1,-1,-1,-1
05-20-2020,509,0,21,0,404,0,84,0,-1,-1,-1,-1
05-21-2020,509,0,21,0,408,4,80,-4,-1,-1,-1,-1
05-22-2020,509,0,21,0,432,24,56,-24,-1,-1,-1,-1
05-23-2020,509,0,21,0,434,2,54,-2,-1,-1,-1,-1
05-24-2020,509,0,21,0,434,0,54,0,-1,-1,-1,-1
05-25-2020,509,0,21,0,434,0,54,0,-1,-1,-1,-1
05-26-2020,509,0,21,0,435,1,53,-1,-1,-1,-1,-1
05-27-2020,509,0,21,0,435,0,53,0,-1,-1,-1,-1
05-28-2020,509,0,21,0,462,27,26,-27,-1,-1,-1,-1
05-29-2020,509,0,21,0,463,1,25,-1,-1,-1,-1,-1
05-30-2020,509,0,21,0,465,2,23,-2,-1,-1,-1,-1
05-31-2020,509,0,21,0,465,0,23,0,-1,-1,-1,-1
06-01-2020,509,0,21,0,467,2,21,-2,-1,-1,-1,-1
06-02-2020,509,0,21,0,471,4,17,-4,-1,-1,-1,-1
06-03-2020,509,0,21,0,471,0,17,0,-1,-1,-1,-1
06-04-2020,509,0,21,0,472,1,16,-1,-1,-1,-1,-1
06-05-2020,509,0,21,0,476,4,12,-4,-1,-1,-1,-1
06-06-2020,509,0,21,0,477,1,11,-1,-1,-1,-1,-1
06-07-2020,509,0,21,0,477,0,11,0,-1,-1,-1,-1
06-08-2020,509,0,21,0,477,0,11,0,-1,-1,-1,-1
06-09-2020,509,0,21,0,477,0,11,0,-1,-1,-1,-1
06-10-2020,509,0,21,0,477,0,11,0,183,-1,305,-1
06-11-2020,509,0,21,0,486,9,2,-9,183,0,305,0
06-12-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-13-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-14-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-15-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-16-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-17-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-18-2020,509,0,21,0,486,0,2,0,183,0,305,0
06-19-2020,509,0,21,0,488,2,0,-2,183,0,305,0
06-20-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-21-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-22-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-23-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-24-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-25-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-26-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-27-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-28-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-29-2020,509,0,21,0,488,0,0,0,183,0,305,0
06-30-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-01-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-02-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-03-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-04-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-05-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-06-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-07-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-08-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-09-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-10-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-11-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-12-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-13-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-14-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-15-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-16-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-17-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-18-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-19-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-20-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-21-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-22-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-23-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-24-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-25-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-26-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-27-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-28-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-29-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-30-2020,509,0,21,0,488,0,0,0,183,0,305,0
07-31-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-01-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-02-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-03-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-04-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-05-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-06-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-07-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-08-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-09-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-10-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-11-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-12-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-13-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-14-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-15-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-16-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-17-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-18-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-19-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-20-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-21-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-22-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-23-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-24-2020,509,0,21,0,488,0,0,0,183,0,305,0
08-25-2020,509,0,21,0,488,0,0,0,183,0,305,0
