date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-04-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-05-2020,3,2,0,0,0,0,3,2,0,0,3,2
03-06-2020,9,6,0,0,0,0,9,6,0,0,9,6
03-07-2020,9,0,0,0,0,0,9,0,0,0,9,0
03-08-2020,12,3,0,0,0,0,12,3,0,0,12,3
03-09-2020,13,1,0,0,0,0,13,1,0,0,13,1
03-10-2020,17,4,0,0,0,0,17,4,0,0,17,4
03-11-2020,22,5,0,0,0,0,22,5,0,0,22,5
03-12-2020,32,10,0,0,0,0,32,10,0,0,32,10
03-13-2020,49,17,0,0,0,0,49,17,0,0,49,17
03-14-2020,63,14,0,0,0,0,63,14,0,0,63,14
03-15-2020,76,13,0,0,0,0,76,13,0,0,76,13
03-16-2020,95,19,1,1,0,0,94,18,0,0,94,18
03-17-2020,132,37,2,1,0,0,130,36,0,0,130,36
03-18-2020,223,91,3,1,0,0,220,90,0,0,220,90
03-19-2020,321,98,5,2,0,0,316,96,0,0,316,96
03-20-2020,429,108,5,0,2,2,422,106,0,0,424,108
03-21-2020,557,128,5,0,2,0,550,128,0,0,552,128
03-22-2020,668,111,8,3,1,-1,659,109,0,0,660,108
03-23-2020,803,135,9,1,1,0,793,134,0,0,794,134
03-24-2020,1027,224,13,4,0,-1,1014,221,0,0,1014,220
03-25-2020,1347,320,17,4,0,0,1330,316,0,0,1330,316
03-26-2020,1658,311,24,7,1,1,1633,303,0,0,1634,304
03-27-2020,2009,351,26,2,13,12,1970,337,0,0,1983,349
03-28-2020,2535,526,34,8,17,4,2484,514,0,0,2501,518
03-29-2020,2826,291,37,3,24,7,2765,281,0,0,2789,288
03-30-2020,3346,520,48,11,28,4,3270,505,0,0,3298,509
03-31-2020,3925,579,58,10,48,20,3819,549,0,0,3867,569
04-01-2020,4607,682,68,10,112,64,4427,608,0,0,4539,672
04-02-2020,5253,646,86,18,174,62,4993,566,0,0,5167,628
04-03-2020,6030,777,104,18,244,70,5682,689,0,0,5926,759
04-04-2020,6872,842,122,18,330,86,6420,738,0,0,6750,824
04-05-2020,7294,422,140,18,402,72,6752,332,0,0,7154,404
04-06-2020,8157,863,153,13,499,97,7505,753,0,0,8004,850
04-07-2020,9204,1047,176,23,976,477,8052,547,976,976,8052,48
04-08-2020,10077,873,193,17,1194,218,8690,638,1194,218,8690,638
04-09-2020,11483,1406,223,30,1365,171,9895,1205,1365,171,9895,1205
04-10-2020,12397,914,248,25,1709,344,10440,545,1709,344,10440,545
04-11-2020,13354,957,273,25,1888,179,11193,753,1888,179,11193,753
04-12-2020,13886,532,296,23,2068,180,11522,329,2068,180,11522,329
04-13-2020,14505,619,317,21,2406,338,11782,260,2404,336,11784,262
04-14-2020,15343,838,362,45,2835,429,12146,364,2677,273,12304,520
04-15-2020,16289,946,391,29,3371,536,12527,381,3150,473,12748,444
04-16-2020,17263,974,429,38,3871,500,12963,436,3677,527,13157,409
04-17-2020,18078,815,459,30,4485,614,13134,171,4202,525,13417,260
04-18-2020,18905,827,483,24,5161,676,13261,127,4806,604,13616,199
04-19-2020,19410,505,500,17,5534,373,13376,115,5534,728,13376,-240
04-20-2020,20087,677,520,20,6200,666,13367,-9,5707,173,13860,484
04-21-2020,20975,888,545,25,7054,854,13376,9,6444,737,13986,126
04-22-2020,21774,799,569,24,7783,729,13422,46,7359,915,13846,-140
04-23-2020,22650,876,604,35,8930,1147,13116,-306,8025,666,14021,175
04-24-2020,23642,992,624,20,9701,771,13317,201,9216,1191,13802,-219
