date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,4,4,0,0,0,0,4,4,-1,-1,-1,-1
01-23-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
01-24-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
01-25-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
01-26-2020,5,1,0,0,0,0,5,1,-1,-1,-1,-1
01-27-2020,8,3,0,0,0,0,8,3,-1,-1,-1,-1
01-28-2020,14,6,0,0,0,0,14,6,-1,-1,-1,-1
01-29-2020,14,0,0,0,0,0,14,0,-1,-1,-1,-1
01-30-2020,14,0,0,0,0,0,14,0,-1,-1,-1,-1
01-31-2020,19,5,0,0,0,0,19,5,-1,-1,-1,-1
02-01-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
02-02-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
02-03-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
02-04-2020,25,6,0,0,0,0,25,6,-1,-1,-1,-1
02-05-2020,25,0,0,0,3,3,22,-3,-1,-1,-1,-1
02-06-2020,25,0,0,0,3,0,22,0,-1,-1,-1,-1
02-07-2020,25,0,0,0,3,0,22,0,-1,-1,-1,-1
02-08-2020,32,7,0,0,3,0,29,7,-1,-1,-1,-1
02-09-2020,32,0,0,0,4,1,28,-1,-1,-1,-1,-1
02-10-2020,32,0,0,0,6,2,26,-2,-1,-1,-1,-1
02-11-2020,33,1,0,0,11,5,22,-4,-1,-1,-1,-1
02-12-2020,33,0,0,0,11,0,22,0,-1,-1,-1,-1
02-13-2020,33,0,0,0,11,0,22,0,-1,-1,-1,-1
02-14-2020,33,0,0,0,15,4,18,-4,-1,-1,-1,-1
02-15-2020,34,1,0,0,15,0,19,1,-1,-1,-1,-1
02-16-2020,34,0,0,0,15,0,19,0,-1,-1,-1,-1
02-17-2020,35,1,0,0,15,0,20,1,-1,-1,-1,-1
02-18-2020,35,0,0,0,20,5,15,-5,-1,-1,-1,-1
02-19-2020,35,0,0,0,20,0,15,0,-1,-1,-1,-1
02-20-2020,35,0,0,0,20,0,15,0,-1,-1,-1,-1
02-21-2020,35,0,0,0,20,0,15,0,-1,-1,-1,-1
02-22-2020,35,0,0,0,26,6,9,-6,-1,-1,-1,-1
02-23-2020,35,0,0,0,26,0,9,0,-1,-1,-1,-1
02-24-2020,35,0,0,0,27,1,8,-1,-1,-1,-1,-1
