date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,4,4,0,0,0,0,4,4,0,0,4,4
01-23-2020,4,0,0,0,0,0,4,0,0,0,4,0
01-24-2020,8,4,0,0,0,0,8,4,0,0,8,4
01-25-2020,13,5,0,0,0,0,13,5,0,0,13,5
01-26-2020,14,1,0,0,0,0,14,1,0,0,14,1
01-27-2020,23,9,0,0,0,0,23,9,0,0,23,9
01-28-2020,25,2,0,0,0,0,25,2,0,0,25,2
01-29-2020,27,2,0,0,0,0,27,2,0,0,27,2
01-30-2020,32,5,0,0,0,0,32,5,0,0,32,5
01-31-2020,32,0,0,0,0,0,32,0,0,0,32,0
02-01-2020,45,13,0,0,0,0,45,13,0,0,45,13
02-02-2020,48,3,0,0,1,1,47,2,1,1,47,2
02-03-2020,60,12,0,0,1,0,59,12,1,0,59,12
02-04-2020,67,7,0,0,2,1,65,6,2,1,65,6
02-05-2020,69,2,1,1,2,0,66,1,2,0,66,1
02-06-2020,79,10,1,0,2,0,76,10,2,0,76,10
02-07-2020,81,2,1,0,5,3,75,-1,2,0,78,2
02-08-2020,90,9,1,0,9,4,80,5,4,2,85,7
02-09-2020,94,4,1,0,10,1,83,3,4,0,89,4
02-10-2020,95,1,1,0,17,7,77,-6,8,4,86,-3
02-11-2020,106,11,2,1,18,1,86,9,10,2,94,8
02-12-2020,113,7,2,0,19,1,92,6,11,1,100,6
02-13-2020,119,6,3,1,22,3,94,2,21,10,95,-5
02-14-2020,121,2,3,0,32,10,86,-8,32,11,86,-9
02-15-2020,122,1,3,0,37,5,82,-4,37,5,82,-4
02-16-2020,125,3,3,0,45,8,77,-5,45,8,77,-5
02-17-2020,127,2,3,0,46,1,78,1,46,1,78,1
02-18-2020,128,1,3,0,51,5,74,-4,48,2,77,-1
02-19-2020,130,2,3,0,54,3,73,-1,54,6,73,-4
02-20-2020,131,1,3,0,61,7,67,-6,59,5,69,-4
02-21-2020,135,4,3,0,64,3,68,1,64,5,68,-1
02-22-2020,135,0,3,0,71,7,61,-7,65,1,67,-1
02-23-2020,135,0,3,0,81,10,51,-10,81,16,51,-16
02-24-2020,135,0,3,0,87,6,45,-6,87,6,45,-6
02-25-2020,135,0,3,0,91,4,41,-4,91,4,41,-4
02-26-2020,135,0,3,0,96,5,36,-5,96,5,36,-5
02-27-2020,136,1,3,0,102,6,31,-5,102,6,31,-5
02-28-2020,136,0,3,0,105,3,28,-3,105,3,28,-3
02-29-2020,136,0,3,0,109,4,24,-4,109,4,24,-4
03-01-2020,136,0,3,0,111,2,22,-2,111,2,22,-2
03-02-2020,136,0,3,0,118,7,15,-7,118,7,15,-7
03-03-2020,136,0,3,0,124,6,9,-6,124,6,9,-6
03-04-2020,136,0,3,0,128,4,5,-4,128,4,5,-4
03-05-2020,136,0,3,0,128,0,5,0,128,0,5,0
03-06-2020,136,0,3,0,128,0,5,0,128,0,5,0
03-07-2020,136,0,3,0,128,0,5,0,128,0,5,0
03-08-2020,136,0,3,0,129,1,4,-1,129,1,4,-1
03-09-2020,136,0,3,0,130,1,3,-1,130,1,3,-1
03-10-2020,136,0,3,0,131,1,2,-1,131,1,2,-1
03-11-2020,136,0,3,0,132,1,1,-1,132,1,1,-1
03-12-2020,136,0,3,0,132,0,1,0,132,0,1,0
03-13-2020,136,0,3,0,132,0,1,0,132,0,1,0
03-14-2020,136,0,3,0,132,0,1,0,132,0,1,0
03-15-2020,136,0,3,0,133,1,0,-1,133,1,0,-1
03-16-2020,136,0,3,0,133,0,0,0,133,0,0,0
03-17-2020,136,0,3,0,133,0,0,0,133,0,0,0
03-18-2020,136,0,3,0,133,0,0,0,133,0,0,0
03-19-2020,137,1,3,0,133,0,1,1,133,0,1,1
03-20-2020,137,0,3,0,133,0,1,0,133,0,1,0
03-21-2020,137,0,3,0,133,0,1,0,133,0,1,0
03-22-2020,137,0,3,0,133,0,1,0,133,0,1,0
03-23-2020,141,4,3,0,133,0,5,4,133,0,5,4
03-24-2020,145,4,3,0,133,0,9,4,133,0,9,4
03-25-2020,147,2,3,0,133,0,11,2,133,0,11,2
03-26-2020,151,4,3,0,133,0,15,4,133,0,15,4
03-27-2020,155,4,3,0,133,0,19,4,133,0,19,4
03-28-2020,161,6,3,0,133,0,25,6,133,0,25,6
03-29-2020,166,5,3,0,133,0,30,5,133,0,30,5
03-30-2020,174,8,3,0,133,0,38,8,133,0,38,8
03-31-2020,174,0,3,0,133,0,38,0,133,0,38,0
04-01-2020,176,2,3,0,135,2,38,0,135,2,38,0
04-02-2020,176,0,3,0,135,0,38,0,135,0,38,0
04-03-2020,180,4,3,0,140,5,37,-1,140,5,37,-1
04-04-2020,180,0,3,0,140,0,37,0,140,0,37,0
04-05-2020,180,0,3,0,140,0,37,0,140,0,37,0
04-06-2020,180,0,3,0,140,0,37,0,140,0,37,0
04-07-2020,180,0,3,0,140,0,37,0,140,0,37,0
04-08-2020,180,0,3,0,141,1,36,-1,140,0,37,0
04-09-2020,182,2,3,0,152,11,27,-9,152,12,27,-10
04-10-2020,183,1,3,0,158,6,22,-5,158,6,22,-5
04-11-2020,183,0,3,0,158,0,22,0,158,0,22,0
04-12-2020,183,0,3,0,158,0,22,0,158,0,22,0
04-13-2020,184,1,3,0,163,5,18,-4,161,3,20,-2
04-14-2020,185,1,3,0,164,1,18,0,164,3,18,-2
04-15-2020,185,0,3,0,165,1,17,-1,164,0,18,0
04-16-2020,186,1,3,0,172,7,11,-6,172,8,11,-7
04-17-2020,189,3,3,0,173,1,13,2,173,1,13,2
04-18-2020,189,0,3,0,173,0,13,0,173,0,13,0
04-19-2020,189,0,3,0,173,0,13,0,173,0,13,0
04-20-2020,189,0,3,0,173,0,13,0,173,0,13,0
04-21-2020,189,0,3,0,173,0,13,0,173,0,13,0
04-22-2020,189,0,3,0,173,0,13,0,173,0,13,0
04-23-2020,189,0,3,0,173,0,13,0,173,0,13,0
04-24-2020,190,1,3,0,179,6,8,-5,179,6,8,-5
04-25-2020,190,0,3,0,179,0,8,0,179,0,8,0
