date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-07-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-19-2020,9,8,0,0,0,0,9,8,-1,-1,-1,-1
03-20-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-21-2020,15,6,0,0,0,0,15,6,-1,-1,-1,-1
03-22-2020,15,0,0,0,0,0,15,0,-1,-1,-1,-1
03-23-2020,16,1,0,0,0,0,16,1,-1,-1,-1,-1
03-24-2020,18,2,0,0,0,0,18,2,-1,-1,-1,-1
03-25-2020,20,2,0,0,0,0,20,2,-1,-1,-1,-1
03-26-2020,23,3,0,0,0,0,23,3,-1,-1,-1,-1
03-27-2020,24,1,0,0,0,0,24,1,-1,-1,-1,-1
03-28-2020,25,1,0,0,0,0,25,1,-1,-1,-1,-1
03-29-2020,28,3,1,1,0,0,27,2,-1,-1,-1,-1
03-30-2020,28,0,1,0,0,0,27,0,-1,-1,-1,-1
03-31-2020,34,6,1,0,0,0,33,6,-1,-1,-1,-1
04-01-2020,34,0,1,0,0,0,33,0,-1,-1,-1,-1
04-02-2020,36,2,2,1,5,5,29,-4,-1,-1,-1,-1
