date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-02-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-08-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-09-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-10-2020,6,4,0,0,0,0,6,4,-1,-1,-1,-1
03-11-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-12-2020,7,1,0,0,0,0,7,1,-1,-1,-1,-1
03-13-2020,7,0,0,0,0,0,7,0,-1,-1,-1,-1
03-14-2020,16,9,0,0,0,0,16,9,-1,-1,-1,-1
03-15-2020,18,2,0,0,0,0,18,2,-1,-1,-1,-1
03-16-2020,20,2,0,0,0,0,20,2,-1,-1,-1,-1
03-17-2020,24,4,0,0,0,0,24,4,-1,-1,-1,-1
03-18-2020,29,5,0,0,0,0,29,5,-1,-1,-1,-1
03-19-2020,39,10,0,0,0,0,39,10,-1,-1,-1,-1
03-20-2020,54,15,1,1,0,0,53,14,-1,-1,-1,-1
03-21-2020,60,6,1,0,0,0,59,6,-1,-1,-1,-1
03-22-2020,75,15,3,2,-1,-1,73,14,-1,-1,-1,-1
03-23-2020,89,14,3,0,-1,0,87,14,-1,-1,-1,-1
03-24-2020,114,25,3,0,1,2,110,23,-1,-1,-1,-1
03-25-2020,173,59,5,2,0,-1,168,58,-1,-1,-1,-1
03-26-2020,173,0,5,0,0,0,168,0,-1,-1,-1,-1
03-27-2020,227,54,6,1,0,0,221,53,-1,-1,-1,-1
03-28-2020,227,0,6,0,6,6,215,-6,-1,-1,-1,-1
03-29-2020,278,51,8,2,6,0,264,49,-1,-1,-1,-1
03-30-2020,312,34,8,0,8,2,296,32,-1,-1,-1,-1
03-31-2020,362,50,9,1,10,2,343,47,-1,-1,-1,-1
04-01-2020,394,32,10,1,13,3,371,28,-1,-1,-1,-1
04-02-2020,455,61,13,3,18,5,424,53,-1,-1,-1,-1
04-03-2020,495,40,18,5,25,7,452,28,-1,-1,-1,-1
04-04-2020,495,0,18,0,30,5,447,-5,-1,-1,-1,-1
04-05-2020,553,58,19,1,42,12,492,45,-1,-1,-1,-1
04-06-2020,574,21,22,3,50,8,502,10,-1,-1,-1,-1
04-07-2020,596,22,22,0,71,21,503,1,-1,-1,-1,-1
04-08-2020,623,27,23,1,117,46,483,-20,-1,-1,-1,-1
04-09-2020,628,5,24,1,117,0,487,4,-1,-1,-1,-1
04-10-2020,643,15,25,1,159,42,459,-28,-1,-1,-1,-1
04-11-2020,671,28,25,0,161,2,485,26,-1,-1,-1,-1
04-12-2020,685,14,28,3,199,38,458,-27,-1,-1,-1,-1
04-13-2020,707,22,31,3,224,25,452,-6,-1,-1,-1,-1
04-14-2020,726,19,34,3,262,38,430,-22,-1,-1,-1,-1
04-15-2020,747,21,34,0,289,27,424,-6,-1,-1,-1,-1
04-16-2020,780,33,35,1,339,50,406,-18,-1,-1,-1,-1
04-17-2020,822,42,37,2,371,32,414,8,-1,-1,-1,-1
04-18-2020,864,42,37,0,372,1,455,41,-1,-1,-1,-1
04-19-2020,866,2,37,0,421,49,408,-47,-1,-1,-1,-1
04-20-2020,879,13,38,1,439,18,402,-6,-1,-1,-1,-1
04-21-2020,884,5,38,0,461,22,385,-17,-1,-1,-1,-1
04-22-2020,901,17,38,0,491,30,372,-13,-1,-1,-1,-1
04-23-2020,909,8,38,0,495,4,376,4,-1,-1,-1,-1
04-24-2020,918,9,38,0,514,19,366,-10,-1,-1,-1,-1
04-25-2020,922,4,38,0,538,24,346,-20,-1,-1,-1,-1
04-26-2020,939,17,38,0,556,18,345,-1,-1,-1,-1,-1
04-27-2020,949,10,38,0,579,23,332,-13,-1,-1,-1,-1
04-28-2020,967,18,39,1,600,21,328,-4,-1,-1,-1,-1
04-29-2020,975,8,40,1,621,21,314,-14,-1,-1,-1,-1
04-30-2020,980,5,40,0,657,36,283,-31,-1,-1,-1,-1
05-01-2020,994,14,41,1,696,39,257,-26,-1,-1,-1,-1
05-02-2020,998,4,41,0,731,35,226,-31,-1,-1,-1,-1
05-03-2020,1009,11,42,1,740,9,227,1,-1,-1,-1,-1
05-04-2020,1013,4,42,0,754,14,217,-10,-1,-1,-1,-1
05-05-2020,1018,5,43,1,762,8,213,-4,-1,-1,-1,-1
05-06-2020,1022,4,43,0,782,20,197,-16,-1,-1,-1,-1
05-07-2020,1025,3,43,0,789,7,193,-4,-1,-1,-1,-1
05-08-2020,1026,1,44,1,800,11,182,-11,-1,-1,-1,-1
05-09-2020,1030,4,45,1,807,7,178,-4,-1,-1,-1,-1
05-10-2020,1032,2,45,0,825,18,162,-16,-1,-1,-1,-1
05-11-2020,1032,0,45,0,838,13,149,-13,-1,-1,-1,-1
05-12-2020,1032,0,45,0,858,20,129,-20,-1,-1,-1,-1
05-13-2020,1032,0,45,0,869,11,118,-11,-1,-1,-1,-1
05-14-2020,1032,0,45,0,880,11,107,-11,-1,-1,-1,-1
05-15-2020,1032,0,45,0,899,19,88,-19,-1,-1,-1,-1
05-16-2020,1035,3,45,0,909,10,81,-7,-1,-1,-1,-1
05-17-2020,1037,2,45,0,921,12,71,-10,-1,-1,-1,-1
05-18-2020,1037,0,45,0,927,6,65,-6,-1,-1,-1,-1
05-19-2020,1043,6,46,1,932,5,65,0,-1,-1,-1,-1
05-20-2020,1044,1,47,1,938,6,59,-6,-1,-1,-1,-1
05-21-2020,1045,1,47,0,941,3,57,-2,-1,-1,-1,-1
05-22-2020,1046,1,47,0,944,3,55,-2,-1,-1,-1,-1
05-23-2020,1048,2,47,0,949,5,52,-3,-1,-1,-1,-1
05-24-2020,1048,0,48,1,953,4,47,-5,-1,-1,-1,-1
05-25-2020,1051,3,48,0,956,3,47,0,-1,-1,-1,-1
05-26-2020,1051,0,48,0,959,3,44,-3,-1,-1,-1,-1
05-27-2020,1051,0,48,0,961,2,42,-2,-1,-1,-1,-1
05-28-2020,1051,0,48,0,964,3,39,-3,-1,-1,-1,-1
05-29-2020,1068,17,48,0,968,4,52,13,-1,-1,-1,-1
05-30-2020,1071,3,48,0,973,5,50,-2,-1,-1,-1,-1
05-31-2020,1076,5,48,0,976,3,52,2,-1,-1,-1,-1
06-01-2020,1077,1,48,0,977,1,52,0,-1,-1,-1,-1
06-02-2020,1084,7,48,0,983,6,53,1,-1,-1,-1,-1
