date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-31-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
02-01-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-02-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-03-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-04-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-05-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-06-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
02-07-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
02-08-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
02-09-2020,4,1,0,0,0,0,4,1,-1,-1,-1,-1
02-10-2020,8,4,0,0,0,0,8,4,-1,-1,-1,-1
02-11-2020,8,0,0,0,0,0,8,0,-1,-1,-1,-1
02-12-2020,9,1,0,0,0,0,9,1,-1,-1,-1,-1
02-13-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
02-14-2020,9,0,0,0,1,1,8,-1,-1,-1,-1,-1
02-15-2020,9,0,0,0,1,0,8,0,-1,-1,-1,-1
02-16-2020,9,0,0,0,1,0,8,0,-1,-1,-1,-1
02-17-2020,9,0,0,0,1,0,8,0,-1,-1,-1,-1
02-18-2020,9,0,0,0,1,0,8,0,-1,-1,-1,-1
02-19-2020,9,0,0,0,1,0,8,0,-1,-1,-1,-1
02-20-2020,9,0,0,0,2,1,7,-1,-1,-1,-1,-1
02-21-2020,9,0,0,0,2,0,7,0,-1,-1,-1,-1
02-22-2020,9,0,0,0,2,0,7,0,-1,-1,-1,-1
02-23-2020,13,4,0,0,3,1,10,3,-1,-1,-1,-1
02-24-2020,13,0,0,0,6,3,7,-3,-1,-1,-1,-1
02-25-2020,13,0,0,0,6,0,7,0,-1,-1,-1,-1
02-26-2020,13,0,0,0,7,1,6,-1,-1,-1,-1,-1
02-27-2020,16,3,0,0,7,0,9,3,-1,-1,-1,-1
02-28-2020,20,4,0,0,7,0,13,4,-1,-1,-1,-1
02-29-2020,23,3,0,0,7,0,16,3,-1,-1,-1,-1
