date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-14-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-15-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-16-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-17-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-18-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-19-2020,3,1,0,0,0,0,3,1,0,0,3,1
03-20-2020,3,0,0,0,0,0,3,0,0,0,3,0
03-21-2020,6,3,0,0,0,0,6,3,0,0,6,3
03-22-2020,6,0,0,0,0,0,6,0,0,0,6,0
03-23-2020,17,11,0,0,0,0,17,11,0,0,17,11
03-24-2020,17,0,0,0,0,0,17,0,0,0,17,0
03-25-2020,17,0,0,0,0,0,17,0,0,0,17,0
03-26-2020,17,0,0,0,0,0,17,0,0,0,17,0
03-27-2020,19,2,0,0,0,0,19,2,0,0,19,2
03-28-2020,22,3,0,0,0,0,22,3,0,0,22,3
03-29-2020,23,1,0,0,0,0,23,1,0,0,23,1
03-30-2020,30,7,0,0,0,0,30,7,0,0,30,7
03-31-2020,30,0,0,0,1,1,29,-1,0,0,30,0
04-01-2020,30,0,0,0,1,0,29,0,0,0,30,0
04-02-2020,37,7,0,0,2,1,35,6,0,0,37,7
04-03-2020,38,1,0,0,2,0,36,1,0,0,38,1
04-04-2020,42,4,0,0,4,2,38,2,0,0,42,4
04-05-2020,42,0,1,1,3,-1,38,0,0,0,41,-1
04-06-2020,43,1,1,0,12,9,30,-8,0,0,42,1
04-07-2020,45,2,1,0,36,24,8,-22,36,36,8,-34
04-08-2020,45,0,1,0,36,0,8,0,36,0,8,0
04-09-2020,50,5,1,0,43,7,6,-2,43,7,6,-2
04-10-2020,50,0,1,0,43,0,6,0,43,0,6,0
04-11-2020,51,1,1,0,43,0,7,1,43,0,7,1
04-12-2020,51,0,1,0,43,0,7,0,43,0,7,0
04-13-2020,51,0,1,0,43,0,7,0,43,0,7,0
04-14-2020,51,0,1,0,43,0,7,0,43,0,7,0
04-15-2020,51,0,1,0,43,0,7,0,43,0,7,0
04-16-2020,51,0,1,0,43,0,7,0,43,0,7,0
04-17-2020,51,0,2,1,43,0,6,-1,43,0,6,-1
04-18-2020,53,2,3,1,46,3,4,-2,46,3,4,-2
04-19-2020,53,0,3,0,46,0,4,0,46,0,4,0
04-20-2020,53,0,3,0,46,0,4,0,46,0,4,0
04-21-2020,53,0,3,0,46,0,4,0,46,0,4,0
04-22-2020,54,1,3,0,48,2,3,-1,48,2,3,-1
04-23-2020,54,0,3,0,48,0,3,0,48,0,3,0
04-24-2020,54,0,3,0,48,0,3,0,48,0,3,0
04-25-2020,55,1,3,0,50,2,2,-1,50,2,2,-1
04-26-2020,57,2,4,1,51,1,2,0,51,1,2,0
04-27-2020,57,0,4,0,51,0,2,0,51,0,2,0
04-28-2020,57,0,4,0,51,0,2,0,51,0,2,0
04-29-2020,57,0,4,0,51,0,2,0,51,0,2,0
04-30-2020,66,9,4,0,51,0,11,9,51,0,11,9
05-01-2020,66,0,4,0,51,0,11,0,51,0,11,0
05-02-2020,66,0,4,0,51,0,11,0,51,0,11,0
05-03-2020,66,0,4,0,51,0,11,0,51,0,11,0
05-04-2020,66,0,4,0,51,0,11,0,51,0,11,0
05-05-2020,66,0,4,0,51,0,11,0,51,0,11,0
05-06-2020,66,0,4,0,51,0,11,0,51,0,11,0
05-07-2020,66,0,4,0,54,3,8,-3,54,3,8,-3
05-08-2020,68,2,4,0,57,3,7,-1,57,3,7,-1
05-09-2020,68,0,4,0,57,0,7,0,57,0,7,0
05-10-2020,69,1,4,0,59,2,6,-1,59,2,6,-1
05-11-2020,69,0,5,1,60,1,4,-2,60,1,4,-2
05-12-2020,69,0,6,1,60,0,3,-1,60,0,3,-1
05-13-2020,69,0,6,0,61,1,2,-1,61,1,2,-1
05-14-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-15-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-16-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-17-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-18-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-19-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-20-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-21-2020,69,0,6,0,61,0,2,0,61,0,2,0
05-22-2020,69,0,6,0,61,0,2,0,61,0,2,0
