date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
04-08-2020,3146,3146,8,8,224,224,2914,2914,224,224,2914,2914
04-09-2020,3160,14,8,0,224,0,2928,14,224,0,2928,14
04-10-2020,3366,206,13,5,299,75,3054,126,299,75,3054,126
04-11-2020,3366,0,13,0,299,0,3054,0,299,0,3054,0
04-12-2020,3509,143,13,0,351,52,3145,91,351,52,3145,91
04-13-2020,4528,1019,15,2,588,237,3925,780,588,237,3925,780
04-14-2020,4769,241,16,1,626,38,4127,202,626,38,4127,202
04-15-2020,4769,0,17,1,648,22,4104,-23,648,22,4104,-23
04-16-2020,4769,0,19,2,957,309,3793,-311,957,309,3793,-311
04-17-2020,4849,80,19,0,1059,102,3771,-22,1059,102,3771,-22
04-18-2020,4849,0,19,0,1110,51,3720,-51,1110,51,3720,-51
04-19-2020,4849,0,19,0,1110,0,3720,0,1110,0,3720,0
04-20-2020,5335,486,22,3,1332,222,3981,261,1332,222,3981,261
04-21-2020,5335,0,22,0,1483,151,3830,-151,1483,151,3830,-151
04-22-2020,5734,399,25,3,2523,1040,3186,-644,1595,112,4114,284
04-23-2020,5901,167,25,0,2534,11,3342,156,1710,115,4166,52
04-24-2020,6213,312,26,1,2700,166,3487,145,1947,237,4240,74
04-25-2020,6213,0,26,0,2700,0,3487,0,1947,0,4240,0
04-26-2020,6213,0,26,0,2816,116,3371,-116,1947,0,4240,0
04-27-2020,6213,0,26,0,3641,825,2546,-825,1947,0,4240,0
04-28-2020,6213,0,26,0,3836,195,2351,-195,1947,0,4240,0
04-29-2020,6213,0,26,0,3836,0,2351,0,1947,0,4240,0
04-30-2020,6962,749,27,1,3835,-1,3100,749,2263,316,4672,432
05-01-2020,6962,0,27,0,3900,65,3035,-65,2263,0,4672,0
05-02-2020,6962,0,27,0,3900,0,3035,0,2263,0,4672,0
05-03-2020,6962,0,27,0,3900,0,3035,0,2263,0,4672,0
05-04-2020,6962,0,27,0,4294,394,2641,-394,2263,0,4672,0
05-05-2020,7526,564,27,0,4294,0,3205,564,2937,674,4562,-110
05-06-2020,7604,78,27,0,5057,763,2520,-685,2995,58,4582,20
05-07-2020,7702,98,27,0,5195,138,2480,-40,3061,66,4614,32
05-08-2020,7826,124,27,0,5476,281,2323,-157,3156,95,4643,29
05-09-2020,7826,0,27,0,5476,0,2323,0,3156,0,4643,0
05-10-2020,7826,0,27,0,5496,20,2303,-20,3156,0,4643,0
05-11-2020,8046,220,27,0,5639,143,2380,77,3464,308,4555,-88
05-12-2020,8130,84,27,0,5673,34,2430,50,3525,61,4578,23
05-13-2020,8210,80,27,0,5673,0,2510,80,3682,157,4501,-77
05-14-2020,8297,87,27,0,6279,606,1991,-519,3832,150,4438,-63
05-15-2020,8374,77,27,0,6291,12,2056,65,3950,118,4397,-41
05-16-2020,8374,0,27,0,6291,0,2056,0,3950,0,4397,0
05-17-2020,8374,0,27,0,6291,0,2056,0,3950,0,4397,0
05-18-2020,8636,262,28,1,6358,67,2250,194,4342,392,4266,-131
05-19-2020,8697,61,28,0,6814,456,1855,-395,4398,56,4271,5
05-20-2020,8764,67,29,1,7090,276,1645,-210,4507,109,4228,-43
05-21-2020,8859,95,30,1,7192,102,1637,-8,4611,104,4218,-10
05-22-2020,8950,91,32,2,7345,153,1573,-64,4613,2,4305,87
05-23-2020,8950,0,32,0,7345,0,1573,0,4613,0,4305,0
05-24-2020,8950,0,32,0,7352,7,1566,-7,4613,0,4305,0
05-25-2020,8950,0,32,0,7581,229,1337,-229,4613,0,4305,0
05-26-2020,9173,223,35,3,7658,77,1480,143,5114,501,4024,-281
05-27-2020,9276,103,35,0,7723,65,1518,38,5161,47,4080,56
05-28-2020,9352,76,36,1,7897,174,1419,-99,5216,55,4100,20
05-29-2020,9449,97,36,0,7964,67,1449,30,5316,100,4097,-3
05-30-2020,9449,0,36,0,7964,0,1449,0,5316,0,4097,0
