date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-08-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-09-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-10-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-11-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-12-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-13-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-14-2020,5,3,0,0,0,0,5,3,0,0,5,3
03-15-2020,8,3,0,0,0,0,8,3,0,0,8,3
03-16-2020,12,4,0,0,0,0,12,4,0,0,12,4
03-17-2020,17,5,0,0,0,0,17,5,0,0,17,5
03-18-2020,19,2,0,0,0,0,19,2,0,0,19,2
03-19-2020,22,3,2,2,0,0,20,1,0,0,20,1
03-20-2020,29,7,2,0,0,0,27,7,0,0,27,7
03-21-2020,49,20,2,0,0,0,47,20,0,0,47,20
03-22-2020,52,3,2,0,0,0,50,3,0,0,50,3
03-23-2020,75,23,5,3,0,0,70,20,0,0,70,20
03-24-2020,95,20,7,2,0,0,88,18,0,0,88,18
03-25-2020,125,30,8,1,0,0,117,29,0,0,117,29
03-26-2020,158,33,9,1,0,0,149,32,0,0,149,32
03-27-2020,184,26,10,1,0,0,174,25,0,0,174,25
03-28-2020,211,27,12,2,0,0,199,25,0,0,199,25
03-29-2020,235,24,12,0,0,0,223,24,0,0,223,24
03-30-2020,256,21,12,0,0,0,244,21,0,0,244,21
03-31-2020,293,37,13,1,0,0,280,36,0,0,280,36
04-01-2020,321,28,16,3,0,0,305,25,0,0,305,25
04-02-2020,338,17,17,1,0,0,321,16,0,0,321,16
04-03-2020,389,51,17,0,6,6,366,45,0,0,372,51
04-04-2020,461,72,20,3,19,13,422,56,0,0,441,69
04-05-2020,512,51,22,2,20,1,470,48,0,0,490,49
04-06-2020,543,31,23,1,37,17,483,13,0,0,520,30
04-07-2020,575,32,23,0,54,17,498,15,0,0,552,32
04-08-2020,605,30,23,0,78,24,504,6,0,0,582,30
04-09-2020,628,23,23,0,105,27,500,-4,0,0,605,23
04-10-2020,679,51,24,1,125,20,530,30,0,0,655,50
04-11-2020,711,32,25,1,146,21,540,10,0,0,686,31
04-12-2020,727,16,27,2,164,18,536,-4,0,0,700,14
04-13-2020,748,21,28,1,181,17,539,3,0,0,720,20
04-14-2020,748,0,29,1,210,29,509,-30,0,0,719,-1
04-15-2020,759,11,30,1,232,22,497,-12,0,0,729,10
04-16-2020,768,9,35,5,241,9,492,-5,0,0,733,4
04-17-2020,779,11,35,0,284,43,460,-32,0,0,744,11
04-18-2020,803,24,38,3,342,58,423,-37,0,0,765,21
04-19-2020,813,10,38,0,384,42,391,-32,0,0,775,10
04-20-2020,816,3,38,0,412,28,366,-25,0,0,778,3
04-21-2020,818,2,40,2,439,27,339,-27,0,0,778,0
04-22-2020,823,5,40,0,467,28,316,-23,0,0,783,5
04-23-2020,825,2,43,3,487,20,295,-21,0,0,782,-1
04-24-2020,827,2,44,1,531,44,252,-43,0,0,783,1
04-25-2020,843,16,46,2,559,28,238,-14,0,0,797,14
04-26-2020,851,8,46,0,576,17,229,-9,0,0,805,8
04-27-2020,855,4,47,1,595,19,213,-16,0,0,808,3
04-28-2020,862,7,47,0,600,5,215,2,0,0,815,7
04-29-2020,862,0,47,0,613,13,202,-13,0,0,815,0
04-30-2020,866,4,49,2,621,8,196,-6,0,0,817,2
05-01-2020,879,13,50,1,636,15,193,-3,0,0,829,12
05-02-2020,886,7,51,1,666,30,169,-24,0,0,835,6
05-03-2020,897,11,53,2,679,13,165,-4,0,0,844,9
05-04-2020,902,5,52,-1,688,9,162,-3,0,0,850,6
05-05-2020,907,5,52,0,695,7,160,-2,0,0,855,5
05-06-2020,908,1,52,0,705,10,151,-9,0,0,856,1
05-07-2020,916,8,53,1,711,6,152,1,0,0,863,7
05-08-2020,919,3,53,0,737,26,129,-23,737,737,129,-734
05-09-2020,921,2,53,0,739,2,129,0,737,0,131,2
05-10-2020,927,6,53,0,777,38,97,-32,777,40,97,-34
05-11-2020,927,0,53,0,777,0,97,0,777,0,97,0
05-12-2020,927,0,53,0,787,10,87,-10,787,10,87,-10
05-13-2020,929,2,53,0,789,2,87,0,789,2,87,0
05-14-2020,932,3,53,0,789,0,90,3,789,0,90,3
05-15-2020,933,1,53,0,796,7,84,-6,796,7,84,-6
05-16-2020,934,1,53,0,800,4,81,-3,796,0,85,1
05-17-2020,940,6,54,1,811,11,75,-6,796,0,90,5
05-18-2020,940,0,54,0,818,7,68,-7,796,0,90,0
05-19-2020,944,4,54,0,823,5,67,-1,796,0,94,4
05-20-2020,944,0,54,0,826,3,64,-3,796,0,94,0
05-21-2020,950,6,54,0,834,8,62,-2,796,0,100,6
05-22-2020,952,2,54,0,840,6,58,-4,796,0,102,2
05-23-2020,954,2,54,0,845,5,55,-3,796,0,104,2
05-24-2020,956,2,54,0,852,7,50,-5,796,0,106,2
05-25-2020,962,6,54,0,853,1,55,5,843,47,65,-41
05-26-2020,967,5,54,0,854,1,59,4,843,0,70,5
05-27-2020,971,4,54,0,857,3,60,1,843,0,74,4
