date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-24-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
01-25-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
01-26-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
01-27-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
01-28-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
01-29-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
01-30-2020,5,3,0,0,0,0,5,3,-1,-1,-1,-1
01-31-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
02-01-2020,6,1,0,0,0,0,6,1,-1,-1,-1,-1
02-02-2020,7,1,0,0,0,0,7,1,-1,-1,-1,-1
02-03-2020,8,1,0,0,0,0,8,1,-1,-1,-1,-1
02-04-2020,10,2,0,0,0,0,10,2,-1,-1,-1,-1
02-05-2020,10,0,0,0,0,0,10,0,-1,-1,-1,-1
02-06-2020,12,2,0,0,0,0,12,2,-1,-1,-1,-1
02-07-2020,12,0,0,0,1,1,11,-1,-1,-1,-1,-1
02-08-2020,13,1,0,0,1,0,12,1,-1,-1,-1,-1
02-09-2020,14,1,0,0,1,0,13,1,-1,-1,-1,-1
02-10-2020,14,0,0,0,1,0,13,0,-1,-1,-1,-1
02-11-2020,15,1,0,0,1,0,14,1,-1,-1,-1,-1
02-12-2020,15,0,0,0,1,0,14,0,-1,-1,-1,-1
02-13-2020,16,1,0,0,4,3,12,-2,-1,-1,-1,-1
02-14-2020,16,0,0,0,4,0,12,0,-1,-1,-1,-1
02-15-2020,16,0,0,0,4,0,12,0,-1,-1,-1,-1
02-16-2020,16,0,0,0,5,1,11,-1,-1,-1,-1,-1
02-17-2020,16,0,0,0,6,1,10,-1,-1,-1,-1,-1
02-18-2020,16,0,0,0,8,2,8,-2,-1,-1,-1,-1
02-19-2020,16,0,0,0,8,0,8,0,-1,-1,-1,-1
02-20-2020,16,0,0,0,9,1,7,-1,-1,-1,-1,-1
02-21-2020,16,0,0,0,10,1,6,-1,-1,-1,-1,-1
02-22-2020,16,0,0,0,10,0,6,0,-1,-1,-1,-1
02-23-2020,16,0,0,0,11,1,5,-1,-1,-1,-1,-1
02-24-2020,16,0,0,0,11,0,5,0,-1,-1,-1,-1
02-25-2020,16,0,0,0,12,1,4,-1,-1,-1,-1,-1
02-26-2020,16,0,0,0,12,0,4,0,-1,-1,-1,-1
02-27-2020,16,0,0,0,13,1,3,-1,-1,-1,-1,-1
02-28-2020,16,0,0,0,13,0,3,0,-1,-1,-1,-1
02-29-2020,16,0,0,0,13,0,3,0,-1,-1,-1,-1
