date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-18-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-19-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-20-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-21-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-22-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-23-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-24-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-25-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-26-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-27-2020,13,10,0,0,0,0,13,10,-1,-1,-1,-1
03-28-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-29-2020,16,3,0,0,0,0,16,3,-1,-1,-1,-1
03-30-2020,35,19,0,0,0,0,35,19,-1,-1,-1,-1
03-31-2020,35,0,0,0,0,0,35,0,-1,-1,-1,-1
04-01-2020,35,0,0,0,1,1,34,-1,-1,-1,-1,-1
04-02-2020,36,1,0,0,1,0,35,1,-1,-1,-1,-1
04-03-2020,39,3,1,1,0,-1,38,3,-1,-1,-1,-1
04-04-2020,39,0,1,0,0,0,38,0,-1,-1,-1,-1
04-05-2020,39,0,1,0,0,0,38,0,-1,-1,-1,-1
04-06-2020,39,0,1,0,1,1,37,-1,-1,-1,-1,-1
04-07-2020,39,0,1,0,1,0,37,0,-1,-1,-1,-1
04-08-2020,39,0,1,0,1,0,37,0,-1,-1,-1,-1
04-09-2020,39,0,1,0,1,0,37,0,-1,-1,-1,-1
04-10-2020,39,0,1,0,9,8,29,-8,-1,-1,-1,-1
04-11-2020,40,1,2,1,8,-1,30,1,-1,-1,-1,-1
04-12-2020,40,0,2,0,10,2,28,-2,-1,-1,-1,-1
04-13-2020,43,3,2,0,26,16,15,-13,-1,-1,-1,-1
04-14-2020,45,2,2,0,26,0,17,2,-1,-1,-1,-1
04-15-2020,45,0,2,0,26,0,17,0,-1,-1,-1,-1
04-16-2020,48,3,2,0,27,1,19,2,-1,-1,-1,-1
04-17-2020,48,0,2,0,29,2,17,-2,-1,-1,-1,-1
04-18-2020,52,4,2,0,29,0,21,4,-1,-1,-1,-1
04-19-2020,57,5,2,0,29,0,26,5,-1,-1,-1,-1
04-20-2020,61,4,3,1,29,0,29,3,-1,-1,-1,-1
04-21-2020,65,4,3,0,29,0,33,4,-1,-1,-1,-1
04-22-2020,70,5,3,0,29,0,38,5,-1,-1,-1,-1
04-23-2020,74,4,3,0,29,0,42,4,-1,-1,-1,-1
04-24-2020,76,2,3,0,30,1,43,1,-1,-1,-1,-1
04-25-2020,84,8,3,0,31,1,50,7,-1,-1,-1,-1
04-26-2020,84,0,3,0,31,0,50,0,-1,-1,-1,-1
04-27-2020,88,4,3,0,36,5,49,-1,-1,-1,-1,-1
04-28-2020,89,1,3,0,38,2,48,-1,-1,-1,-1,-1
04-29-2020,95,6,3,0,38,0,54,6,-1,-1,-1,-1
04-30-2020,97,2,3,0,41,3,53,-1,-1,-1,-1,-1
05-01-2020,106,9,3,0,41,0,62,9,-1,-1,-1,-1
05-02-2020,109,3,3,0,44,3,62,0,-1,-1,-1,-1
05-03-2020,119,10,3,0,48,4,68,6,-1,-1,-1,-1
05-04-2020,124,5,3,0,52,4,69,1,-1,-1,-1,-1
05-05-2020,137,13,3,0,55,3,79,10,-1,-1,-1,-1
05-06-2020,137,0,4,1,58,3,75,-4,-1,-1,-1,-1
05-07-2020,139,2,4,0,61,3,74,-1,-1,-1,-1,-1
05-08-2020,153,14,4,0,63,2,86,12,-1,-1,-1,-1
05-09-2020,167,14,4,0,70,7,93,7,-1,-1,-1,-1
05-10-2020,252,85,4,0,70,0,178,85,-1,-1,-1,-1
05-11-2020,267,15,7,3,72,2,188,10,-1,-1,-1,-1
05-12-2020,267,0,7,0,73,1,187,-1,-1,-1,-1,-1
05-13-2020,441,174,7,0,78,5,356,169,-1,-1,-1,-1
05-14-2020,446,5,7,0,80,2,359,3,-1,-1,-1,-1
05-15-2020,654,208,7,0,87,7,560,201,-1,-1,-1,-1
05-16-2020,668,14,7,0,90,3,571,11,-1,-1,-1,-1
05-17-2020,679,11,7,0,99,9,573,2,-1,-1,-1,-1
05-18-2020,753,74,7,0,103,4,643,70,-1,-1,-1,-1
05-19-2020,761,8,7,0,115,12,639,-4,-1,-1,-1,-1
