Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Autauga,Alabama,233,12,5,1,101,8,127,3,2020-06-02 00:00:00,01001,0,0,228,11
Baldwin,Alabama,292,2,9,0,233,5,50,-3,2020-06-02 00:00:00,01003,0,0,283,2
Barbour,Alabama,170,3,1,0,75,4,94,-1,2020-06-02 00:00:00,01005,0,0,169,3
Bibb,Alabama,76,1,1,0,46,0,29,1,2020-06-02 00:00:00,01007,0,0,75,1
Blount,Alabama,63,1,1,0,43,1,19,0,2020-06-02 00:00:00,01009,0,0,62,1
Bullock,Alabama,209,0,6,1,29,4,174,-5,2020-06-02 00:00:00,01011,0,0,203,-1
Butler,Alabama,414,3,18,0,229,12,167,-9,2020-06-02 00:00:00,01013,0,0,396,3
Calhoun,Alabama,164,4,3,0,123,3,38,1,2020-06-02 00:00:00,01015,0,0,161,4
Chambers,Alabama,356,1,25,0,295,1,36,0,2020-06-02 00:00:00,01017,0,0,331,1
Cherokee,Alabama,38,1,3,0,22,1,13,0,2020-06-02 00:00:00,01019,0,0,35,1
Chilton,Alabama,103,2,1,0,73,2,29,0,2020-06-02 00:00:00,01021,0,0,102,2
Choctaw,Alabama,153,0,10,2,66,-1,77,-1,2020-06-02 00:00:00,01023,0,0,143,-2
Clarke,Alabama,146,2,2,0,65,0,79,2,2020-06-02 00:00:00,01025,0,0,144,2
Clay,Alabama,28,1,2,0,23,0,3,1,2020-06-02 00:00:00,01027,0,0,26,1
Cleburne,Alabama,15,0,1,0,11,0,3,0,2020-06-02 00:00:00,01029,0,0,14,0
Coffee,Alabama,238,2,1,0,159,5,78,-3,2020-06-02 00:00:00,01031,0,0,237,2
Colbert,Alabama,185,1,2,0,79,1,104,0,2020-06-02 00:00:00,01033,0,0,183,1
Conecuh,Alabama,41,0,1,0,16,1,24,-1,2020-06-02 00:00:00,01035,0,0,40,0
Coosa,Alabama,40,0,1,0,31,0,8,0,2020-06-02 00:00:00,01037,0,0,39,0
Covington,Alabama,81,1,1,0,53,1,27,0,2020-06-02 00:00:00,01039,0,0,80,1
Crenshaw,Alabama,75,0,3,0,43,0,29,0,2020-06-02 00:00:00,01041,0,0,72,0
Cullman,Alabama,146,3,1,1,65,-1,80,3,2020-06-02 00:00:00,01043,0,0,145,2
Dale,Alabama,118,3,0,0,55,1,63,2,2020-06-02 00:00:00,01045,0,0,118,3
Dallas,Alabama,277,5,3,0,129,5,145,0,2020-06-02 00:00:00,01047,0,0,274,5
DeKalb,Alabama,249,1,3,0,169,4,77,-3,2020-06-02 00:00:00,01049,0,0,246,1
Elmore,Alabama,360,6,8,0,170,5,182,1,2020-06-02 00:00:00,01051,0,0,352,6
Escambia,Alabama,71,8,3,0,33,0,35,8,2020-06-02 00:00:00,01053,0,0,68,8
Etowah,Alabama,259,2,12,1,180,1,67,0,2020-06-02 00:00:00,01055,0,0,247,1
Fayette,Alabama,16,0,0,0,8,0,8,0,2020-06-02 00:00:00,01057,0,0,16,0
Franklin,Alabama,560,4,8,1,290,8,262,-5,2020-06-02 00:00:00,01059,0,0,552,3
Geneva,Alabama,43,0,0,0,19,2,24,-2,2020-06-02 00:00:00,01061,0,0,43,0
Greene,Alabama,94,0,4,0,75,4,15,-4,2020-06-02 00:00:00,01063,0,0,90,0
Hale,Alabama,173,0,9,0,74,6,90,-6,2020-06-02 00:00:00,01065,0,0,164,0
Henry,Alabama,80,0,2,0,35,1,43,-1,2020-06-02 00:00:00,01067,0,0,78,0
Houston,Alabama,221,1,4,0,124,5,93,-4,2020-06-02 00:00:00,01069,0,0,217,1
Jackson,Alabama,79,1,2,0,57,0,20,1,2020-06-02 00:00:00,01071,0,0,77,1
Jefferson,Alabama,1855,18,103,1,1167,20,585,-3,2020-06-02 00:00:00,01073,0,0,1752,17
Lamar,Alabama,26,0,0,0,14,0,12,0,2020-06-02 00:00:00,01075,0,0,26,0
Lauderdale,Alabama,164,0,2,0,101,2,61,-2,2020-06-02 00:00:00,01077,0,0,162,0
Lawrence,Alabama,50,0,0,0,29,4,21,-4,2020-06-02 00:00:00,01079,0,0,50,0
Lee,Alabama,550,2,33,0,403,1,114,1,2020-06-02 00:00:00,01081,0,0,517,2
Limestone,Alabama,108,2,0,0,61,1,47,1,2020-06-02 00:00:00,01083,0,0,108,2
Lowndes,Alabama,251,5,12,0,107,4,132,1,2020-06-02 00:00:00,01085,0,0,239,5
Macon,Alabama,85,3,4,0,46,0,35,3,2020-06-02 00:00:00,01087,0,0,81,3
Madison,Alabama,342,3,4,0,264,3,74,0,2020-06-02 00:00:00,01089,0,0,338,3
Marengo,Alabama,171,1,6,0,88,2,77,-1,2020-06-02 00:00:00,01091,0,0,165,1
Marion,Alabama,122,0,11,0,87,2,24,-2,2020-06-02 00:00:00,01093,0,0,111,0
Marshall,Alabama,697,4,9,0,560,9,128,-5,2020-06-02 00:00:00,01095,0,0,688,4
Mobile,Alabama,2243,4,118,2,1492,30,633,-28,2020-06-02 00:00:00,01097,0,0,2125,2
Monroe,Alabama,43,3,2,0,16,0,25,3,2020-06-02 00:00:00,01099,0,0,41,3
Montgomery,Alabama,1747,37,43,3,728,33,976,1,2020-06-02 00:00:00,01101,0,0,1704,34
Morgan,Alabama,287,7,1,0,106,5,180,2,2020-06-02 00:00:00,01103,0,0,286,7
Perry,Alabama,42,3,0,0,19,1,23,2,2020-06-02 00:00:00,01105,0,0,42,3
Pickens,Alabama,118,2,4,0,72,4,42,-2,2020-06-02 00:00:00,01107,0,0,114,2
Pike,Alabama,205,2,0,0,99,1,106,1,2020-06-02 00:00:00,01109,0,0,205,2
Randolph,Alabama,127,0,7,0,104,1,16,-1,2020-06-02 00:00:00,01111,0,0,120,0
Russell,Alabama,173,2,0,0,96,5,77,-3,2020-06-02 00:00:00,01113,0,0,173,2
Shelby,Alabama,519,2,20,0,366,4,133,-2,2020-06-02 00:00:00,01117,0,0,499,2
St. Clair,Alabama,126,3,1,0,86,1,39,2,2020-06-02 00:00:00,01115,0,0,125,3
Sumter,Alabama,224,0,7,0,116,8,101,-8,2020-06-02 00:00:00,01119,0,0,217,0
Talladega,Alabama,116,3,5,0,71,2,40,1,2020-06-02 00:00:00,01121,0,0,111,3
Tallapoosa,Alabama,427,0,65,0,282,7,80,-7,2020-06-02 00:00:00,01123,0,0,362,0
Tuscaloosa,Alabama,792,9,16,1,322,20,454,-12,2020-06-02 00:00:00,01125,0,0,776,8
Walker,Alabama,363,9,2,0,129,11,232,-2,2020-06-02 00:00:00,01127,0,0,361,9
Washington,Alabama,71,1,6,0,49,1,16,0,2020-06-02 00:00:00,01129,0,0,65,1
Wilcox,Alabama,150,2,7,0,82,1,61,1,2020-06-02 00:00:00,01131,0,0,143,2
Winston,Alabama,90,0,1,0,33,4,56,-4,2020-06-02 00:00:00,01133,0,0,89,0
unknown,Alabama,288,280,3,0,285,280,0,0,2020-06-02 00:00:00,,9355,0,-9070,280
Anchorage,Alaska,232,3,4,0,196,5,32,-2,2020-06-02 00:00:00,02020,187,0,41,3
Bethel,Alaska,3,0,0,0,1,0,2,0,2020-06-02 00:00:00,02050,1,0,2,0
Bristol Bay plus Lake Peninsula,Alaska,1,0,0,0,0,0,1,0,2020-06-02 00:00:00,,0,0,1,0
Fairbanks North Star,Alaska,85,0,2,0,83,0,0,0,2020-06-02 00:00:00,02090,83,0,0,0
Juneau,Alaska,33,0,0,0,29,1,4,-1,2020-06-02 00:00:00,02110,28,0,5,0
Kenai Peninsula,Alaska,49,4,2,0,23,1,24,3,2020-06-02 00:00:00,02122,22,0,25,4
Ketchikan Gateway,Alaska,16,0,0,0,16,0,0,0,2020-06-02 00:00:00,02130,16,0,0,0
Kodiak Island,Alaska,1,0,0,0,1,0,0,0,2020-06-02 00:00:00,02150,1,0,0,0
Matanuska-Susitna,Alaska,29,0,1,0,20,1,8,-1,2020-06-02 00:00:00,02170,19,0,9,0
Nome,Alaska,3,0,0,0,1,0,2,0,2020-06-02 00:00:00,02180,1,0,2,0
North Slope,Alaska,1,0,0,0,0,0,1,0,2020-06-02 00:00:00,02185,0,0,1,0
Northwest Arctic,Alaska,2,0,0,0,1,0,1,0,2020-06-02 00:00:00,02188,1,0,1,0
Petersburg,Alaska,4,0,1,0,3,0,0,0,2020-06-02 00:00:00,02195,3,0,0,0
Prince of Wales-Hyder,Alaska,2,0,0,0,2,0,0,0,2020-06-02 00:00:00,02198,2,0,0,0
Sitka,Alaska,2,0,0,0,1,0,1,0,2020-06-02 00:00:00,02220,1,0,1,0
Southeast Fairbanks,Alaska,3,0,0,0,2,0,1,0,2020-06-02 00:00:00,02240,2,0,1,0
Yukon-Koyukuk,Alaska,1,0,0,0,1,0,0,0,2020-06-02 00:00:00,02290,1,0,0,0
unknown,Alaska,8,0,4,0,4,0,0,0,2020-06-02 00:00:00,,66,0,-62,0
Apache,Arizona,1526,2,39,4,848,6,639,-8,2020-06-02 00:00:00,04001,0,0,1487,-2
Cochise,Arizona,76,2,3,0,41,1,32,1,2020-06-02 00:00:00,04003,0,0,73,2
Coconino,Arizona,1155,4,81,0,741,31,333,-27,2020-06-02 00:00:00,04005,0,0,1074,4
Gila,Arizona,31,0,1,0,19,0,11,0,2020-06-02 00:00:00,04007,0,0,30,0
Graham,Arizona,32,0,1,0,17,0,14,0,2020-06-02 00:00:00,04009,0,0,31,0
Greenlee,Arizona,6,0,0,0,2,0,4,0,2020-06-02 00:00:00,04011,0,0,6,0
La Paz,Arizona,79,1,1,0,31,0,47,1,2020-06-02 00:00:00,04012,0,0,78,1
Maricopa,Arizona,9937,122,433,1,6309,106,3195,15,2020-06-02 00:00:00,04013,1,0,9503,121
Mohave,Arizona,403,7,45,1,180,0,178,6,2020-06-02 00:00:00,04015,0,0,358,6
Navajo,Arizona,1873,7,64,4,1112,10,697,-7,2020-06-02 00:00:00,04017,0,0,1809,3
Pima,Arizona,2382,14,185,0,1528,13,669,1,2020-06-02 00:00:00,04019,1,0,2196,14
Pinal,Arizona,865,2,40,1,606,8,219,-7,2020-06-02 00:00:00,04021,1,0,824,1
Santa Cruz,Arizona,330,0,0,0,68,2,262,-2,2020-06-02 00:00:00,04023,0,0,330,0
Yavapai,Arizona,297,0,6,0,226,4,65,-4,2020-06-02 00:00:00,04025,3,0,288,0
Yuma,Arizona,1137,0,16,0,360,57,761,-57,2020-06-02 00:00:00,04027,0,0,1121,0
unknown,Arizona,2,0,34,0,-32,0,0,0,2020-06-02 00:00:00,,0,0,-32,0
Arkansas,Arkansas,7,1,0,0,3,1,4,0,2020-06-02 00:00:00,05001,3,1,4,0
Ashley,Arkansas,19,0,0,0,19,0,0,0,2020-06-02 00:00:00,05003,19,0,0,0
Baxter,Arkansas,12,0,0,0,6,0,6,0,2020-06-02 00:00:00,05005,6,0,6,0
Benton,Arkansas,607,29,2,0,237,20,368,9,2020-06-02 00:00:00,05007,237,20,368,9
Boone,Arkansas,6,0,0,0,4,0,2,0,2020-06-02 00:00:00,05009,4,0,2,0
Bradley,Arkansas,22,0,1,0,14,0,7,0,2020-06-02 00:00:00,05011,14,0,7,0
Carroll,Arkansas,25,1,1,0,7,0,17,1,2020-06-02 00:00:00,05015,7,0,17,1
Chicot,Arkansas,15,0,0,0,12,0,3,0,2020-06-02 00:00:00,05017,12,0,3,0
Clark,Arkansas,39,0,0,0,37,0,2,0,2020-06-02 00:00:00,05019,37,0,2,0
Clay,Arkansas,4,0,0,0,4,0,0,0,2020-06-02 00:00:00,05021,4,0,0,0
Cleburne,Arkansas,74,1,4,0,69,0,1,1,2020-06-02 00:00:00,05023,69,0,1,1
Cleveland,Arkansas,19,0,0,0,18,0,1,0,2020-06-02 00:00:00,05025,18,0,1,0
Columbia,Arkansas,23,0,2,0,16,0,5,0,2020-06-02 00:00:00,05027,16,0,5,0
Conway,Arkansas,14,0,1,0,13,0,0,0,2020-06-02 00:00:00,05029,13,0,0,0
Craighead,Arkansas,228,8,0,0,178,5,50,3,2020-06-02 00:00:00,05031,178,5,50,3
Crawford,Arkansas,30,1,0,0,12,0,18,1,2020-06-02 00:00:00,05033,12,0,18,1
Crittenden,Arkansas,386,6,9,0,253,7,124,-1,2020-06-02 00:00:00,05035,253,7,124,-1
Cross,Arkansas,52,0,0,0,40,2,12,-2,2020-06-02 00:00:00,05037,40,2,12,-2
Dallas,Arkansas,1,0,0,0,1,0,0,0,2020-06-02 00:00:00,05039,1,0,0,0
Desha,Arkansas,19,0,0,0,18,0,1,0,2020-06-02 00:00:00,05041,18,0,1,0
Drew,Arkansas,20,0,1,0,16,0,3,0,2020-06-02 00:00:00,05043,16,0,3,0
Faulkner,Arkansas,102,0,3,0,93,0,6,0,2020-06-02 00:00:00,05045,93,0,6,0
Franklin,Arkansas,4,0,0,0,2,0,2,0,2020-06-02 00:00:00,05047,2,0,2,0
Fulton,Arkansas,7,0,0,0,4,0,3,0,2020-06-02 00:00:00,05049,4,0,3,0
Garland,Arkansas,136,0,1,0,132,0,3,0,2020-06-02 00:00:00,05051,132,0,3,0
Grant,Arkansas,18,0,0,0,17,0,1,0,2020-06-02 00:00:00,05053,17,0,1,0
Greene,Arkansas,64,0,0,0,43,3,21,-3,2020-06-02 00:00:00,05055,43,3,21,-3
Hempstead,Arkansas,18,0,1,0,12,0,5,0,2020-06-02 00:00:00,05057,12,0,5,0
Hot Spring,Arkansas,32,0,0,0,30,0,2,0,2020-06-02 00:00:00,05059,30,0,2,0
Howard,Arkansas,21,0,0,0,18,2,3,-2,2020-06-02 00:00:00,05061,18,2,3,-2
Independence,Arkansas,31,0,0,0,28,1,3,-1,2020-06-02 00:00:00,05063,28,1,3,-1
Izard,Arkansas,16,0,0,0,14,0,2,0,2020-06-02 00:00:00,05065,14,0,2,0
Jackson,Arkansas,3,0,0,0,1,0,2,0,2020-06-02 00:00:00,05067,1,0,2,0
Jefferson,Arkansas,523,2,25,0,462,4,36,-2,2020-06-02 00:00:00,05069,462,4,36,-2
Johnson,Arkansas,48,5,0,0,35,0,13,5,2020-06-02 00:00:00,05071,35,0,13,5
Lafayette,Arkansas,9,0,1,0,8,0,0,0,2020-06-02 00:00:00,05073,8,0,0,0
Lawrence,Arkansas,84,0,5,0,65,0,14,0,2020-06-02 00:00:00,05075,65,0,14,0
Lee,Arkansas,21,1,1,0,14,1,6,0,2020-06-02 00:00:00,05077,14,1,6,0
Lincoln,Arkansas,983,1,9,0,949,0,25,1,2020-06-02 00:00:00,05079,949,0,25,1
Little River,Arkansas,6,0,0,0,4,1,2,-1,2020-06-02 00:00:00,05081,4,1,2,-1
Logan,Arkansas,7,1,0,0,4,0,3,1,2020-06-02 00:00:00,05083,4,0,3,1
Lonoke,Arkansas,49,1,0,0,46,0,3,1,2020-06-02 00:00:00,05085,46,0,3,1
Madison,Arkansas,23,0,0,0,3,0,20,0,2020-06-02 00:00:00,05087,3,0,20,0
Marion,Arkansas,2,0,0,0,1,0,1,0,2020-06-02 00:00:00,05089,1,0,1,0
Miller,Arkansas,45,1,1,0,41,0,3,1,2020-06-02 00:00:00,05091,41,0,3,1
Mississippi,Arkansas,76,1,2,0,64,1,10,0,2020-06-02 00:00:00,05093,64,1,10,0
Monroe,Arkansas,5,0,0,0,5,0,0,0,2020-06-02 00:00:00,05095,5,0,0,0
Montgomery,Arkansas,2,0,0,0,1,0,1,0,2020-06-02 00:00:00,05097,1,0,1,0
Nevada,Arkansas,7,1,0,0,4,0,3,1,2020-06-02 00:00:00,05099,4,0,3,1
Newton,Arkansas,3,0,0,0,3,0,0,0,2020-06-02 00:00:00,05101,3,0,0,0
Ouachita,Arkansas,10,0,0,0,10,0,0,0,2020-06-02 00:00:00,05103,10,0,0,0
Perry,Arkansas,14,0,0,0,14,0,0,0,2020-06-02 00:00:00,05105,14,0,0,0
Phillips,Arkansas,22,1,1,0,8,0,13,1,2020-06-02 00:00:00,05107,8,0,13,1
Pike,Arkansas,5,0,0,0,4,0,1,0,2020-06-02 00:00:00,05109,4,0,1,0
Poinsett,Arkansas,33,0,2,0,27,0,4,0,2020-06-02 00:00:00,05111,27,0,4,0
Polk,Arkansas,21,2,0,0,10,1,11,1,2020-06-02 00:00:00,05113,10,1,11,1
Pope,Arkansas,161,13,1,0,95,3,65,10,2020-06-02 00:00:00,05115,95,3,65,10
Prairie,Arkansas,2,0,0,0,2,0,0,0,2020-06-02 00:00:00,05117,2,0,0,0
Pulaski,Arkansas,903,15,34,0,693,9,176,6,2020-06-02 00:00:00,05119,693,9,176,6
Randolph,Arkansas,26,0,0,0,22,1,4,-1,2020-06-02 00:00:00,05121,22,1,4,-1
Saline,Arkansas,113,1,1,0,89,3,23,-2,2020-06-02 00:00:00,05125,89,3,23,-2
Scott,Arkansas,1,0,0,0,1,0,0,0,2020-06-02 00:00:00,05127,1,0,0,0
Searcy,Arkansas,7,0,0,0,6,0,1,0,2020-06-02 00:00:00,05129,6,0,1,0
Sebastian,Arkansas,43,3,0,0,20,2,23,1,2020-06-02 00:00:00,05131,20,2,23,1
Sevier,Arkansas,225,15,2,0,82,7,141,8,2020-06-02 00:00:00,05133,82,7,141,8
Sharp,Arkansas,46,0,2,0,34,0,10,0,2020-06-02 00:00:00,05135,34,0,10,0
St. Francis,Arkansas,676,4,1,0,612,12,63,-8,2020-06-02 00:00:00,05123,612,12,63,-8
Stone,Arkansas,9,0,0,0,8,0,1,0,2020-06-02 00:00:00,05137,8,0,1,0
Union,Arkansas,173,0,8,0,132,20,33,-20,2020-06-02 00:00:00,05139,132,20,33,-20
Van Buren,Arkansas,28,0,2,0,26,0,0,0,2020-06-02 00:00:00,05141,26,0,0,0
Washington,Arkansas,562,53,7,0,193,13,362,40,2020-06-02 00:00:00,05143,193,13,362,40
White,Arkansas,44,0,1,0,37,0,6,0,2020-06-02 00:00:00,05145,37,0,6,0
Woodruff,Arkansas,1,0,0,0,1,0,0,0,2020-06-02 00:00:00,05147,1,0,0,0
Yell,Arkansas,162,21,1,0,77,6,84,15,2020-06-02 00:00:00,05149,77,6,84,15
unknown,Arkansas,231,0,0,0,222,0,9,0,2020-06-02 00:00:00,,121,0,110,0
Inmates,BOP,5331,30,68,1,3613,8,1650,21,2020-06-02 00:00:00,,3613,8,1650,21
Staff,BOP,616,4,0,0,445,10,171,-6,2020-06-02 00:00:00,,445,10,171,-6
Alameda,California,3470,80,96,0,2202,58,1172,22,2020-06-02 00:00:00,06001,0,0,3374,80
Alpine,California,2,0,0,0,2,0,0,0,2020-06-02 00:00:00,06003,1,0,1,0
Amador,California,10,0,0,0,9,1,1,-1,2020-06-02 00:00:00,06005,8,0,2,0
Butte,California,51,7,0,0,22,2,29,5,2020-06-02 00:00:00,06007,0,0,51,7
Calaveras,California,15,0,0,0,13,0,2,0,2020-06-02 00:00:00,06009,13,0,2,0
Colusa,California,7,2,0,0,3,0,4,2,2020-06-02 00:00:00,06011,0,0,7,2
Contra Costa,California,1468,18,38,1,1196,0,234,17,2020-06-02 00:00:00,06013,1196,0,234,17
Del Norte,California,46,1,0,0,10,3,36,-2,2020-06-02 00:00:00,06015,3,0,43,1
El Dorado,California,96,6,0,0,65,0,31,6,2020-06-02 00:00:00,06017,65,0,31,6
Fresno,California,1743,0,35,0,1099,65,609,-65,2020-06-02 00:00:00,06019,542,0,1166,0
Glenn,California,16,0,0,0,10,2,6,-2,2020-06-02 00:00:00,06021,2,0,14,0
Humboldt,California,101,0,3,0,73,0,25,0,2020-06-02 00:00:00,06023,73,0,25,0
Imperial,California,1751,117,29,2,931,65,791,50,2020-06-02 00:00:00,06025,931,65,791,50
Inyo,California,20,0,1,0,17,0,2,0,2020-06-02 00:00:00,06027,15,0,4,0
Kern,California,2322,72,38,0,1467,0,817,72,2020-06-02 00:00:00,06029,1467,0,817,72
Kings,California,1122,0,5,0,358,15,759,-15,2020-06-02 00:00:00,06031,304,0,813,0
Lake,California,23,0,0,0,12,0,11,0,2020-06-02 00:00:00,06033,12,0,11,0
Lassen,California,5,0,0,0,0,0,5,0,2020-06-02 00:00:00,06035,0,0,5,0
Los Angeles,California,56011,1010,2386,24,33135,493,20490,493,2020-06-02 00:00:00,06037,1315,0,52310,986
Madera,California,106,0,2,0,76,0,28,0,2020-06-02 00:00:00,06039,76,0,28,0
Marin,California,483,0,14,0,317,0,152,0,2020-06-02 00:00:00,06041,317,0,152,0
Mariposa,California,16,0,1,0,14,0,1,0,2020-06-02 00:00:00,06043,14,0,1,0
Mendocino,California,30,0,0,0,14,0,16,0,2020-06-02 00:00:00,06045,14,0,16,0
Merced,California,283,0,7,0,196,6,80,-6,2020-06-02 00:00:00,06047,190,0,86,0
Mono,California,37,0,1,0,31,0,5,0,2020-06-02 00:00:00,06051,0,0,36,0
Monterey,California,545,15,10,0,320,0,215,15,2020-06-02 00:00:00,06053,320,0,215,15
Napa,California,113,1,3,0,84,2,26,-1,2020-06-02 00:00:00,06055,82,0,28,1
Nevada,California,41,0,1,0,40,0,0,0,2020-06-02 00:00:00,06057,40,0,0,0
Orange,California,6474,213,147,0,3923,60,2404,153,2020-06-02 00:00:00,06059,2548,0,3779,213
Placer,California,217,2,9,0,165,0,43,2,2020-06-02 00:00:00,06061,165,0,43,2
Plumas,California,4,0,0,0,4,0,0,0,2020-06-02 00:00:00,06063,4,0,0,0
Riverside,California,7982,496,331,8,5242,298,2409,190,2020-06-02 00:00:00,06065,4563,0,3088,488
Sacramento,California,1429,29,58,2,1155,7,216,20,2020-06-02 00:00:00,06067,0,0,1371,27
San Benito,California,87,0,2,0,71,0,14,0,2020-06-02 00:00:00,06069,71,0,14,0
San Bernardino,California,5355,109,204,0,3082,73,2069,36,2020-06-02 00:00:00,06071,0,0,5151,109
San Diego,California,7481,0,269,0,5226,105,1986,-105,2020-06-02 00:00:00,06073,1138,0,6074,0
San Francisco,California,2570,12,43,1,1971,38,556,-27,2020-06-02 00:00:00,06075,0,0,2527,11
San Joaquin,California,908,50,34,0,650,0,224,50,2020-06-02 00:00:00,06077,650,0,224,50
San Luis Obispo,California,271,2,1,0,245,0,25,2,2020-06-02 00:00:00,06079,245,0,25,2
San Mateo,California,2165,61,84,0,1494,66,587,-5,2020-06-02 00:00:00,06081,0,0,2081,61
Santa Barbara,California,1649,0,12,0,1374,0,263,0,2020-06-02 00:00:00,06083,1374,0,263,0
Santa Clara,California,2776,0,141,0,2269,18,366,-18,2020-06-02 00:00:00,06085,1,0,2634,0
Santa Cruz,California,217,4,2,0,154,3,61,1,2020-06-02 00:00:00,06087,148,0,67,4
Shasta,California,39,0,4,0,31,0,4,0,2020-06-02 00:00:00,06089,31,0,4,0
Sierra,California,1,0,0,0,0,0,1,0,2020-06-02 00:00:00,06091,0,0,1,0
Siskiyou,California,7,0,1,0,6,0,0,0,2020-06-02 00:00:00,06093,6,0,0,0
Solano,California,517,0,22,0,426,0,69,0,2020-06-02 00:00:00,06095,426,0,69,0
Sonoma,California,564,11,4,0,355,12,205,-1,2020-06-02 00:00:00,06097,222,0,338,11
Stanislaus,California,744,0,29,0,584,0,131,0,2020-06-02 00:00:00,06099,584,0,131,0
Sutter,California,46,0,3,0,41,0,2,0,2020-06-02 00:00:00,06101,38,0,5,0
Tehama,California,4,0,1,0,0,0,3,0,2020-06-02 00:00:00,06103,0,0,3,0
Trinity,California,2,0,0,0,1,0,1,0,2020-06-02 00:00:00,06105,0,0,2,0
Tulare,California,1897,53,89,5,1201,3,607,45,2020-06-02 00:00:00,06107,912,0,896,48
Tuolumne,California,4,0,0,0,3,0,1,0,2020-06-02 00:00:00,06109,2,0,2,0
Ventura,California,1152,74,34,1,817,0,301,73,2020-06-02 00:00:00,06111,817,0,301,73
Yolo,California,211,0,24,0,156,1,31,-1,2020-06-02 00:00:00,06113,0,0,187,0
Yuba,California,30,0,1,0,27,0,2,0,2020-06-02 00:00:00,06115,27,0,2,0
unknown,California,42,0,2,0,40,0,0,0,2020-06-02 00:00:00,,0,0,40,0
Adams,Colorado,3291,33,123,3,2317,26,851,4,2020-06-02 00:00:00,08001,0,0,3168,30
