County Name, State Name, Confirmed, Deaths, Recovered, Last Update, FIPS
Autauga,Alabama,110,3,0,2020-06-02 18:00:00,01001
Baldwin,Alabama,254,8,0,2020-06-02 18:00:00,01003
Barbour,Alabama,79,1,0,2020-06-02 18:00:00,01005
Bibb,Alabama,50,1,0,2020-06-02 18:00:00,01007
Blount,Alabama,45,0,0,2020-06-02 18:00:00,01009
Bullock,Alabama,35,1,0,2020-06-02 18:00:00,01011
Butler,Alabama,271,9,0,2020-06-02 18:00:00,01013
Calhoun,Alabama,130,3,0,2020-06-02 18:00:00,01015
Chambers,Alabama,328,22,0,2020-06-02 18:00:00,01017
Cherokee,Alabama,27,0,0,2020-06-02 18:00:00,01019
Chilton,Alabama,77,1,0,2020-06-02 18:00:00,01021
Choctaw,Alabama,84,3,0,2020-06-02 18:00:00,01023
Clarke,Alabama,74,2,0,2020-06-02 18:00:00,01025
Clay,Alabama,27,2,0,2020-06-02 18:00:00,01027
Cleburne,Alabama,13,1,0,2020-06-02 18:00:00,01029
Coffee,Alabama,164,1,0,2020-06-02 18:00:00,01031
Colbert,Alabama,87,2,0,2020-06-02 18:00:00,01033
Conecuh,Alabama,18,0,0,2020-06-02 18:00:00,01035
Coosa,Alabama,33,1,0,2020-06-02 18:00:00,01037
Covington,Alabama,57,1,0,2020-06-02 18:00:00,01039
Crenshaw,Alabama,53,1,0,2020-06-02 18:00:00,01041
Cullman,Alabama,69,0,0,2020-06-02 18:00:00,01043
Dale,Alabama,60,0,0,2020-06-02 18:00:00,01045
Dallas,Alabama,145,3,0,2020-06-02 18:00:00,01047
DeKalb,Alabama,192,2,0,2020-06-02 18:00:00,01049
Elmore,Alabama,188,6,0,2020-06-02 18:00:00,01051
Escambia,Alabama,39,3,0,2020-06-02 18:00:00,01053
Etowah,Alabama,202,10,0,2020-06-02 18:00:00,01055
Fayette,Alabama,9,0,0,2020-06-02 18:00:00,01057
Franklin,Alabama,329,4,0,2020-06-02 18:00:00,01059
Geneva,Alabama,20,0,0,2020-06-02 18:00:00,01061
Greene,Alabama,81,4,0,2020-06-02 18:00:00,01063
Hale,Alabama,84,2,0,2020-06-02 18:00:00,01065
Henry,Alabama,39,1,0,2020-06-02 18:00:00,01067
Houston,Alabama,132,4,0,2020-06-02 18:00:00,01069
Jackson,Alabama,62,2,0,2020-06-02 18:00:00,01071
Jefferson,Alabama,1299,73,0,2020-06-02 18:00:00,01073
Lamar,Alabama,15,0,0,2020-06-02 18:00:00,01075
Lauderdale,Alabama,113,2,0,2020-06-02 18:00:00,01077
Lawrence,Alabama,29,0,0,2020-06-02 18:00:00,01079
Lee,Alabama,448,31,0,2020-06-02 18:00:00,01081
Limestone,Alabama,64,0,0,2020-06-02 18:00:00,01083
Lowndes,Alabama,128,9,0,2020-06-02 18:00:00,01085
Macon,Alabama,54,2,0,2020-06-02 18:00:00,01087
Madison,Alabama,275,4,0,2020-06-02 18:00:00,01089
Marengo,Alabama,102,6,0,2020-06-02 18:00:00,01091
Marion,Alabama,101,9,0,2020-06-02 18:00:00,01093
Marshall,Alabama,623,9,0,2020-06-02 18:00:00,01095
Mobile,Alabama,1681,100,0,2020-06-02 18:00:00,01097
Monroe,Alabama,19,2,0,2020-06-02 18:00:00,01099
Montgomery,Alabama,816,20,0,2020-06-02 18:00:00,01101
Morgan,Alabama,110,1,0,2020-06-02 18:00:00,01103
Perry,Alabama,20,0,0,2020-06-02 18:00:00,01105
Pickens,Alabama,77,3,0,2020-06-02 18:00:00,01107
Pike,Alabama,106,0,0,2020-06-02 18:00:00,01109
Randolph,Alabama,119,7,0,2020-06-02 18:00:00,01111
Russell,Alabama,100,0,0,2020-06-02 18:00:00,01113
Shelby,Alabama,398,19,0,2020-06-02 18:00:00,01117
St. Clair,Alabama,90,1,0,2020-06-02 18:00:00,01115
Sumter,Alabama,124,4,0,2020-06-02 18:00:00,01119
Talladega,Alabama,78,2,0,2020-06-02 18:00:00,01121
Tallapoosa,Alabama,357,57,0,2020-06-02 18:00:00,01123
Tuscaloosa,Alabama,344,8,0,2020-06-02 18:00:00,01125
Walker,Alabama,126,0,0,2020-06-02 18:00:00,01127
Washington,Alabama,60,5,0,2020-06-02 18:00:00,01129
Wilcox,Alabama,93,5,0,2020-06-02 18:00:00,01131
Winston,Alabama,33,1,0,2020-06-02 18:00:00,01133
unknown,Alabama,8,3,0,2020-06-02 18:00:00,
Anchorage,Alaska,199,4,160,2020-06-02 18:00:00,02020
Bethel,Alaska,1,0,1,2020-06-02 18:00:00,02050
Fairbanks North Star,Alaska,84,2,75,2020-06-02 18:00:00,02090
Juneau,Alaska,29,0,26,2020-06-02 18:00:00,02110
Kenai Peninsula,Alaska,24,2,19,2020-06-02 18:00:00,02122
Ketchikan Gateway,Alaska,16,0,16,2020-06-02 18:00:00,02130
Kodiak Island,Alaska,1,0,1,2020-06-02 18:00:00,02150
Matanuska-Susitna,Alaska,21,1,19,2020-06-02 18:00:00,02170
Nome,Alaska,1,0,1,2020-06-02 18:00:00,02180
Petersburg,Alaska,4,1,2,2020-06-02 18:00:00,02195
Prince of Wales-Hyder,Alaska,2,0,2,2020-06-02 18:00:00,02198
Sitka,Alaska,1,0,1,2020-06-02 18:00:00,02220
Southeast Fairbanks,Alaska,3,0,1,2020-06-02 18:00:00,02240
Yukon-Koyukuk,Alaska,1,0,0,2020-06-02 18:00:00,02290
unknown,Alaska,8,4,66,2020-06-02 18:00:00,
Apache,Arizona,962,20,0,2020-06-02 18:00:00,04001
Cochise,Arizona,46,1,0,2020-06-02 18:00:00,04003
Coconino,Arizona,839,64,0,2020-06-02 18:00:00,04005
Gila,Arizona,22,1,0,2020-06-02 18:00:00,04007
Graham,Arizona,20,0,0,2020-06-02 18:00:00,04009
Greenlee,Arizona,2,0,0,2020-06-02 18:00:00,04011
La Paz,Arizona,37,1,0,2020-06-02 18:00:00,04012
Maricopa,Arizona,7096,319,1,2020-06-02 18:00:00,04013
Mohave,Arizona,250,27,0,2020-06-02 18:00:00,04015
Navajo,Arizona,1238,48,0,2020-06-02 18:00:00,04017
Pima,Arizona,1781,157,1,2020-06-02 18:00:00,04019
Pinal,Arizona,678,31,1,2020-06-02 18:00:00,04021
Santa Cruz,Arizona,72,0,0,2020-06-02 18:00:00,04023
Yavapai,Arizona,260,5,3,2020-06-02 18:00:00,04025
Yuma,Arizona,363,4,0,2020-06-02 18:00:00,04027
unknown,Arizona,2,34,0,2020-06-02 18:00:00,
Arkansas,Arkansas,2,0,2,2020-06-02 18:00:00,05001
Ashley,Arkansas,18,0,17,2020-06-02 18:00:00,05003
Baxter,Arkansas,6,0,5,2020-06-02 18:00:00,05005
Benton,Arkansas,144,0,116,2020-06-02 18:00:00,05007
